order	stake_grp	rung	label	where	variant	over_subjects	quantity	value	n_safe
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02608133985377955	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.030933449670771825	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.03108596914550714	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.024188495388246814	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.0104669675823662	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	-0.0013708109783603152	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.01606952331788644	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.023354397306671916	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02844289021799237	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.03221044091165114	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02212244578669932	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.013593987716019612	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.04733942811458723	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.05096011942985111	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.04292200893217214	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.031098145213607067	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.021606930763048312	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.013170735203302853	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.026872648772237842	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02978186651340417	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02944878578750803	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.032275432140769854	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.02905679788317027	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	mean	dp	0.029970298538805746	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.025435521026991825	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.030723298366350717	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.03116996001851399	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.024245235515468866	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.010398237984768348	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	-0.00043109216550950335	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.01706673784804296	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.02308973487460599	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.0283697068213212	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.032215576540720145	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.021127501779764364	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.01169036142069849	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.04810175516396405	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.05170027971332977	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.04366317615003916	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.031284779499008875	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.021944270187368338	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.01316560626172438	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.027742590248206862	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.03026227690295357	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.029175540870655745	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.031755891263092216	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.028557855729139176	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	mean	dp	0.030596793961178897	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.033298997544814184	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.0410584854728827	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.03704092711242142	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02754772799108201	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.012487793219387621	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.002750060411570463	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.019812632682019053	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.025253550753907592	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02535759209239563	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.022952563706598532	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.007248313828555608	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	-0.0027378382973807435	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.035581476706394846	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.042221907944420295	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.04041636216888993	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.03759180966173531	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.0222907271823084	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.00901433411637934	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02331897312780987	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.02530842711748625	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.021146581047879923	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.016100708865288214	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.011005638113216224	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/mean	median	dp	0.007734198992289351	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03239335233462472	
Risky first	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.04060228047440712	
Risky first	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03632795809276167	
Risky first	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02710183142192346	
Risky first	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.01228591207002383	
Risky first	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.0024267008065082946	
Risky first	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.018566045476471206	
Risky first	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02449285866553849	
Risky first	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.026056290504181578	
Risky first	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.023192822611463215	
Risky first	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.006019410221569738	
Risky first	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	-0.0030733183281882828	
Risky second	0.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.0343775805521635	
Risky second	0.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.04318781388430769	
Risky second	0.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.039741953461756185	
Risky second	0.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.03752374358211759	
Risky second	0.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.021352115693569595	
Risky second	0.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.009583761541296587	
Risky second	1.0	1.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.02274021134930334	
Risky second	1.0	2.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.026046553398469632	
Risky second	1.0	3.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.022183223947099234	
Risky second	1.0	4.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.01608096712593038	
Risky second	1.0	5.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.010606817622583956	
Risky second	1.0	6.0	log-power-n1n2pmusd	trials	integrate/median	median	dp	0.007213186432895813	
Risky first	0.0	1.0	log-power-n1n2pmusd	trials	integrate/mean	mean	num_shift	0.021175507108218205	
