trace	ok	max_rhat	min_ess_bulk	divergences	chains	draws	n_par	worst_par	family	constrained	bauer_commit	size_gb
log-affine-mem.klw	True	1.0	2646.0	3.0	4.0	3000.0	16.0	log_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6135908728465438
log-affine-n1.klw	True	1.0	1318.0	27.0	4.0	3000.0	16.0	log_n1_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6135250283405185
log-affine-n1n2.klw	False	1.12	21.0	6.0	4.0	3000.0	16.0	log_n1_affine_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6263169497251511
log-affine-n1n2.pathfinder.klw	False	1.12	42.0	10.0	8.0	3000.0	16.0	log_n1_affine_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2511727884411812
log-affine-n2.klw	False	1.04	90.0	8.0	4.0	3000.0	16.0	log_n1_affine_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.613902504555881
log-affine-null.klw	True	1.0	1949.0	55.0	4.0	3000.0	16.0	log_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5115958834066987
log-affine-nullind.klw	True	1.01	894.0	9.0	4.0	3000.0	16.0	log_n1_affine_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5123246936127543
log-affine-perc.klw	True	1.0	1954.0	19.0	4.0	3000.0	16.0	log_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6132022440433502
log-affine-percmem.klw	True	1.0	2112.0	2.0	4.0	3000.0	16.0	log_mem_affine_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6262918002903461
log-genweber-mem.klw	True	1.0	4248.0	9.0	4.0	3000.0	16.0	log_mem_genweber_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6136819934472442
log-genweber-n1.klw	False	1.06	40.0	20.0	4.0	3000.0	16.0	log_n2_genweber_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6135703101754189
log-genweber-n1n2.klw	False	1.14	18.0	33.0	4.0	3000.0	16.0	log_n2_genweber_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6262271860614419
log-genweber-n2.klw	False	1.04	72.0	6.0	4.0	3000.0	16.0	log_risky_prior_mu_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6139450566843152
log-genweber-null.klw	True	1.0	2728.0	9.0	4.0	3000.0	16.0	log_mem_genweber_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5121728619560599
log-genweber-nullind.klw	False	1.1	27.0	30.0	4.0	3000.0	16.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.5123870903626084
log-genweber-perc.klw	True	1.0	1367.0	21.0	4.0	3000.0	16.0	log_mem_genweber_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6138308085501194
log-genweber-percmem.klw	True	1.0	885.0	11.0	4.0	3000.0	16.0	log_mem_genweber_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6263346895575523
log-power-mem.klw	True	1.0	2643.0	6.0	4.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6132883373647928
log-power-n1.klw	False	1.02	574.0	35.0	4.0	3000.0	16.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6135365618392825
log-power-n1.mapjitter.klw.fix_prior_sd	False	1.18	30.0	0.0	8.0	3000.0	12.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.200977347791195
log-power-n1.mapjitter.klw.sps0.15	True	1.01	1585.0	9.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.225608630105853
log-power-n1.mapjitter.klw	False	1.02	247.0	3.0	8.0	3000.0	16.0	log_n2_power_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2259232392534614
log-power-n1n2.klw	False	1.38	9.0	13.0	4.0	3000.0	16.0	log_n2_power_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.626280914992094
log-power-n1n2.mapjitter.klw.fix_prior_sd	False	1.27	21.0	0.0	8.0	3000.0	12.0	log_n2_power_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2265289342030885
log-power-n1n2.mapjitter.klw.spm0.4.sps0.15	False	1.17	31.0	1.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2513297256082296
log-power-n1n2.mapjitter.klw.sps0.15.ti0.15	False	1.73	12.0	0.0	8.0	3000.0	16.0	log_safe_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2509987084195018
log-power-n1n2.mapjitter.klw.sps0.15	False	1.15	34.0	4.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2512498311698437
log-power-n1n2.mapjitter.klw.sps0.25	False	1.11	47.0	1.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2513216631487012
log-power-n1n2.mapjitter.klw.ti0.15	False	1.05	102.0	0.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2510848557576535
log-power-n1n2.mapjitter.klw	False	1.12	42.0	1.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2512928191572428
log-power-n1n2.pathfinder.klw.ev	False	1.04	140.0	10.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-		1.2513428563252091
log-power-n1n2.pathfinder.klw.free	False	1.08	62.0	1.0	8.0	3000.0	18.0	log_n1_power_sd7_sd[Intercept]	-	-		1.26372326631099
log-power-n1n2.pathfinder.klw	False	1.15	36.0	33.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2504594335332513
log-power-n1n2pmu.klw	False	1.18	15.0	4.0	4.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6388192242011428
log-power-n1n2pmu.pathfinder.klw	False	1.21	26.0	1.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2762061627581716
log-power-n1n2psd.klw	False	1.2	14.0	10.0	4.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6386625310406089
log-power-n1n2psd.pathfinder.klw	False	1.13	38.0	2.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.276040678843856
log-power-n1n2x.pathfinder.klw.ev	True	1.01	1370.0	2.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-		1.350324190221727
log-power-n1n2x.pathfinder.klw.free	True	1.01	1322.0	0.0	8.0	3000.0	18.0	log_n1_power_sd7_sd[Intercept]	-	-		1.362859464250505
log-power-n1n2x.pathfinder.klw	True	1.01	956.0	1.0	8.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.35038439091295
log-power-n2.klw	False	1.3	10.0	6.0	4.0	3000.0	16.0	log_n2_power_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6139135044068098
log-power-n2.mapjitter.klw.fix_prior_sd	False	1.09	59.0	0.0	8.0	3000.0	12.0	log_n2_power_sd112_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.201732175424695
log-power-n2.mapjitter.klw.sps0.15	False	1.06	87.0	2.0	8.0	3000.0	16.0	log_risky_prior_mu_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2264016335830092
log-power-n2.mapjitter.klw	False	1.05	109.0	0.0	8.0	3000.0	16.0	log_risky_prior_mu_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2264705654233694
log-power-n2x.pathfinder.klw	False	1.04	146.0	5.0	8.0	3000.0	16.0	log_n2_power_sd112_sd[stimulation_condition[T.vertex]]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.275947873480618
log-power-nullind.klw	True	1.01	496.0	88.0	4.0	3000.0	16.0	log_n1_power_sd7_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.510061408393085
log-power-nullind.mapjitter.klw.fix_prior_sd	False	1.29	21.0	0.0	8.0	3000.0	12.0	log_risky_prior_mu_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.9988584946841002
log-power-nullind.mapjitter.klw.sps0.15	True	1.01	1387.0	2.0	8.0	3000.0	16.0	log_risky_prior_mu_sd[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.023555524647236
log-power-nullind.mapjitter.klw	True	1.0	1419.0	1.0	8.0	3000.0	16.0	log_n1_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.0236137378960848
log-power-nullind.pathfinder.klw.ev	True	1.0	2849.0	3.0	8.0	3000.0	16.0	log_n1_power_sd112_mu[Intercept]	-	-		1.0236276434734464
log-power-nullind.pathfinder.klw.free	True	1.0	3250.0	0.0	8.0	3000.0	18.0	log_n1_power_sd112_mu[Intercept]	-	-		1.035960674285889
log-power-perc.klw	True	1.0	2176.0	2.0	4.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6138327103108168
log-power-perc.mapjitter.klw.fix_prior_sd	True	1.0	6878.0	0.0	8.0	3000.0	12.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.201425589621067
log-power-perc.mapjitter.klw.sps0.15	True	1.0	2770.0	1.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2262758864089849
log-power-percmem.klw	True	1.0	1765.0	5.0	4.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	0.6263167448341846
log-power-percmem.pathfinder.klw.ev	True	1.0	3128.0	1.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-		1.2511602835729718
log-power-percmem.pathfinder.klw.free	True	1.0	4564.0	0.0	8.0	3000.0	18.0	log_mem_power_sd112_mu[Intercept]	-	-		1.2637903215363622
log-power-percmempsd.pathfinder.klw	True	1.0	3145.0	27.0	8.0	3000.0	16.0	log_mem_power_sd112_mu[Intercept]	-	-	93c2e9ae968b2ac5c12859a63bee731d3e3a71a1	1.2758776182308793
