label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	1	0.14191646766962346	0.14191646766962346
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	2	0.35748691550015266	0.35748691550015266
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	3	0.08349819596154133	0.08349819596154133
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	4	0.14026223759471532	0.14026223759471532
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	5	0.16263678247589095	0.16263678247589095
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	6	0.11661200272258766	0.11661200272258766
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	7	0.27334535063913296	0.27334535063913296
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	9	0.062484113463981646	0.062484113463981646
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	10	0.14303021632367133	0.14303021632367133
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	11	0.1091758802382645	0.1091758802382645
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	18	0.10145259473623953	0.10145259473623953
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	19	0.1187381354538994	0.1187381354538994
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	21	0.27769641607427586	0.27769641607427586
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	25	0.10069481453261471	0.10069481453261471
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	26	0.15997310698836134	0.15997310698836134
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	29	0.1906395184691074	0.1906395184691074
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	30	0.18285350229765482	0.18285350229765482
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	31	0.20288034934466112	0.20288034934466112
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	34	0.0928998487828547	0.0928998487828547
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	35	0.46014287299914014	0.46014287299914014
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	36	0.16519909648242925	0.16519909648242925
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	37	0.13912293773182288	0.13912293773182288
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	45	0.16023051699881358	0.16023051699881358
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	46	0.2650572265208486	0.2650572265208486
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	47	0.18949672907837786	0.18949672907837786
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	50	0.07106593662688289	0.07106593662688289
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	53	0.1336788759519877	0.1336788759519877
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	56	0.19675975365038953	0.19675975365038953
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	59	0.1363816030607689	0.1363816030607689
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	62	0.13239432666009218	0.13239432666009218
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	63	0.10807126620152736	0.10807126620152736
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	67	0.10970159850728856	0.10970159850728856
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	69	0.15099084069770688	0.15099084069770688
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	72	0.08547114886100493	0.08547114886100493
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd7	74	0.26100333001730136	0.26100333001730136
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	1	0.18745895388106454	0.18745895388106454
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	2	0.27828015476554124	0.27828015476554124
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	3	0.16590028609550775	0.16590028609550775
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	4	0.29338378831256523	0.29338378831256523
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	5	0.1941282639412947	0.1941282639412947
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	6	0.2841839688916094	0.2841839688916094
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	7	0.3885366760933633	0.3885366760933633
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	9	0.19325635649520548	0.19325635649520548
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	10	0.2858119030599284	0.2858119030599284
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	11	0.25578686923400135	0.25578686923400135
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	18	0.38282235798872655	0.38282235798872655
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	19	0.43666550947720867	0.43666550947720867
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	21	0.35618279795532576	0.35618279795532576
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	25	0.23705060841736578	0.23705060841736578
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	26	0.1812608251907214	0.1812608251907214
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	29	0.4175218131273612	0.4175218131273612
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	30	0.34152180213048666	0.34152180213048666
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	31	0.1994869966842022	0.1994869966842022
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	34	0.3023761178314576	0.3023761178314576
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	35	0.18420440317144476	0.18420440317144476
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	36	0.2258070937241879	0.2258070937241879
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	37	0.23587189777921355	0.23587189777921355
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	45	0.18331698724716777	0.18331698724716777
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	46	0.23443245739861626	0.23443245739861626
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	47	0.22826824126290873	0.22826824126290873
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	50	0.3037663686242493	0.3037663686242493
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	53	0.3391822799857316	0.3391822799857316
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	56	0.19966199901720705	0.19966199901720705
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	59	0.3955622992633067	0.3955622992633067
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	62	0.25706793524591676	0.25706793524591676
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	63	0.2540897924647515	0.2540897924647515
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	67	0.231329898523906	0.231329898523906
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	69	0.2856292342783115	0.2856292342783115
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	72	0.2281491066567454	0.2281491066567454
log-affine-mem.klw	log	affine	mem	perc	log_perc_affine_sd112	74	0.3038197651718387	0.3038197651718387
