neural	behav	abs_r	p_fwer	n	r	p
d_amp_median	d_consistency_rsecond	0.5333267111196178	0.011799410029498525	35	0.5333267111196176	0.0009703807446472447
d_r_En1	d_indifference_rsecond	0.4266080766846111	0.11069446527673617	35	0.42660807668461104	0.010599532430391672
d_amp_median	d_indifference_rsecond	0.22682904128079195	0.8908554572271387	35	0.2268290412807919	0.19007413104720922
d_r_En1	d_indifference_rfirst	0.18757723556256528	0.9689015549222539	35	0.1875772355625653	0.28057286444331003
d_r_En1	d_consistency_rfirst	0.17579498428952073	0.9807009649517524	35	-0.1757949842895208	0.3124277992641401
d_amp_median	d_p_risky_rsecond	0.1643088943457419	0.9884005799710015	35	-0.1643088943457419	0.34558196410795594
d_r_En1	d_consistency_rsecond	0.15173904584124212	0.9934503274836258	35	0.1517390458412422	0.38421704866868667
d_r_En1	d_p_risky_rsecond	0.06869433304236754	1.0	35	-0.06869433304236748	0.6949802531544376
d_r_En1	d_p_risky_rfirst	0.04282210902049749	1.0	35	-0.04282210902049751	0.807036942988554
d_amp_median	d_consistency_rfirst	0.03673164610717404	1.0	35	-0.03673164610717398	0.8340689772178976
d_amp_median	d_indifference_rfirst	0.033085250569836105	1.0	35	-0.03308525056983609	0.850345285701855
d_amp_median	d_p_risky_rfirst	0.021151565390789884	1.0	35	0.021151565390789873	0.9040053881245275
