quantity	stim	mean	lo	hi	p_gt0
Risky prior mean (CHF)	all	20.791744178197717	17.271624771823564	24.824398711279052	
Safe prior mean (CHF)	all	12.417547136671107	8.824370134748728	17.18333440861044	
Risky prior spread (x/÷)	all	1.5430202743635253	1.4299824493742574	1.6793747897498978	
Safe prior spread (x/÷)	all	1.8891409965219912	1.586840583799772	2.397416904300892	
n1 noise @ 7 CHF	ips	0.2260753654292517	0.19334439489410388	0.26467508586926985	
n1 noise @ 7 CHF	vertex	0.22663956051036807	0.1965589467684606	0.26038874259520745	
n1 noise @ 7 CHF	IPS - vertex	-0.000564195081116403	-0.03585689152027663	0.03703032143095285	0.4786
n1 noise @ 112 CHF	ips	0.25647432656047836	0.21607717598172693	0.303011954033681	
n1 noise @ 112 CHF	vertex	0.2806587288895252	0.23111570872428489	0.33782835420969465	
n1 noise @ 112 CHF	IPS - vertex	-0.024184402329046777	-0.06729967851855702	0.014769550394725165	0.11425
n2 noise @ 7 CHF	ips	0.12742462497501272	0.09626968473736593	0.15870390810260723	
n2 noise @ 7 CHF	vertex	0.0763131624752169	0.0513236181532319	0.10421617513751187	
n2 noise @ 7 CHF	IPS - vertex	0.051111462499795826	0.019202178034969198	0.08088111784887193	0.99865
n2 noise @ 112 CHF	ips	0.23018163263053934	0.19209781121461103	0.27448284602841394	
n2 noise @ 112 CHF	vertex	0.2736808261949954	0.217637711967833	0.3407464453473687	
n2 noise @ 112 CHF	IPS - vertex	-0.043499193564456064	-0.09876663894328383	0.007479000503263191	0.04605
