param	regressor	mean	lo	hi	p_gt0
memory_noise_sd_spline1	Intercept	0.3894305736645105	0.06296193163643413	0.7816009698071192	0.99805
memory_noise_sd_spline2	Intercept	-0.3104262975651211	-0.8526426552966236	0.13569367504449978	0.24705
perceptual_noise_sd_spline1	Intercept	-1.8212309966491964	-2.280823031656614	-1.4629983586776498	0.0
perceptual_noise_sd_spline1	stimulation_condition[T.vertex]	-0.06340660777636911	-0.41118625715753354	0.19923605634901548	0.36805
perceptual_noise_sd_spline2	Intercept	-1.5408429664116738	-1.9392693489232105	-1.2307717701995278	0.0
perceptual_noise_sd_spline2	stimulation_condition[T.vertex]	-0.08789286280062786	-0.4012290604789648	0.17325553796002105	0.27125
perceptual_noise_sd_spline3	Intercept	-1.3548196632277174	-2.142881408538694	-0.5479342913103925	0.0
perceptual_noise_sd_spline3	stimulation_condition[T.vertex]	-0.04176248597842643	-0.38616993099633545	0.3172463642034862	0.4035
perceptual_noise_sd_spline4	Intercept	-1.0578248046155176	-1.799492259803692	-0.24718358384049952	0.0011
perceptual_noise_sd_spline4	stimulation_condition[T.vertex]	-0.026422866273507498	-0.5104381800831382	0.3854465586614317	0.4762
perceptual_noise_sd_spline5	Intercept	-0.8713982112955506	-1.5834546278522927	0.427011248604273	0.11025
perceptual_noise_sd_spline5	stimulation_condition[T.vertex]	-0.5724316371257875	-2.336943303778806	0.4364496228276099	0.40155
risky_prior_mu	Intercept	4.122518585326189	2.569778911405595	6.440359013528972	1.0
risky_prior_sd	Intercept	-0.26348409136402406	-1.1574210865882835	0.9475148686955306	0.4371
safe_prior_mu	Intercept	4.05549420746621	1.9840560351405798	7.368536270083964	1.0
safe_prior_sd	Intercept	0.03259135596230515	-1.0134754881937134	1.8478278745571965	0.4838
