order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2761886860007161	0.24782124955245255	0.3024005549588256	0.26284640171858215
Risky first	1	0.37001611170784104	0.33600689223057645	0.4016655925528106	0.3557715717866094
Risky first	2	0.482781358157298	0.44555090106217926	0.515248896049648	0.4816589091777062
Risky first	3	0.5922287862513427	0.55759380594343	0.6274052691251939	0.5905298961689939
Risky first	4	0.6935905239288698	0.6642245494689104	0.7288410311493018	0.7046950710108605
Risky first	5	0.7765425468432987	0.7474920336555675	0.8089762203126865	0.7924955245255997
Risky second	0	0.32007876834944504	0.2843621553884712	0.35329144289294667	0.30452201933404943
Risky second	1	0.4221219715956558	0.3869502625611648	0.4615794844253491	0.41455424274973146
Risky second	2	0.548219357918606	0.5148949158610813	0.5809832318892468	0.5570366392170903
Risky second	3	0.6565747702589808	0.6211067848191908	0.6905357142857143	0.6751784222460915
Risky second	4	0.7563844134144886	0.7237931137367227	0.7832275629550065	0.7593817878028405
Risky second	5	0.8283764606320998	0.803528203625948	0.856645753995378	0.8268730267226508
