order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2757823129251701	0.24532662012173292	0.3128138202649481	0.26284640171858215
Risky first	1	0.36854994629430726	0.33139455782312927	0.40353428213390613	0.3557715717866094
Risky first	2	0.4795924334646139	0.44608040935672516	0.5173091657715718	0.4816589091777062
Risky first	3	0.5903001551497793	0.5582230278076142	0.624907894736842	0.5905298961689939
Risky first	4	0.6924967179854398	0.6626490929705214	0.7241626089032104	0.7046950710108605
Risky first	5	0.7768492660221984	0.7434715061463182	0.8065058479532164	0.7924955245255997
Risky second	0	0.3092857142857143	0.27749713569638385	0.3450534371643394	0.30452201933404943
Risky second	1	0.41868003341687554	0.3877703484902733	0.4554007041413057	0.41455424274973146
Risky second	2	0.5525193937224013	0.514951754385965	0.5890078768349446	0.5570366392170903
Risky second	3	0.6616589091777062	0.628890261367705	0.6948046007876835	0.6751784222460915
Risky second	4	0.7567215658193102	0.7229923916935196	0.7870446353980188	0.7593817878028405
Risky second	5	0.8235753344399961	0.7929402402109169	0.8513246020896397	0.8268730267226508
