order	ratio_bin	median	lo	hi	observed
Risky first	0	0.2900554958825635	0.251765127103473	0.32587271750805585	0.26284640171858215
Risky first	1	0.3789330469029717	0.34595229144289297	0.4145947905477981	0.3557715717866094
Risky first	2	0.4849433106575963	0.44760505430242276	0.5222368122687672	0.4816589091777062
Risky first	3	0.5902231769900943	0.5544458467597566	0.6225770079961809	0.5905298961689939
Risky first	4	0.6877879221864185	0.6521057703783268	0.7223584258264709	0.7046950710108605
Risky first	5	0.7727849385368182	0.7385606277598759	0.8003195787086764	0.7924955245255997
Risky second	0	0.3046365914786967	0.26908888292158967	0.3390206766917293	0.30452201933404943
Risky second	1	0.40822950232724664	0.37513363766559255	0.44328511755579425	0.41455424274973146
Risky second	2	0.5393197278911566	0.5021581632653062	0.5807740183792814	0.5570366392170903
Risky second	3	0.6529090583601862	0.6217573397780165	0.6862649480844969	0.6751784222460915
Risky second	4	0.7598842343955126	0.7290548693161475	0.7927356188089271	0.7593817878028405
Risky second	5	0.8428120626240927	0.8156136526380887	0.8687810109689809	0.8268730267226508
