order	ratio_bin	median	lo	hi	observed
Risky first	0	0.27929108485499465	0.24454421768707485	0.3096827783745077	0.26284640171858215
Risky first	1	0.3690798424633011	0.334094432509846	0.40688533834586466	0.3557715717866094
Risky first	2	0.48223057644110273	0.4425969089390142	0.514951814058957	0.4816589091777062
Risky first	3	0.5911791383219954	0.5549607650077575	0.6244169053586347	0.5905298961689939
Risky first	4	0.6889909297052155	0.6560729203962287	0.7222426303854874	0.7046950710108605
Risky first	5	0.7720682659028524	0.7409916756176155	0.8005951485857501	0.7924955245255997
Risky second	0	0.3086806301467956	0.2748574113856068	0.3419624060150376	0.30452201933404943
Risky second	1	0.41596073517126153	0.3787731232844015	0.44973827425707125	0.41455424274973146
Risky second	2	0.5479042845208258	0.5076585511397541	0.5841668158491466	0.5570366392170903
Risky second	3	0.6594730874806063	0.626890917770617	0.6923215479174126	0.6751784222460915
Risky second	4	0.7585159326888651	0.7291928332736605	0.7886079782790308	0.7593817878028405
Risky second	5	0.833437652572991	0.8045684747583244	0.8595277642157342	0.8268730267226508
