order	stake_bin	median	lo	hi	observed
Risky first	0	0.5333780350084698	0.49372988424618863	0.5675487012987013	0.529399585921325
Risky first	1	0.5843564840956146	0.5507682147562583	0.6222303783173347	0.5938735177865613
Risky first	2	0.5443511198945982	0.5098716591379635	0.5761708309806136	0.5333333333333333
Risky first	3	0.46251882175795217	0.4332099331827593	0.49295842744212304	0.463678712591756
Risky first	4	0.530474778844344	0.49504329004329	0.5689937417654809	0.5316017316017316
Risky second	0	0.48578428093645487	0.445950541487498	0.5183613473483039	0.48713983118330945
Risky second	1	0.5926977225672878	0.5607913137587051	0.6279233954451344	0.5907571993224167
Risky second	2	0.6339713909279127	0.601625221155656	0.663250781102955	0.6316698663655185
Risky second	3	0.5940217391304348	0.5569971061547149	0.6229871306230002	0.599129493694711
Risky second	4	0.6462712215320912	0.6110177536231884	0.681513198757764	0.6412505175983436
