order	stake_bin	median	lo	hi	observed
Risky first	0	0.5390786749482401	0.49907702804441934	0.5721716779597213	0.529399585921325
Risky first	1	0.5698366271409749	0.536354954827781	0.6028843120647468	0.5938735177865613
Risky first	2	0.5345096932053455	0.5043590015057406	0.5641509034443817	0.5333333333333333
Risky first	3	0.47461650668172406	0.4443444146433277	0.5008695652173913	0.463678712591756
Risky first	4	0.5321452098626012	0.4993307688688124	0.5666098484848485	0.5316017316017316
Risky second	0	0.5050187928014015	0.47430344003822267	0.5388236582258321	0.48713983118330945
Risky second	1	0.5960529832486354	0.5624643280632411	0.6267998070769809	0.5907571993224167
Risky second	2	0.6031898174289478	0.5696205580651234	0.6345217297195559	0.6316698663655185
Risky second	3	0.5741200828157349	0.5421359166196122	0.6016019668737059	0.599129493694711
Risky second	4	0.656108695652174	0.6266119565217392	0.69033566252588	0.6412505175983436
