order	stake_bin	median	lo	hi	observed
Risky first	0	0.5387140033879163	0.5024283596837945	0.5734217955957087	0.529399585921325
Risky first	1	0.5779683794466404	0.5467398362507059	0.6103967626576322	0.5938735177865613
Risky first	2	0.5424171842650103	0.5118866459627329	0.5716941934876717	0.5333333333333333
Risky first	3	0.48363683418031245	0.44763434029738375	0.512155091285526	0.463678712591756
Risky first	4	0.5363965744400527	0.4979400762281197	0.5755580651232826	0.5316017316017316
Risky second	0	0.4944278547539417	0.4586399108138239	0.527736801242236	0.48713983118330945
Risky second	1	0.5932459062676454	0.5639068040654998	0.6226267033690946	0.5907571993224167
Risky second	2	0.6031990400903444	0.573309641445511	0.6360856295878036	0.6316698663655185
Risky second	3	0.5746823828345567	0.541841120835686	0.603847049689441	0.599129493694711
Risky second	4	0.6430134575569357	0.6035380952380952	0.6814595238095239	0.6412505175983436
