order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5596789880226413	0.5184135534596613	0.5930471453334124	0.5701588578014938
Risky first	0	vertex	0.5530284585923683	0.5117130190194099	0.5843310711844547	0.5583628985884624
Risky first	1	ips	0.5210948366587465	0.4891120251928523	0.5599289565906107	0.5165086959823803
Risky first	1	vertex	0.5222029641202574	0.48617140636158773	0.5543464779851335	0.5254879878586203
Risky first	2	ips	0.5210898458266879	0.48756658692185006	0.5592657780815675	0.5142750816435027
Risky first	2	vertex	0.4996282819347835	0.4627924468032827	0.5372842880373839	0.4978310750137376
Risky second	0	ips	0.5381962481962481	0.5055142021720969	0.5760544054942551	0.5539721598368215
Risky second	0	vertex	0.530101878071803	0.4940929650967245	0.5635634622269959	0.4940239125953411
Risky second	1	ips	0.6162471463864653	0.5811104271054515	0.6492154927361694	0.6600632980464913
Risky second	1	vertex	0.6057085896559582	0.5733089731905522	0.6405482835877573	0.5987324371534898
Risky second	2	ips	0.6318142217014397	0.5934550147012554	0.6663873889268626	0.6336926732415454
Risky second	2	vertex	0.6066366674261411	0.56983675096833	0.6427384749753171	0.5966871724766462
