order	stake3	stimulation_condition	median	lo	hi	observed
Risky first	0	ips	0.5539835391892004	0.5151278647024998	0.5893268985425111	0.5701588578014938
Risky first	0	vertex	0.5536529635777756	0.5152373439008777	0.5902380328526945	0.5583628985884624
Risky first	1	ips	0.5210464472870487	0.483497651054042	0.5576946695743689	0.5165086959823803
Risky first	1	vertex	0.5292100540375639	0.49459845676707687	0.5651970995734817	0.5254879878586203
Risky first	2	ips	0.517095010252905	0.4811809827599301	0.5555928837244627	0.5142750816435027
Risky first	2	vertex	0.5028769562051296	0.4642076157416714	0.5418926304173982	0.4978310750137376
Risky second	0	ips	0.5425142943939936	0.5067577981750914	0.5737969816315681	0.5539721598368215
Risky second	0	vertex	0.5277601471210494	0.4893030140285779	0.5598655621738328	0.4940239125953411
Risky second	1	ips	0.6222498824091041	0.5893407040647201	0.6580049471144119	0.6600632980464913
Risky second	1	vertex	0.6006899825320877	0.5640481886534519	0.6374022936128199	0.5987324371534898
Risky second	2	ips	0.6348756631839338	0.5972484756262951	0.675419647603858	0.6336926732415454
Risky second	2	vertex	0.6049312675628464	0.563709178248652	0.6421941216678058	0.5966871724766462
