curve	payoff	median	lo	hi	p_gt0
n1 (first)	7.0	0.007416559753949961	-0.061875642420153094	0.06764667010481053	0.5925
n1 (first)	7.515760138376831	0.012788161601294389	-0.04165138456329132	0.06210878725145269	0.686
n1 (first)	8.069521493944878	0.016655603115504694	-0.029279182040042685	0.061110578896907325	0.7695
n1 (first)	8.664083997137995	0.019417676407610593	-0.0269310552725997	0.06096889110761038	0.816
n1 (first)	9.302453877319765	0.02068308800627025	-0.022688828201023366	0.06054778604508862	0.8355
n1 (first)	9.987858862892699	0.021134767342594778	-0.022426533701809265	0.06160351781553323	0.8435
n1 (first)	10.723764501351813	0.020924129845026555	-0.022438467648402786	0.0613355740076943	0.8405
n1 (first)	11.513891681800072	0.020333972801385953	-0.021728682760498455	0.05977070655348215	0.839
n1 (first)	12.362235448523078	0.01929782296683292	-0.02167478293874646	0.056942504351306496	0.8375
n1 (first)	13.2730852007484	0.017961778054519338	-0.01970872366583079	0.05345097590816737	0.835
n1 (first)	14.251046380723466	0.01657490369723037	-0.018061392519204012	0.04892155960122509	0.831
n1 (first)	15.30106375977155	0.0150397020200581	-0.01669926293527466	0.044478065871187036	0.8285
n1 (first)	16.42844644006477	0.013357431415862375	-0.016714839109736507	0.04081037868088937	0.818
n1 (first)	17.638894698528226	0.011610240579860213	-0.0159795370708046	0.037774788612829645	0.796
n1 (first)	18.93852880860355	0.010041046174008247	-0.016478597856056265	0.03562155319542264	0.7745
n1 (first)	20.33391998560055	0.008454221964060218	-0.017086430157748272	0.03360065619751854	0.7495
n1 (first)	21.83212361210294	0.0067929789229166145	-0.01745708748399329	0.031088688820532447	0.7085
n1 (first)	23.440714911422702	0.004949422189490965	-0.018895801119290106	0.02833239791773833	0.6625
n1 (first)	25.16782724947516	0.0031089476201405265	-0.02014958746535321	0.0263726968963739	0.609
n1 (first)	27.02219325873709	0.0013806723727248457	-0.02260314145529561	0.024752341842200303	0.548
n1 (first)	29.013188992218765	-0.0003577524309730391	-0.023690694670382165	0.022441739548995174	0.4905
n1 (first)	31.15088133070163	-0.0022998905298086004	-0.025602356410792303	0.01990158826665522	0.422
n1 (first)	33.44607888294205	-0.004242211420374961	-0.027194544873570082	0.01755662762057827	0.3615
n1 (first)	35.91038663620328	-0.006207046730517541	-0.028959608738639186	0.014446176857261957	0.291
n1 (first)	38.55626463343955	-0.008421869534644834	-0.0316359252499716	0.012574098632763299	0.224
n1 (first)	41.39709097381619	-0.010488691138382533	-0.03470527002512847	0.010644051522361885	0.1745
n1 (first)	44.44722945510958	-0.012433913387316777	-0.037567258603019155	0.008624620441601217	0.126
n1 (first)	47.722102200000165	-0.014623136606515593	-0.041473533033640965	0.007151732222406416	0.0945
n1 (first)	51.23826763347236	-0.016919634885776247	-0.045349028685958775	0.005359878125926282	0.07
n1 (first)	55.01350420559077	-0.019383556308159727	-0.04899369627624368	0.003437795346801859	0.0535
n1 (first)	59.066900282972185	-0.021821072643495167	-0.05314155718512946	0.0018014878861460153	0.041
n1 (first)	63.41895066346308	-0.02439395763726524	-0.05694020965402027	0.0002163659408894121	0.0275
n1 (first)	68.09166020202038	-0.026767485690400404	-0.06140192088288969	-0.001234801311179622	0.021
n1 (first)	73.10865507174927	-0.029949712774646475	-0.06720452162966384	-0.0022484176049288925	0.017
n1 (first)	78.49530222265635	-0.03322739218578875	-0.07544020820689336	-0.002989076168449723	0.0135
n1 (first)	84.27883764212612	-0.03672480837419034	-0.08521104068141257	-0.0035371843198481598	0.014
n1 (first)	90.48850406563214	-0.04064197962469544	-0.0986166862492777	-0.003845589512082698	0.0155
n1 (first)	97.15569883397542	-0.0461307151338199	-0.11762455872928404	-0.00320088240846508	0.019
n1 (first)	104.31413264464813	-0.052933591817810904	-0.1425560629762977	-0.0017157171822694312	0.0215
n1 (first)	112.0	-0.061629657177143415	-0.17231711997175975	0.00144532225639936	0.0285
n2 (second)	7.0	0.0003869618198471728	-0.05112535596480575	0.04150709808487267	0.5125
n2 (second)	7.515760138376831	0.004453459317366547	-0.03683327639661986	0.0393269948545351	0.603
n2 (second)	8.069521493944878	0.007341073286134503	-0.026418737101664817	0.03799702539415745	0.6785
n2 (second)	8.664083997137995	0.00892567959683823	-0.019963254341502895	0.03733343858166406	0.73
n2 (second)	9.302453877319765	0.010039158101429526	-0.01663706451611353	0.03816347188602227	0.763
n2 (second)	9.987858862892699	0.010507934623245448	-0.015203629000596417	0.038767499819615976	0.776
n2 (second)	10.723764501351813	0.010599483684796174	-0.014347077213226147	0.03884737740564396	0.7855
n2 (second)	11.513891681800072	0.010081339448849909	-0.014234298659137157	0.03753168313726382	0.792
n2 (second)	12.362235448523078	0.009525920048899402	-0.014080627026061172	0.03598406746234505	0.788
n2 (second)	13.2730852007484	0.00886798500840387	-0.01365984030614939	0.03413747820171414	0.783
n2 (second)	14.251046380723466	0.00842607670322612	-0.013078517078340282	0.03242327145584455	0.7765
