curve	payoff	median	lo	hi	p_gt0
n1 (first)	7.0	0.016419542430541764	-0.029159106276852566	0.0591325206035465	0.776
n1 (first)	7.515760138376831	0.0160276963179476	-0.02782420554526863	0.05723552927775824	0.7805
n1 (first)	8.069521493944878	0.01550746095375792	-0.026611002897524286	0.05491603039804736	0.7815
n1 (first)	8.664083997137995	0.015048532073150475	-0.02580253719826589	0.052285945293945243	0.782
n1 (first)	9.302453877319765	0.014413009944054693	-0.025329849533607073	0.04978196548403353	0.779
n1 (first)	9.987858862892699	0.01369943095225697	-0.024635089739325926	0.04743279701164337	0.781
n1 (first)	10.723764501351813	0.012978138334667835	-0.02358333908173718	0.045439471198621996	0.7745
n1 (first)	11.513891681800072	0.012027673212262804	-0.022770662266431284	0.04319147182676775	0.7705
n1 (first)	12.362235448523078	0.011356455933033253	-0.0218441586756141	0.04130715860879393	0.765
n1 (first)	13.2730852007484	0.010456056224101885	-0.021196709698264316	0.03898119024155591	0.7585
n1 (first)	14.251046380723466	0.009482635914870762	-0.02099328474869441	0.036800751143324574	0.7475
n1 (first)	15.30106375977155	0.00847725380530263	-0.020841079938467035	0.03486043739112579	0.733
n1 (first)	16.42844644006477	0.007323637763362784	-0.020694197018449028	0.03254021923992978	0.7185
n1 (first)	17.638894698528226	0.0061015515935636064	-0.02103510146576742	0.030283957869619387	0.6945
n1 (first)	18.93852880860355	0.005234857585263096	-0.02126995227938106	0.02847717592633072	0.6695
n1 (first)	20.33391998560055	0.004049324455064266	-0.02198402979324058	0.026702197319790805	0.636
n1 (first)	21.83212361210294	0.0027784452419157618	-0.022333202187251832	0.024823104562908635	0.5925
n1 (first)	23.440714911422702	0.0014622884299235008	-0.02310291476074283	0.022923553777494794	0.552
n1 (first)	25.16782724947516	0.00020048760359228846	-0.02407793343141604	0.021007898713316896	0.512
n1 (first)	27.02219325873709	-0.0011776665988664499	-0.0254460561852337	0.019315533669439038	0.458
n1 (first)	29.013188992218765	-0.0025018847778791953	-0.027088550385973055	0.017680098582392206	0.3995
