curve	payoff	median	lo	hi	p_gt0
n1 (first)	7.0	0.040199335743187195	0.015728571748052575	0.06977810790493362	0.9995
n1 (first)	7.515760138376831	0.03772591406404566	0.013648904030314055	0.06675892385114567	0.999
n1 (first)	8.069521493944878	0.03525446505255868	0.01155796942116073	0.0640263238302717	0.998
n1 (first)	8.664083997137995	0.032486492977276765	0.008995530957838744	0.06094902096980063	0.9975
n1 (first)	9.302453877319765	0.029858959005811828	0.006472350677892178	0.05805542729119174	0.9955
n1 (first)	9.987858862892699	0.027124917511994168	0.0041659091410113855	0.05548563040564467	0.9895
n1 (first)	10.723764501351813	0.02433549762780593	0.0015619118082166557	0.05258510165274099	0.9815
n1 (first)	11.513891681800072	0.021322905723890104	-0.0010028015799365625	0.04981118785283964	0.9675
n1 (first)	12.362235448523078	0.018252869786852255	-0.003827630257280713	0.04732711037555331	0.9465
n1 (first)	13.2730852007484	0.015343891278682666	-0.006657999136092363	0.04412503463054854	0.9005
n1 (first)	14.251046380723466	0.012392587494272477	-0.009780769413982829	0.04108076841389616	0.839
n1 (first)	15.30106375977155	0.009543262641070575	-0.013036259545837462	0.03852265027533875	0.752
n1 (first)	16.42844644006477	0.0065018905481688625	-0.0165370057108327	0.035903355401440185	0.675
n1 (first)	17.638894698528226	0.0033159321123923773	-0.020127542534745278	0.03323943232233387	0.588
n1 (first)	18.93852880860355	1.6480354107081024e-05	-0.02416337697136355	0.030395948008115584	0.501
n1 (first)	20.33391998560055	-0.003298507245551852	-0.02833600555873835	0.02771638131460254	0.413
n1 (first)	21.83212361210294	-0.006713416571159727	-0.032651623465849676	0.025562686527093762	0.3395
n1 (first)	23.440714911422702	-0.01020340146488111	-0.03703066277299331	0.02278329130620719	0.284
n1 (first)	25.16782724947516	-0.013695453975636877	-0.04129425262125383	0.020148704101219096	0.228
n1 (first)	27.02219325873709	-0.017149507948159923	-0.045961570484499004	0.01793075440748584	0.177
n1 (first)	29.013188992218765	-0.020798315724077403	-0.05093779656861017	0.01525543201906851	0.139
n1 (first)	31.15088133070163	-0.024163284940309115	-0.055809487777488655	0.012401324085933134	0.1095
n1 (first)	33.44607888294205	-0.02774730423623114	-0.06065659249732941	0.010289029023673991	0.086
n1 (first)	35.91038663620328	-0.03167862596076325	-0.06620730543630753	0.008010419214500823	0.0645
n1 (first)	38.55626463343955	-0.03566503707546172	-0.0714763719060304	0.005332724464456527	0.047
n1 (first)	41.39709097381619	-0.039374500932631396	-0.07716835444376621	0.00281000435923518	0.035
n1 (first)	44.44722945510958	-0.0433558874639573	-0.08276040359710778	0.0006764844004744367	0.027
n1 (first)	47.722102200000165	-0.04751014239696542	-0.08887586698163057	-0.001746636101837577	0.02
n1 (first)	51.23826763347236	-0.05151874413518655	-0.09495733106078448	-0.004146156412260749	0.0145
n1 (first)	55.01350420559077	-0.05583074834452462	-0.10104347903309574	-0.0066249751949323055	0.0095
n1 (first)	59.066900282972185	-0.06039499375814177	-0.10781186721322107	-0.008236991636425882	0.0085
n1 (first)	63.41895066346308	-0.06442985692921917	-0.11465567542958993	-0.010353648198796063	0.0055
n1 (first)	68.09166020202038	-0.06879036388935306	-0.12166250456172485	-0.012938695393290062	0.0025
n1 (first)	73.10865507174927	-0.07301640450928905	-0.12870919412947993	-0.0157871229160878	0.0025
n1 (first)	78.49530222265635	-0.07731487807477236	-0.13597995128187393	-0.018577696806492898	0.001
n1 (first)	84.27883764212612	-0.08180068191176582	-0.14334879648779747	-0.02118808409708098	0.0005
n1 (first)	90.48850406563214	-0.086399199214544	-0.15100480625419088	-0.023869527864960147	0.0005
n1 (first)	97.15569883397542	-0.09106559571131052	-0.15893854273909358	-0.02645305902591638	0.0005
n1 (first)	104.31413264464813	-0.09583272106439386	-0.1673020345417585	-0.028535875338159485	0.0005
n1 (first)	112.0	-0.10074184479065372	-0.17521205987888117	-0.031118711444474877	0.0
n2 (second)	7.0	0.06940721507532782	0.04828088786799991	0.09599790870840419	1.0
