family	contrast	model_a	model_b	elpd_a	elpd_b	delta_elpd	dse	z
existence	TMS vs null, Log-Flexible PMC	lfx2-bs3-m2-dp-bm	lfx2-bs3-m2-dp-null	-4148.978003899376	-4245.271220743446	96.29321684406978	13.331866955556368	7.2227856132285595
existence	TMS vs null, Log-Weber PMC	lfx2-bs3-w-dp-bm	lfx2-bs3-w-dp-null	-4195.092657103018	-4264.236751309926	69.1440942069087	11.231630462669166	6.156193834610616
existence	TMS vs null, Flexible PMC (perceptual)	flexible2_noisefix_perception.head	flexible2_noisefix_null.head	-4157.529923470823	-4271.424275769227	113.89435229840356	14.399884352718498	7.909393541546178
existence	TMS vs null, Flexible PMC (both channels)	flexible2_noisefix.head	flexible2_noisefix_null.head	-4161.048898306392	-4271.424275769227	110.37537746283488	14.657797190337595	7.53014767700526
existence	TMS vs null, power-law 2	power2	power2_null	-4206.166831076796	-4293.1013360769375	86.9345050001412	12.954676367798736	6.710665904108042
existence	TMS vs null, power-law 1	power1	power1_null	-4209.47488302009	-4287.82479997557	78.34991695548007	12.494369540728867	6.270817963249507
cross_set	Log-Flexible vs Flexible PMC (perceptual)	lfx2-bs3-m2-dp-bm	flexible2_noisefix_perception.head	-4148.978003899376	-4157.529923470823	8.551919571446476	12.601488469027217	0.6786436056713425
cross_set	Log-Flexible vs Flexible PMC (both channels)	lfx2-bs3-m2-dp-bm	flexible2_noisefix.head	-4148.978003899376	-4161.048898306392	12.07089440701513	12.399587218036846	0.973491632806648
cross_set	Log-Flexible vs Flexible PMC 2.4	lfx2-bs3-m2-dp-bm	flexible2.4_noisefix.head	-4148.978003899376	-4165.246341934584	16.26833803520754	12.233052973186194	1.3298673741433433
cross_set	ELPD leader vs Flexible PMC (perceptual)	lfx2-bs2-m2-dp-b	flexible2_noisefix_perception.head	-4148.562173320028	-4157.529923470823	8.967750150795789	12.515501309021037	0.7165314380441103
prior	Free prior vs objective prior (log space)	lfx2-bs3-m2-dp-bm	lfx2-bs3-m3-dp-bm-op	-4148.978003899376	-4732.488563664939	583.5105597655624	30.533975521802564	19.110205919596385
prior	Prior vs no prior, power-law 2	power2	power2_flat	-4206.166831076796	-4934.575129696434	728.4082986196373	34.080412094807905	21.373224496032698
prior	Prior vs no prior, power-law 1	power1	power1_flat	-4209.47488302009	-4979.2064300176835	769.7315469975933	34.80256376613508	22.11709321675281
structure	Flexible vs Weber noise (log space)	lfx2-bs3-m2-dp-bm	lfx2-bs3-w-dp-bm	-4148.978003899376	-4195.092657103018	46.11465320364121	12.53489550142225	3.6789020856543155
structure	cTBS on both channels vs perceptual only	lfx2-bs3-m2-dp-bm	lfx2-bs2-m2-dp-b	-4148.978003899376	-4148.562173320028	-0.4158305793493131	4.746869828839416	-0.08760100747295643
structure	Spline basis bs3 vs bs2 (matched memory df)	lfx2-bs3-m2-dp-bm	lfx2-bs2-m3-dp-bm	-4148.978003899376	-4154.978764582858	6.000760683481474	3.5267798567320234	1.7014843362074448
