order	n_risky_bin	channel	delta	lo	hi
Risky first	7-17	bias_only	-0.0012203916374547421	-0.039694614389729266	0.031529154962451185
Risky first	18-26	bias_only	-0.01086862520762935	-0.027738084723864905	0.007675074602198367
Risky first	27-36	bias_only	-0.00640715326917948	-0.03191168472018533	0.01720644630841839
Risky first	37-53	bias_only	-0.001065067628634813	-0.034220994072984255	0.03314896120179929
Risky first	54-112	bias_only	0.017757416386394324	-0.03055131996863702	0.0616205393273993
Risky second	7-17	bias_only	0.05631100654964534	0.019186443487970654	0.10314646543740916
Risky second	18-26	bias_only	0.01596554619129836	-0.0061078949092732695	0.03658496419924353
Risky second	27-36	bias_only	0.01867906752169447	-0.005517750389777288	0.04417216315976602
Risky second	37-53	bias_only	0.02367996712775555	-0.006183953739874573	0.05288338526326476
Risky second	54-112	bias_only	0.01670870853362824	-0.021408383134220846	0.06801237707031924
Risky first	7-17	bias_risky_percept_only	0.006478744724483669	-0.01792108107179355	0.030929731852396614
Risky first	18-26	bias_risky_percept_only	-0.008242796955450812	-0.024941978608634497	0.0035719482586189233
Risky first	27-36	bias_risky_percept_only	-0.008953312984564372	-0.029626318822895695	0.011237996465698468
Risky first	37-53	bias_risky_percept_only	-0.007636954320987749	-0.039889562844226435	0.03307210965886564
Risky first	54-112	bias_risky_percept_only	0.004257010543068288	-0.044623604374409896	0.05539202137769791
Risky second	7-17	bias_risky_percept_only	0.02893704920183586	-0.00023552472721470353	0.07247420823835098
Risky second	18-26	bias_risky_percept_only	-0.006073916763522063	-0.020438995596370555	0.00467099888831451
Risky second	27-36	bias_risky_percept_only	-0.0019170438039379934	-0.022061403758856565	0.014003390212535126
Risky second	37-53	bias_risky_percept_only	0.0060392325727783944	-0.024603662600281566	0.0383563875882658
Risky second	54-112	bias_risky_percept_only	-0.0023078413410595393	-0.049262023371786284	0.05198987937663456
Risky first	7-17	bias_safe_percept_only	-0.007810612039845201	-0.0414183319407692	0.011356487052982301
Risky first	18-26	bias_safe_percept_only	-0.001860208146463726	-0.018230187966611532	0.01646939441506562
Risky first	27-36	bias_safe_percept_only	0.003970996779350938	-0.01700926244068002	0.023421974528005277
Risky first	37-53	bias_safe_percept_only	0.008439017969602928	-0.020645317604727265	0.03601903442883945
Risky first	54-112	bias_safe_percept_only	0.01207938981021347	-0.01974914567254696	0.04332731291967546
Risky second	7-17	bias_safe_percept_only	0.026809525254812692	0.002155094412545831	0.056018777118598734
Risky second	18-26	bias_safe_percept_only	0.022238968454807904	0.00023431120842109626	0.04244202101308989
Risky second	27-36	bias_safe_percept_only	0.020945342063127228	-0.0006565850325504436	0.04303753669620332
Risky second	37-53	bias_safe_percept_only	0.01700466323482952	-0.009103444363151783	0.04815909831682608
Risky second	54-112	bias_safe_percept_only	0.013588136089132126	-0.011959556014711	0.044113515037759995
Risky first	7-17	full	0.0005788297819350587	-0.03732829183480266	0.029876692808315987
Risky first	18-26	full	-0.015698812225402082	-0.03501555768486112	0.00390859458629997
Risky first	27-36	full	-0.010095660489255656	-0.03493718202167151	0.014291519712065399
Risky first	37-53	full	-0.002711428892915664	-0.03726504057181378	0.03135639178715349
Risky first	54-112	full	0.02035244136347893	-0.028242457751670575	0.0655846247576982
Risky second	7-17	full	0.05894078421968583	0.023233642593247773	0.1041270002449681
Risky second	18-26	full	0.015863887764949423	-0.00787018309478615	0.03670988418695762
Risky second	27-36	full	0.01761744194467767	-0.005391715257028403	0.04026844170582209
Risky second	37-53	full	0.0237963612320726	-0.0069960219835550445	0.05473685463609771
Risky second	54-112	full	0.018922099171327415	-0.022188741180114803	0.07151406659356402
Risky first	7-17	noise_only	0.005020579339044418	-0.002639526709382012	0.013727809921642643
Risky first	18-26	noise_only	-0.005127870079068511	-0.010864537003733715	0.0006294780636835462
Risky first	27-36	noise_only	-0.0038258851279840446	-0.008310783220513367	0.0008162196883255118
Risky first	37-53	noise_only	-0.007284853029015285	-0.012755475605750927	-0.001866007212069307
Risky first	54-112	noise_only	-0.010227146641756123	-0.01821435657802779	-0.00247039038150562
Risky second	7-17	noise_only	0.004711485041706026	-0.005994707563499155	0.012109910475473103
Risky second	18-26	noise_only	0.0007595639738357742	-0.0060583959733019055	0.007532896633096826
Risky second	27-36	noise_only	-6.863796749350697e-05	-0.0059958597682775215	0.007185006175546572
Risky second	37-53	noise_only	-0.0024062256147675876	-0.009101967770208544	0.004917824058605981
Risky second	54-112	noise_only	-0.009611946043929733	-0.018870455585809513	-0.00217725841569284
