order	n_risky_bin	channel	delta	lo	hi
Risky first	7-17	bias_only	0.024686388322089955	-0.025801137934562235	0.0659952052073405
Risky first	18-26	bias_only	-0.0031699110189754875	-0.031014535483184544	0.023448715059319725
Risky first	27-36	bias_only	-0.01054404288872133	-0.038624552098937316	0.020882925504045954
Risky first	37-53	bias_only	-0.006968277759697236	-0.04202005154817277	0.03047482674303184
Risky first	54-112	bias_only	0.026478570269785947	-0.015381860209045698	0.07387588055510971
Risky second	7-17	bias_only	0.0879357100133426	0.03725016335709334	0.1328385661240104
Risky second	18-26	bias_only	0.05847235698960129	0.02994204083192093	0.08489205170903738
Risky second	27-36	bias_only	0.046774551472426464	0.015326131676049721	0.07446342728988707
Risky second	37-53	bias_only	0.036161921177812514	0.00605727792648731	0.0737664985441788
Risky second	54-112	bias_only	0.019427557581286847	-0.02038757417014627	0.05498093803080017
Risky first	7-17	bias_risky_percept_only	-0.03477681058468919	-0.06441792117604365	-0.01411206820781605
Risky first	18-26	bias_risky_percept_only	-0.07800651742055766	-0.1351103081132216	-0.035371326305311146
Risky first	27-36	bias_risky_percept_only	-0.10621979054826337	-0.18051652970464946	-0.03755324558508081
Risky first	37-53	bias_risky_percept_only	-0.14149245618898576	-0.23065469319945114	-0.03911927019277635
Risky first	54-112	bias_risky_percept_only	-0.13933117745438722	-0.25700198615179837	-0.001179290551916626
Risky second	7-17	bias_risky_percept_only	-0.027325219576631938	-0.05263663685518788	-0.009262481035608965
Risky second	18-26	bias_risky_percept_only	-0.07024462412155795	-0.12494925216819476	-0.02192856242653754
Risky second	27-36	bias_risky_percept_only	-0.10309967112629628	-0.1690073194727761	-0.02568957469588642
Risky second	37-53	bias_risky_percept_only	-0.16013568321969213	-0.2530872237614126	-0.05326199235840139
Risky second	54-112	bias_risky_percept_only	-0.20039914246925813	-0.33874247789636575	-0.0557255717028655
Risky first	7-17	bias_safe_percept_only	0.06034896508882632	0.007057642327496632	0.11268009225543736
Risky first	18-26	bias_safe_percept_only	0.07834248193878075	0.026923765592284783	0.13103831945352465
Risky first	27-36	bias_safe_percept_only	0.10048332185877266	0.027752472545021327	0.16942231400122637
Risky first	37-53	bias_safe_percept_only	0.1429917680577339	0.04303473224505471	0.22896815260313033
Risky first	54-112	bias_safe_percept_only	0.16296108177879978	0.048332895504133035	0.2620771557165521
Risky second	7-17	bias_safe_percept_only	0.11608203336558795	0.064263918827465	0.17694195650819206
Risky second	18-26	bias_safe_percept_only	0.12329795281852712	0.07192111540631614	0.1750645989236628
Risky second	27-36	bias_safe_percept_only	0.13317593399910962	0.07450128728808623	0.2027822083101462
Risky second	37-53	bias_safe_percept_only	0.16712702766861734	0.07932632433193984	0.24693739661648414
Risky second	54-112	bias_safe_percept_only	0.18135323467926528	0.06676763204798017	0.267867661649352
Risky first	7-17	full	0.024561333182088637	-0.025436137355559642	0.06602750445999075
Risky first	18-26	full	-0.0031936410560708508	-0.031145727860010845	0.023136504593183484
Risky first	27-36	full	-0.010290329492286397	-0.038883479717561606	0.02055072164893336
Risky first	37-53	full	-0.006451015262212593	-0.04120283160779219	0.03216605187483505
Risky first	54-112	full	0.027619176314474813	-0.014876687767298486	0.07609091898420837
Risky second	7-17	full	0.08816333057286908	0.037118407893915115	0.13156776240534596
Risky second	18-26	full	0.05838681644906208	0.03002618250941467	0.0881529131826693
Risky second	27-36	full	0.04886023681594069	0.017679491405159894	0.07669633535990066
Risky second	37-53	full	0.03977581772853923	0.008997131828645583	0.0793536891554144
Risky second	54-112	full	0.02277475227166023	-0.017561579427953382	0.056300250717828605
Risky first	7-17	noise_only	6.60435826699554e-05	-0.002320066194807164	0.0026307505072845033
Risky first	18-26	noise_only	-0.000533000977574877	-0.0023233296208220967	0.0019031708769046095
Risky first	27-36	noise_only	-0.00037790662718831876	-0.001669618112184863	0.0014464569034597185
Risky first	37-53	noise_only	-0.0006199492832137614	-0.0018005471483770001	0.0013707060931925962
Risky first	54-112	noise_only	-0.0008634770305865679	-0.002682089517311344	0.0008502891629060262
Risky second	7-17	noise_only	0.0019456576397246083	-0.002251990519469134	0.0064141455417709515
Risky second	18-26	noise_only	-0.0012101749215619288	-0.0041658401142721105	0.0014739219233399841
Risky second	27-36	noise_only	0.0004108659594257326	-0.002224960139943351	0.0033423359599790165
Risky second	37-53	noise_only	0.001244538205406994	-0.0008303098884537127	0.00381989772589779
Risky second	54-112	noise_only	0.0017117616775553207	-0.0006906599955743269	0.004254783877507934
