order	n_safe	option	position	objective_ev	vertex	ips	delta	lo	hi	p_decrease
Risky first	7.0	safe	second	7.0	5.750007803300045	5.607121608718705	-0.14288619458133883	-0.30506155076712566	0.006852797892531111	0.955
Risky first	7.0	risky	first	8.666144578313254	6.156352081268198	6.0078040975202285	-0.1485479837479703	-0.26508068195888684	-0.06537265228399232	1.0
Risky first	10.0	safe	second	10.0	6.727961609288335	6.492095372047013	-0.23586623724132175	-0.4145978218509038	-0.07202169579840824	0.995
Risky first	10.0	risky	first	12.471765417170497	6.95988878361222	6.712482495171674	-0.24740628844054652	-0.4057680173549705	-0.11883731200560563	1.0
Risky first	14.0	safe	second	14.0	7.583366593947158	7.266838059654452	-0.3165285342927076	-0.5776154936656946	-0.10992860760229807	1.0
Risky first	14.0	risky	first	17.557082833133254	7.664431519456737	7.333294156500916	-0.3311373629558214	-0.5364548096236202	-0.13526191701972948	1.0
Risky first	20.0	safe	second	20.0	8.541829680809174	8.10092714591285	-0.4409025348963241	-0.752833500333106	-0.16836160105968703	1.0
Risky first	20.0	risky	first	25.183793517406965	8.388802959064034	7.990211740835236	-0.39859121822879784	-0.6616260926412526	-0.10787269116884689	1.0
Risky first	28.0	safe	second	28.0	9.373594391079793	8.792746484387711	-0.5808479066920809	-0.9726453579190636	-0.19740695994914392	1.0
Risky first	28.0	risky	first	35.32727817745804	9.072517971463098	8.634739680786799	-0.43777829067629814	-0.7794358167069096	-0.04627432293880466	0.985
Risky second	7.0	safe	first	7.0	6.027254582142811	5.75399493922629	-0.2732596429165211	-0.4836749976697903	-0.08965297642401168	1.0
Risky second	7.0	risky	second	8.662994011976048	6.194398373252827	6.074695485833196	-0.11970288741963152	-0.2125106270860834	-0.04309603718330679	1.0
Risky second	10.0	safe	first	10.0	6.918363849295331	6.5241966767868105	-0.39416717250852074	-0.6178350080674241	-0.1920972354097031	1.0
Risky second	10.0	risky	second	12.505193236714977	7.042763113355484	6.830745760284177	-0.2120173530713066	-0.3582802628774392	-0.08055180189995825	1.0
Risky second	14.0	safe	first	14.0	7.502383735695026	7.081625732807034	-0.4207580028879927	-0.674776840323363	-0.20917077481245772	1.0
Risky second	14.0	risky	second	17.568458781362008	7.771111265250941	7.461935974090471	-0.3091752911604695	-0.5191817089595889	-0.10469242038149668	1.0
Risky second	20.0	safe	first	20.0	8.334241798306373	7.799798361588739	-0.5344434367176338	-0.8835366690022909	-0.2588830457041092	1.0
Risky second	20.0	risky	second	25.221241050119335	8.507468997965365	8.079562548340764	-0.4279064496246019	-0.7004152443586027	-0.14270989098942688	1.0
Risky second	28.0	safe	first	28.0	9.159130808220683	8.48504891514925	-0.6740818930714312	-1.1285055848377312	-0.2977615931122827	1.0
Risky second	28.0	risky	second	35.39642857142858	9.174362863104335	8.642980692771529	-0.531382170332807	-0.89770441977225	-0.152306517987125	1.0
