term	payoff	delta	lo	hi	p_increase
n1_evidence_sd	7	0.20103880500774662	0.015021452204354678	0.4245217373346846	0.98245
n1_evidence_sd	10	0.13098094916836406	0.030471738928409865	0.25331299354295483	0.99525
n1_evidence_sd	14	0.06900920844063207	-0.013220741680011914	0.1585864201923607	0.9507
n1_evidence_sd	20	0.049995497130974	-0.020879812609770797	0.12500415106230756	0.91835
n1_evidence_sd	28	0.04287988074060017	-0.022736965639268726	0.1101320976633973	0.9032
n1_evidence_sd	56	-0.03460656428782807	-0.1463392442945685	0.07515837614476698	0.26495
n1_evidence_sd	112	-0.1485422324337763	-0.5989293206357564	0.2790080194064128	0.25025
n2_evidence_sd	7	0.0	0.0	0.0	0.0
n2_evidence_sd	10	0.0	0.0	0.0	0.0
n2_evidence_sd	14	0.0	0.0	0.0	0.0
n2_evidence_sd	20	0.0	0.0	0.0	0.0
n2_evidence_sd	28	0.0	0.0	0.0	0.0
n2_evidence_sd	56	0.0	0.0	0.0	0.0
n2_evidence_sd	112	0.0	0.0	0.0	0.0
