term	payoff	delta	lo	hi	p_increase
n1_evidence_sd	7	0.0	0.0	0.0	0.0
n1_evidence_sd	10	0.0	0.0	0.0	0.0
n1_evidence_sd	14	0.0	0.0	0.0	0.0
n1_evidence_sd	20	0.0	0.0	0.0	0.0
n1_evidence_sd	28	0.0	0.0	0.0	0.0
n1_evidence_sd	56	0.0	0.0	0.0	0.0
n1_evidence_sd	112	0.0	0.0	0.0	0.0
n2_evidence_sd	7	0.03334543826434105	-0.17925404355628582	0.2576343904000949	0.6264
n2_evidence_sd	10	0.006861192336073613	-0.09510380825086684	0.11231796937246354	0.5493
n2_evidence_sd	14	-0.011041348762545616	-0.08884952555466821	0.06689234535870285	0.3839
n2_evidence_sd	20	-0.01386951254188922	-0.08260834261746763	0.05329812298080993	0.3341
n2_evidence_sd	28	-0.013652173306423345	-0.07556928273338555	0.047813325925909395	0.325
n2_evidence_sd	56	-0.043939758935870106	-0.1532178851588082	0.06068274655578831	0.2051
n2_evidence_sd	112	-0.10232934042532084	-0.5341650524428253	0.33091897760849515	0.30675
