term	payoff	delta	lo	hi	p_increase
memory_noise_sd	7	0.0	0.0	0.0	0.0
memory_noise_sd	10	0.0	0.0	0.0	0.0
memory_noise_sd	14	0.0	0.0	0.0	0.0
memory_noise_sd	20	0.0	0.0	0.0	0.0
memory_noise_sd	28	0.0	0.0	0.0	0.0
memory_noise_sd	56	0.0	0.0	0.0	0.0
memory_noise_sd	112	0.0	0.0	0.0	0.0
perceptual_noise_sd	7	0.3184211172484026	0.08046254847842828	0.625298470772412	0.99635
perceptual_noise_sd	10	0.26257850115219933	0.09089772189569206	0.4676383903358369	0.9994
perceptual_noise_sd	14	0.22616593458268294	0.0549827477462701	0.4132029635631867	0.99535
perceptual_noise_sd	20	0.23485288142366717	0.05242654874926962	0.4274525399560799	0.9944
perceptual_noise_sd	28	0.2628694164679694	0.0655964681140754	0.46745805317536715	0.9953
perceptual_noise_sd	56	0.3205225825163906	0.0641426438441044	0.5771360830448553	0.99165
perceptual_noise_sd	112	0.3066545849398911	-0.1603202426042886	0.7550459877971077	0.90705
