parameter	level	mean	lo	hi	p_gt0
risky_prior_mu	group	10.012955534991777	8.470560952426663	11.224570288117677	1.0
risky_prior_mu	sub-01	10.01443592956504			
risky_prior_mu	sub-02	10.003192878279227			
risky_prior_mu	sub-03	10.054478594522315			
risky_prior_mu	sub-04	9.960314840491629			
risky_prior_mu	sub-05	10.119578214878803			
risky_prior_mu	sub-06	9.976597458327245			
risky_prior_mu	sub-07	10.107630221004698			
risky_prior_mu	sub-09	9.944461885931068			
risky_prior_mu	sub-10	10.129726517279726			
risky_prior_mu	sub-11	10.22003086010361			
risky_prior_mu	sub-18	10.187459923345283			
risky_prior_mu	sub-19	10.003569566216049			
risky_prior_mu	sub-21	10.082285693097726			
risky_prior_mu	sub-25	10.140222456393097			
risky_prior_mu	sub-26	10.115883304193213			
risky_prior_mu	sub-29	10.02058830576048			
risky_prior_mu	sub-30	10.116830174572037			
risky_prior_mu	sub-31	10.017028227675471			
risky_prior_mu	sub-34	10.076959699597998			
risky_prior_mu	sub-35	9.449960150467252			
risky_prior_mu	sub-36	9.961773633211967			
risky_prior_mu	sub-37	10.115112263801072			
risky_prior_mu	sub-45	9.762610256758823			
risky_prior_mu	sub-46	9.844225041625894			
risky_prior_mu	sub-47	10.04285091795075			
risky_prior_mu	sub-50	10.103823021987239			
risky_prior_mu	sub-53	9.99035828150175			
risky_prior_mu	sub-56	10.013226058806245			
risky_prior_mu	sub-59	9.732622027739616			
risky_prior_mu	sub-62	10.320851954192749			
risky_prior_mu	sub-63	10.088244898708243			
risky_prior_mu	sub-67	9.901651891555954			
risky_prior_mu	sub-69	10.044901525656945			
risky_prior_mu	sub-72	10.09378412327726			
risky_prior_mu	sub-74	9.642869354894488			
risky_prior_sd	group	1.1709411557258633	0.6593957787002338	1.6587168180862149	1.0
risky_prior_sd	sub-01	1.2306425340578337			
risky_prior_sd	sub-02	1.1044437643995306			
risky_prior_sd	sub-03	1.243635898765408			
risky_prior_sd	sub-04	1.1648661587369666			
risky_prior_sd	sub-05	1.1717381889451586			
risky_prior_sd	sub-06	1.1760280007137838			
risky_prior_sd	sub-07	1.11841470145403			
risky_prior_sd	sub-09	1.139467559172221			
risky_prior_sd	sub-10	1.1482287657294874			
risky_prior_sd	sub-11	1.2116711168089374			
risky_prior_sd	sub-18	1.2040235947474438			
risky_prior_sd	sub-19	1.1333592549714142			
risky_prior_sd	sub-21	1.0955904928711526			
risky_prior_sd	sub-25	1.2267472465415339			
risky_prior_sd	sub-26	1.2384354673906675			
risky_prior_sd	sub-29	1.106317035681572			
risky_prior_sd	sub-30	1.1584747719430146			
risky_prior_sd	sub-31	1.2132116171175553			
risky_prior_sd	sub-34	1.1650973779610971			
risky_prior_sd	sub-35	1.1625882901903308			
risky_prior_sd	sub-36	1.212038070820864			
risky_prior_sd	sub-37	1.1924154242620109			
risky_prior_sd	sub-45	1.141530741718476			
risky_prior_sd	sub-46	1.1812092165794423			
risky_prior_sd	sub-47	1.1910446616296109			
risky_prior_sd	sub-50	1.123425242268617			
risky_prior_sd	sub-53	1.1593787967335538			
risky_prior_sd	sub-56	1.19556099921455			
risky_prior_sd	sub-59	1.143748854006264			
risky_prior_sd	sub-62	1.1563962315892733			
risky_prior_sd	sub-63	1.20205618906016			
risky_prior_sd	sub-67	1.144797595879507			
risky_prior_sd	sub-69	1.1643657870765842			
risky_prior_sd	sub-72	1.2238229366684894			
risky_prior_sd	sub-74	1.1225472518971746			
safe_prior_mu	group	5.048026066387457	4.008489246461879	5.866064759779337	1.0
safe_prior_mu	sub-01	5.560533677634653			
safe_prior_mu	sub-02	4.524522075670962			
safe_prior_mu	sub-03	5.300651423821129			
safe_prior_mu	sub-04	5.281687506157825			
safe_prior_mu	sub-05	4.757295595929461			
safe_prior_mu	sub-06	5.282370737969348			
safe_prior_mu	sub-07	4.301385225794939			
safe_prior_mu	sub-09	5.520944711266579			
safe_prior_mu	sub-10	4.45575946273138			
safe_prior_mu	sub-11	4.871814738553855			
safe_prior_mu	sub-18	4.616130818248312			
safe_prior_mu	sub-19	5.194651097365799			
safe_prior_mu	sub-21	4.436285395090461			
safe_prior_mu	sub-25	4.833063378655282			
safe_prior_mu	sub-26	4.955577678112827			
safe_prior_mu	sub-29	4.75596794500374			
safe_prior_mu	sub-30	4.709956292456976			
safe_prior_mu	sub-31	5.106134619258508			
safe_prior_mu	sub-34	4.926596143453003			
safe_prior_mu	sub-35	7.095286679751522			
safe_prior_mu	sub-36	5.356985639650759			
safe_prior_mu	sub-37	4.820975411463425			
safe_prior_mu	sub-45	5.573764698447382			
safe_prior_mu	sub-46	5.466192387664145			
safe_prior_mu	sub-47	4.607835629209685			
safe_prior_mu	sub-50	4.929016115325096			
safe_prior_mu	sub-53	5.123950404260322			
safe_prior_mu	sub-56	4.9689841879330885			
safe_prior_mu	sub-59	5.856744000080702			
safe_prior_mu	sub-62	4.2273558454650235			
safe_prior_mu	sub-63	5.059320552776205			
safe_prior_mu	sub-67	4.995673529953668			
safe_prior_mu	sub-69	4.514269722916588			
safe_prior_mu	sub-72	5.209657682106681			
safe_prior_mu	sub-74	5.47136474056603			
safe_prior_sd	group	0.9121136680129587	0.4051165860841413	1.4011699175767058	0.99985
safe_prior_sd	sub-01	0.8488130887785703			
safe_prior_sd	sub-02	1.0119267911184522			
safe_prior_sd	sub-03	0.814696629467288			
safe_prior_sd	sub-04	0.9398246545169539			
safe_prior_sd	sub-05	0.9692923583292139			
safe_prior_sd	sub-06	1.0543801847806362			
safe_prior_sd	sub-07	0.9554932287831128			
safe_prior_sd	sub-09	1.1413683803092707			
safe_prior_sd	sub-10	0.9649414279113633			
safe_prior_sd	sub-11	0.8756131872889739			
safe_prior_sd	sub-18	0.7534753790978606			
safe_prior_sd	sub-19	1.1969597971159998			
safe_prior_sd	sub-21	1.1186129452782227			
safe_prior_sd	sub-25	0.7248792352821402			
safe_prior_sd	sub-26	0.7213551397683584			
safe_prior_sd	sub-29	1.1333314037479862			
safe_prior_sd	sub-30	0.8761971641931785			
safe_prior_sd	sub-31	0.7860418255402125			
safe_prior_sd	sub-34	1.0727924071572297			
safe_prior_sd	sub-35	-0.08020538996315385			
safe_prior_sd	sub-36	0.7755179058969102			
safe_prior_sd	sub-37	0.9395702977050602			
safe_prior_sd	sub-45	0.9267004730903873			
safe_prior_sd	sub-46	0.7678631205183649			
safe_prior_sd	sub-47	0.8886177442161055			
safe_prior_sd	sub-50	1.227129006578275			
safe_prior_sd	sub-53	0.8775371649053973			
safe_prior_sd	sub-56	0.9084038778818493			
safe_prior_sd	sub-59	0.9441373462578376			
safe_prior_sd	sub-62	0.9613359862732245			
safe_prior_sd	sub-63	0.9322241062510006			
safe_prior_sd	sub-67	1.02470553434774			
safe_prior_sd	sub-69	0.8878836731958041			
safe_prior_sd	sub-72	0.8766213181911928			
safe_prior_sd	sub-74	0.9694845329739237			
