parameter	level	mean	lo	hi	p_gt0
risky_prior_mu	group	10.769687357819413	8.75559836582652	12.399498592343464	1.0
risky_prior_mu	sub-01	10.725761345749627			
risky_prior_mu	sub-02	10.914854780756919			
risky_prior_mu	sub-03	10.858929154815494			
risky_prior_mu	sub-04	10.593334636438291			
risky_prior_mu	sub-05	10.989187323451157			
risky_prior_mu	sub-06	10.552694669024898			
risky_prior_mu	sub-07	11.003267015193915			
risky_prior_mu	sub-09	10.484283818299946			
risky_prior_mu	sub-10	11.152696725115325			
risky_prior_mu	sub-11	11.105319745227192			
risky_prior_mu	sub-18	11.07827372985121			
risky_prior_mu	sub-19	10.557449655764268			
risky_prior_mu	sub-21	10.969395051290862			
risky_prior_mu	sub-25	11.084723731584257			
risky_prior_mu	sub-26	11.05291481065591			
risky_prior_mu	sub-29	10.787477195479662			
risky_prior_mu	sub-30	11.006373544499123			
risky_prior_mu	sub-31	10.86218885022933			
risky_prior_mu	sub-34	10.77879483133011			
risky_prior_mu	sub-35	9.535926809993224			
risky_prior_mu	sub-36	10.660915299023145			
risky_prior_mu	sub-37	10.897614145317092			
risky_prior_mu	sub-45	10.333072232541749			
risky_prior_mu	sub-46	10.563473521945362			
risky_prior_mu	sub-47	10.956506159206793			
risky_prior_mu	sub-50	10.548520355527957			
risky_prior_mu	sub-53	10.667876409541098			
risky_prior_mu	sub-56	10.76115317930659			
risky_prior_mu	sub-59	10.159662931929503			
risky_prior_mu	sub-62	11.412197969375557			
risky_prior_mu	sub-63	10.864684270683936			
risky_prior_mu	sub-67	10.71492328691901			
risky_prior_mu	sub-69	11.015254621119494			
risky_prior_mu	sub-72	10.880369940997959			
risky_prior_mu	sub-74	10.322439094251873			
risky_prior_sd	group	1.0861115705210413	0.5581029965443952	1.6097074729372016	1.0
risky_prior_sd	sub-01	1.0931057622683011			
risky_prior_sd	sub-02	1.0281579756307526			
risky_prior_sd	sub-03	1.127778848315764			
risky_prior_sd	sub-04	1.0915313540010283			
risky_prior_sd	sub-05	1.0734360827876828			
risky_prior_sd	sub-06	1.0738971030152098			
risky_prior_sd	sub-07	1.074721502098797			
risky_prior_sd	sub-09	1.0448056821443095			
risky_prior_sd	sub-10	1.0700278692175031			
risky_prior_sd	sub-11	1.1136112480662526			
risky_prior_sd	sub-18	1.1323426053292425			
risky_prior_sd	sub-19	1.04761448785209			
risky_prior_sd	sub-21	0.9981704688310096			
risky_prior_sd	sub-25	1.1612572836960775			
risky_prior_sd	sub-26	1.1427903640211643			
risky_prior_sd	sub-29	1.0075145991194716			
risky_prior_sd	sub-30	1.0907928901062318			
risky_prior_sd	sub-31	1.0992733915200004			
risky_prior_sd	sub-34	1.0829653150317051			
risky_prior_sd	sub-35	1.1009577763656475			
risky_prior_sd	sub-36	1.1322827402265867			
risky_prior_sd	sub-37	1.0963476641473269			
risky_prior_sd	sub-45	1.081976991347129			
risky_prior_sd	sub-46	1.107193707420992			
risky_prior_sd	sub-47	1.0996541059048555			
risky_prior_sd	sub-50	1.071020680546978			
risky_prior_sd	sub-53	1.1161725309934738			
risky_prior_sd	sub-56	1.0874138823317423			
risky_prior_sd	sub-59	1.0604862509384836			
risky_prior_sd	sub-62	1.0452012831947493			
risky_prior_sd	sub-63	1.1076753792023797			
risky_prior_sd	sub-67	1.047555538235597			
risky_prior_sd	sub-69	1.091908686209124			
risky_prior_sd	sub-72	1.122642659147684			
risky_prior_sd	sub-74	1.0707072824562271			
safe_prior_mu	group	5.71813479291252	4.407975835415457	6.736789771055451	1.0
safe_prior_mu	sub-01	5.855235245366737			
safe_prior_mu	sub-02	5.513088901222606			
safe_prior_mu	sub-03	5.791231417454677			
safe_prior_mu	sub-04	5.873805574318874			
safe_prior_mu	sub-05	5.611792931936882			
safe_prior_mu	sub-06	5.850056577338237			
safe_prior_mu	sub-07	5.412010420244206			
safe_prior_mu	sub-09	5.851060457852092			
safe_prior_mu	sub-10	5.410526522658662			
safe_prior_mu	sub-11	5.579063407653576			
safe_prior_mu	sub-18	5.449018158468215			
safe_prior_mu	sub-19	5.868061224938299			
safe_prior_mu	sub-21	5.424157952010115			
safe_prior_mu	sub-25	5.57438235926383			
safe_prior_mu	sub-26	5.536963896626403			
safe_prior_mu	sub-29	5.555005964160632			
safe_prior_mu	sub-30	5.471169713072196			
safe_prior_mu	sub-31	5.641271263487602			
safe_prior_mu	sub-34	5.694376675039467			
safe_prior_mu	sub-35	6.622881141654399			
safe_prior_mu	sub-36	5.857479571438378			
safe_prior_mu	sub-37	5.647518275094998			
safe_prior_mu	sub-45	6.082865964645035			
safe_prior_mu	sub-46	5.875902432953749			
safe_prior_mu	sub-47	5.540322160789382			
safe_prior_mu	sub-50	5.917184389391717			
safe_prior_mu	sub-53	5.77800665228331			
safe_prior_mu	sub-56	5.721493034107618			
safe_prior_mu	sub-59	6.197149238707849			
safe_prior_mu	sub-62	5.224792129357224			
safe_prior_mu	sub-63	5.722179297164186			
safe_prior_mu	sub-67	5.698527643796414			
safe_prior_mu	sub-69	5.504310409664594			
safe_prior_mu	sub-72	5.75839675010675			
safe_prior_mu	sub-74	5.98049150408801			
safe_prior_sd	group	0.7933035583034858	0.2956642078971954	1.2892733770929217	0.9992
safe_prior_sd	sub-01	0.8140733528744095			
safe_prior_sd	sub-02	0.8842730884072972			
safe_prior_sd	sub-03	0.7686164657607134			
safe_prior_sd	sub-04	0.7831749133174101			
safe_prior_sd	sub-05	0.8455191347514855			
safe_prior_sd	sub-06	0.8255803290969472			
safe_prior_sd	sub-07	0.800959699021572			
safe_prior_sd	sub-09	0.8442454408273721			
safe_prior_sd	sub-10	0.8231776725229555			
safe_prior_sd	sub-11	0.7710299249368908			
safe_prior_sd	sub-18	0.7044706056499686			
safe_prior_sd	sub-19	0.8782955715746764			
safe_prior_sd	sub-21	0.937326922247621			
safe_prior_sd	sub-25	0.6662193471300983			
safe_prior_sd	sub-26	0.703901144706569			
safe_prior_sd	sub-29	0.9158580753198621			
safe_prior_sd	sub-30	0.7546513364872457			
safe_prior_sd	sub-31	0.7803545007770669			
safe_prior_sd	sub-34	0.8313748947643244			
safe_prior_sd	sub-35	0.517043170363244			
safe_prior_sd	sub-36	0.7208496493960497			
safe_prior_sd	sub-37	0.7927888391838798			
safe_prior_sd	sub-45	0.7866761438328349			
safe_prior_sd	sub-46	0.7540586465431789			
safe_prior_sd	sub-47	0.7807854820262907			
safe_prior_sd	sub-50	0.8431346839855425			
safe_prior_sd	sub-53	0.7136677143225121			
safe_prior_sd	sub-56	0.8100332559615147			
safe_prior_sd	sub-59	0.8086161608932367			
safe_prior_sd	sub-62	0.8486178671972675			
safe_prior_sd	sub-63	0.7918044292768135			
safe_prior_sd	sub-67	0.8608923172855703			
safe_prior_sd	sub-69	0.7807296696724136			
safe_prior_sd	sub-72	0.7642201618391343			
safe_prior_sd	sub-74	0.8212904825470421			
