parameter	level	mean	lo	hi	p_gt0
risky_prior_mu	group	6.152658174784488	-0.891007807263345	10.613001757876813	0.9558
risky_prior_mu	sub-01	6.027847195126361			
risky_prior_mu	sub-02	6.109201173927629			
risky_prior_mu	sub-03	6.271805775854686			
risky_prior_mu	sub-04	6.060710752975439			
risky_prior_mu	sub-05	6.326910444779621			
risky_prior_mu	sub-06	5.89747932791649			
risky_prior_mu	sub-07	6.332918302885579			
risky_prior_mu	sub-09	5.812967599517551			
risky_prior_mu	sub-10	6.442712968718897			
risky_prior_mu	sub-11	6.464917269938223			
risky_prior_mu	sub-18	6.559605283600425			
risky_prior_mu	sub-19	5.966895460541352			
risky_prior_mu	sub-21	6.115821438175939			
risky_prior_mu	sub-25	6.445252565566653			
risky_prior_mu	sub-26	6.368238551190585			
risky_prior_mu	sub-29	6.003504550654316			
risky_prior_mu	sub-30	6.309509890090528			
risky_prior_mu	sub-31	6.219643055952934			
risky_prior_mu	sub-34	6.120978682484045			
risky_prior_mu	sub-35	5.24392839341636			
risky_prior_mu	sub-36	6.165492449938771			
risky_prior_mu	sub-37	6.288475472454597			
risky_prior_mu	sub-45	5.851921236712014			
risky_prior_mu	sub-46	5.992453680250115			
risky_prior_mu	sub-47	6.2868795010906044			
risky_prior_mu	sub-50	6.094058576776807			
risky_prior_mu	sub-53	6.244657843825824			
risky_prior_mu	sub-56	6.147881794609513			
risky_prior_mu	sub-59	5.734201255122094			
risky_prior_mu	sub-62	6.572473660187524			
risky_prior_mu	sub-63	6.275621032407371			
risky_prior_mu	sub-67	6.065481371983343			
risky_prior_mu	sub-69	6.473157469338785			
risky_prior_mu	sub-72	6.249452558089095			
risky_prior_mu	sub-74	5.686949541229303			
risky_prior_sd	group	1.835028979891647	0.9900459609920244	2.9043205700262322	1.0
risky_prior_sd	sub-01	1.8285112938677364			
risky_prior_sd	sub-02	1.703361837073773			
risky_prior_sd	sub-03	1.990437394140801			
risky_prior_sd	sub-04	1.7884374208606266			
risky_prior_sd	sub-05	1.8606331483597387			
risky_prior_sd	sub-06	1.7524516654343756			
risky_prior_sd	sub-07	1.833311074113439			
risky_prior_sd	sub-09	1.6492121215514064			
risky_prior_sd	sub-10	1.8925731747673566			
risky_prior_sd	sub-11	2.0096850385020115			
risky_prior_sd	sub-18	2.0582338064574586			
risky_prior_sd	sub-19	1.7032414287448494			
risky_prior_sd	sub-21	1.6576931200686635			
risky_prior_sd	sub-25	2.134139036382744			
risky_prior_sd	sub-26	2.0935726144205473			
risky_prior_sd	sub-29	1.6442386823710717			
risky_prior_sd	sub-30	1.8351687821631382			
risky_prior_sd	sub-31	1.904713965326806			
risky_prior_sd	sub-34	1.8206096697262906			
risky_prior_sd	sub-35	1.5895744189889227			
risky_prior_sd	sub-36	1.902410714074344			
risky_prior_sd	sub-37	1.886761061228071			
risky_prior_sd	sub-45	1.724989153790073			
risky_prior_sd	sub-46	1.8113813207151226			
risky_prior_sd	sub-47	1.9181904420024916			
risky_prior_sd	sub-50	1.7432593666117155			
risky_prior_sd	sub-53	1.8284011509108775			
risky_prior_sd	sub-56	1.8558524426025347			
risky_prior_sd	sub-59	1.618193721969165			
risky_prior_sd	sub-62	1.9598002737549096			
risky_prior_sd	sub-63	1.8973907721308028			
risky_prior_sd	sub-67	1.7442018970941793			
risky_prior_sd	sub-69	1.918351737642975			
risky_prior_sd	sub-72	1.9284832228904008			
risky_prior_sd	sub-74	1.6996143986284973			
safe_prior_mu	group	-0.5392480444093699	-13.34103275044248	5.485655087422163	0.56505
safe_prior_mu	sub-01	-0.3673079264075603			
safe_prior_mu	sub-02	-0.6629561812483896			
safe_prior_mu	sub-03	-0.48232025507858933			
safe_prior_mu	sub-04	-0.45820709864738446			
safe_prior_mu	sub-05	-0.634742386739109			
safe_prior_mu	sub-06	-0.35327623476258296			
safe_prior_mu	sub-07	-0.7602193444130385			
safe_prior_mu	sub-09	-0.31809935268751294			
safe_prior_mu	sub-10	-0.7553730575770814			
safe_prior_mu	sub-11	-0.6159555556414558			
safe_prior_mu	sub-18	-0.7519118035713682			
safe_prior_mu	sub-19	-0.40590267391167256			
safe_prior_mu	sub-21	-0.65723037210127			
safe_prior_mu	sub-25	-0.6393563166954291			
safe_prior_mu	sub-26	-0.6139920819816663			
safe_prior_mu	sub-29	-0.5243640667051912			
safe_prior_mu	sub-30	-0.6739197790495683			
safe_prior_mu	sub-31	-0.5771919465145902			
safe_prior_mu	sub-34	-0.4747326624367782			
safe_prior_mu	sub-35	-0.24179382004354055			
safe_prior_mu	sub-36	-0.49110937494843254			
safe_prior_mu	sub-37	-0.5760190180663235			
safe_prior_mu	sub-45	-0.4227234395795018			
safe_prior_mu	sub-46	-0.4668735611815023			
safe_prior_mu	sub-47	-0.693925681962663			
safe_prior_mu	sub-50	-0.4342919551222208			
safe_prior_mu	sub-53	-0.5734854225411606			
safe_prior_mu	sub-56	-0.5207951193088391			
safe_prior_mu	sub-59	-0.2920349020508581			
safe_prior_mu	sub-62	-0.7569020579054699			
safe_prior_mu	sub-63	-0.5238908402999004			
safe_prior_mu	sub-67	-0.5166143854709332			
