stimulation_condition	risky_first	bin	median	lo	hi	model	agg	ratio
ips	False	0	0.3032326625719683	0.24678228251156584	0.39270104460054067	power2_full	by_stim	1.2894442090905116
ips	False	1	0.47456902906353104	0.4041651203736183	0.5242793215289745	power2_full	by_stim	1.6506585414473256
ips	False	2	0.5706430064188686	0.5138130069164553	0.6122518286311389	power2_full	by_stim	1.9642084587509023
ips	False	3	0.6692117022762184	0.6264034352744029	0.7131324768421543	power2_full	by_stim	2.32629424098063
ips	False	4	0.744306586270872	0.6902700474129045	0.7894763966192537	power2_full	by_stim	2.8132953338672264
ips	False	5	0.7701075245585227	0.7238102440008066	0.8235763258721517	power2_full	by_stim	3.586722993546796
ips	True	0	0.26662581124403784	0.20640055552001363	0.3400183573952047	power2_full	by_stim	1.2894442090905116
ips	True	1	0.44344180723491067	0.38581131512165995	0.5005349057073195	power2_full	by_stim	1.6506585414473256
ips	True	2	0.5372297482211275	0.49011357416529827	0.5953133552271483	power2_full	by_stim	1.9642084587509023
ips	True	3	0.6227786813650191	0.5776640763832416	0.678182133068281	power2_full	by_stim	2.32629424098063
ips	True	4	0.6936192279942279	0.6457251082251082	0.7410624098124099	power2_full	by_stim	2.8132953338672264
ips	True	5	0.6781322228958447	0.6265115352983618	0.7275847827589023	power2_full	by_stim	3.586722993546796
vertex	False	0	0.27986489898989897	0.21355050505050505	0.3291742424242424	power2_full	by_stim	1.2894442090905116
vertex	False	1	0.45106100795755966	0.3856763925729443	0.5094311818449749	power2_full	by_stim	1.6506585414473256
vertex	False	2	0.5601890207493656	0.5095866298452505	0.6097408817236404	power2_full	by_stim	1.9642084587509023
vertex	False	3	0.659712375438182	0.6173884359368231	0.7129514750482493	power2_full	by_stim	2.32629424098063
vertex	False	4	0.7377325551432694	0.6875682848897134	0.7904336734693878	power2_full	by_stim	2.8132953338672264
vertex	False	5	0.7453482845043644	0.696513986114712	0.7876988448131824	power2_full	by_stim	3.586722993546796
vertex	True	0	0.2595513963161022	0.20388398692810455	0.3258036244800951	power2_full	by_stim	1.2894442090905116
