order	stake_bin	stim	mean	lo	hi	stake	observed	observed_sem
Risky first	0	ips	0.5556623653927281	0.5203419761844132	0.5884049827267429	12.667230248654299	0.5701588578014938	0.037434839565611305
Risky first	0	vertex	0.5543695998654645	0.5208186863262051	0.5873182170794953	12.667230248654299	0.5583628985884624	0.03999694366946201
Risky first	1	ips	0.5564100565265978	0.5204579766515857	0.585141096789593	23.082450358562475	0.5165086959823803	0.03184365989712946
Risky first	1	vertex	0.5604863517974973	0.5234890340506219	0.590524660901043	23.082450358562475	0.5254879878586203	0.04008110266870922
Risky first	2	ips	0.501497132983975	0.466277625882889	0.5347525062656642	42.217878391198916	0.5142750816435027	0.043505527983834044
Risky first	2	vertex	0.48876048365119573	0.4509485757620433	0.5221300544141101	42.217878391198916	0.4978310750137376	0.04487004462729665
Risky second	0	ips	0.5430582223958165	0.5078565488396315	0.5798125372956201	12.667230248654299	0.5539721598368215	0.03971352066548918
Risky second	0	vertex	0.5406732930811878	0.5029697159565581	0.5747625937137215	12.667230248654299	0.4940239125953411	0.03709325563501315
Risky second	1	ips	0.5990982469223733	0.5660808371195367	0.6366905602751468	23.082450358562475	0.6600632980464913	0.03391213943664826
Risky second	1	vertex	0.5867890559732665	0.5567003873319663	0.618422305764411	23.082450358562475	0.5987324371534898	0.027772313209004338
Risky second	2	ips	0.6348910268094479	0.5988144929423125	0.6660973944601764	42.217878391198916	0.6336926732415454	0.03830221367395639
Risky second	2	vertex	0.6088927394243183	0.569562865497076	0.645509056732741	42.217878391198916	0.5966871724766462	0.04575468210792034
