order	bin	stim	mean	lo	hi	frac	observed	observed_sem
Risky first	20%	ips	0.27529064438909373	0.25379553563019785	0.2997563920804062	1.5665678719620628	0.2584724799010513	0.036567045304318806
Risky first	20%	vertex	0.2735128948219764	0.25438619312930705	0.29254975798877086	1.5665678719620628	0.2836734693877551	0.041133372494283886
Risky first	32%	ips	0.368370233875106	0.3476007773215565	0.39169980406085414	1.7917489421720731	0.3686784643927501	0.03642217926503582
Risky first	32%	vertex	0.36588420287989576	0.3450607558974282	0.38452934453727505	1.7917489421720731	0.354472273757988	0.035641642081146646
Risky first	44%	ips	0.497509526436578	0.4784872532674764	0.5192400311480898	2.073052865213882	0.5121933621933622	0.03579653297619387
Risky first	44%	vertex	0.4958446593838377	0.4746427198500246	0.5129383109531706	2.073052865213882	0.46737373737373733	0.04396740572766986
Risky first	56%	ips	0.6008495596358017	0.5823163147870191	0.6204585342032982	2.4073398299813396	0.61	0.038936578735248216
Risky first	56%	vertex	0.59612630460148	0.575559574814395	0.6142259027523856	2.4073398299813396	0.5798015873015873	0.04537523747575878
Risky first	68%	ips	0.7079266645783426	0.6896210813162454	0.7277954129039121	2.725272161741835	0.7213935574229692	0.040313220872796485
Risky first	68%	vertex	0.6982216016337446	0.6773473336512474	0.7211370222922999	2.725272161741835	0.7172385620915033	0.03806850840115315
Risky first	80%	ips	0.7853542241074188	0.7660599198796876	0.8072745668542955	3.1846923879040663	0.7862698412698413	0.03232222778649627
Risky first	80%	vertex	0.7723824308840702	0.7545258821594778	0.7955709086913826	3.1846923879040663	0.7965079365079365	0.03339170559287082
Risky second	20%	ips	0.3500364296155859	0.32585152113334925	0.37365608641822823	1.5660812943962115	0.3364378478664193	0.03826142357915323
Risky second	20%	vertex	0.2941696523039893	0.27406432882601645	0.31738826145337273	1.5660812943962115	0.2806698063840921	0.03961877840403598
Risky second	32%	ips	0.45871797312518386	0.4391567187172057	0.47904387369175083	1.7942493946731235	0.48956154956154957	0.043604041586397545
Risky second	32%	vertex	0.3946923400196487	0.3714329071465715	0.4183634240056577	1.7942493946731235	0.3544671201814059	0.03531455769956919
Risky second	44%	ips	0.5895709777663508	0.5697373000810948	0.6094883737930977	2.069324784612302	0.5996536796536797	0.04155058653802237
Risky second	44%	vertex	0.5374610365154886	0.5166346068957082	0.5576376552710882	2.069324784612302	0.5420596946912736	0.0368859701710249
Risky second	56%	ips	0.6905159134445487	0.6714101213381354	0.7091365514748021	2.407020408163265	0.6647222222222222	0.03658367974968331
Risky second	56%	vertex	0.6423347050868068	0.6205293393805241	0.6635116442310439	2.407020408163265	0.6701443001443002	0.039312021683299676
Risky second	68%	ips	0.786718453258712	0.7697540041811393	0.8042638696647045	2.733065057008719	0.7888167388167389	0.034928820775869736
Risky second	68%	vertex	0.7501160276597669	0.7289129638114032	0.7697837641653795	2.733065057008719	0.7550653594771242	0.03306912991990606
Risky second	80%	ips	0.8461062503567044	0.8261426918111157	0.8640623755545952	3.1878139151914366	0.8418253968253968	0.02722916288954559
Risky second	80%	vertex	0.8109386883326334	0.7915854920889017	0.8284966966366757	3.1878139151914366	0.8135714285714286	0.02718097721217697
