label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-genweber-perc	Risky first	1	ips	0.27749444444444443	0.23174603174603173	0.32416666666666666	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-genweber-perc	Risky first	1	vertex	0.27987460317460316	0.23840476190476192	0.32190476190476186	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-genweber-perc	Risky first	2	ips	0.3687546485260771	0.3253412698412698	0.4133356009070295	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-genweber-perc	Risky first	2	vertex	0.37011751700680273	0.32355583900226753	0.4237431972789116	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-genweber-perc	Risky first	3	ips	0.48106468253968254	0.4291547619047619	0.5269880952380951	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-genweber-perc	Risky first	3	vertex	0.4803154761904762	0.4318611111111111	0.5288968253968255	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-genweber-perc	Risky first	4	ips	0.5947484126984127	0.5463412698412697	0.6390555555555556	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-genweber-perc	Risky first	4	vertex	0.5890045634920635	0.5421210317460318	0.6380218253968254	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-genweber-perc	Risky first	5	ips	0.6937591836734694	0.6461598639455782	0.7394160997732425	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-genweber-perc	Risky first	5	vertex	0.6838436507936507	0.6377539682539682	0.732077380952381	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-genweber-perc	Risky first	6	ips	0.7778494047619047	0.7349146825396825	0.8146071428571428	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-genweber-perc	Risky first	6	vertex	0.7655194444444444	0.7272063492063492	0.8070238095238094	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-genweber-perc	Risky second	1	ips	0.30864444444444444	0.2634682539682539	0.35688095238095235	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-genweber-perc	Risky second	1	vertex	0.3039531746031746	0.26312698412698415	0.350515873015873	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-genweber-perc	Risky second	2	ips	0.41659092970521544	0.36678684807256234	0.47007256235827666	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-genweber-perc	Risky second	2	vertex	0.41246224489795913	0.3629784580498866	0.45513718820861676	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-genweber-perc	Risky second	3	ips	0.5455249999999999	0.49660714285714286	0.5957380952380953	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-genweber-perc	Risky second	3	vertex	0.5405626984126983	0.49394841269841266	0.591765873015873	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-genweber-perc	Risky second	4	ips	0.6706178571428572	0.619202380952381	0.7158035714285714	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-genweber-perc	Risky second	4	vertex	0.6645	0.62	0.7057142857142857	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-genweber-perc	Risky second	5	ips	0.7727823129251701	0.7282755102040817	0.8130668934240362	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-genweber-perc	Risky second	5	vertex	0.7599676587301587	0.7172956349206349	0.7987460317460318	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-genweber-perc	Risky second	6	ips	0.8477571428571429	0.8085	0.8829285714285714	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-genweber-perc	Risky second	6	vertex	0.8353809523809523	0.7971190476190476	0.8724285714285714	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
