label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-weber-n1	Risky first	1	ips	0.2759880952380952	0.22888095238095238	0.3177857142857143	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-weber-n1	Risky first	1	vertex	0.30220555555555556	0.253	0.3492142857142857	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-weber-n1	Risky first	2	ips	0.36882097505668937	0.3222630385487529	0.4108503401360544	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-weber-n1	Risky first	2	vertex	0.386971485260771	0.3366284013605442	0.4383492063492064	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-weber-n1	Risky first	3	ips	0.48109007936507936	0.42873015873015874	0.5287341269841269	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-weber-n1	Risky first	3	vertex	0.4913900793650794	0.44379761904761905	0.5424007936507936	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-weber-n1	Risky first	4	ips	0.5935031746031746	0.543484126984127	0.6362301587301586	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-weber-n1	Risky first	4	vertex	0.5963755952380952	0.5502936507936508	0.6407936507936508	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-weber-n1	Risky first	5	ips	0.6921876417233561	0.6416587301587301	0.7381496598639457	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-weber-n1	Risky first	5	vertex	0.6909325396825398	0.6453412698412698	0.7360158730158729	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-weber-n1	Risky first	6	ips	0.7759894841269841	0.7330138888888889	0.8180694444444445	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-weber-n1	Risky first	6	vertex	0.7716839285714286	0.7259206349206349	0.8181170634920635	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-weber-n1	Risky second	1	ips	0.30840396825396826	0.2558492063492063	0.3562063492063492	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-weber-n1	Risky second	1	vertex	0.2995809523809524	0.25523809523809526	0.3413412698412698	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-weber-n1	Risky second	2	ips	0.41529569160997737	0.3637879818594104	0.4656848072562357	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-weber-n1	Risky second	2	vertex	0.40206054421768705	0.3539172335600907	0.4490181405895691	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-weber-n1	Risky second	3	ips	0.5409440476190476	0.4933214285714285	0.5923928571428572	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-weber-n1	Risky second	3	vertex	0.5250769841269842	0.47602777777777777	0.5707936507936507	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-weber-n1	Risky second	4	ips	0.6666430555555556	0.6200634920634921	0.7096924603174604	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-weber-n1	Risky second	4	vertex	0.6471071428571429	0.6028571428571429	0.6914285714285714	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-weber-n1	Risky second	5	ips	0.7700264172335602	0.7295850340136055	0.8092142857142858	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-weber-n1	Risky second	5	vertex	0.7533646825396826	0.7110039682539684	0.8000138888888889	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-weber-n1	Risky second	6	ips	0.8502142857142857	0.8142857142857143	0.8914285714285715	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-weber-n1	Risky second	6	vertex	0.8377904761904762	0.798	0.8743095238095239	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
