label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
chf-affine-n1	1	Risky first	0	ips	0.55	0.59625	0.3987500000000001	0.8	True
chf-affine-n1	1	Risky first	0	vertex	0.6	0.5866250000000001	0.35	0.8	True
chf-affine-n1	1	Risky first	1	ips	0.6	0.5618750000000001	0.35	0.75	True
chf-affine-n1	1	Risky first	1	vertex	0.25	0.53525	0.3	0.75	False
chf-affine-n1	1	Risky first	2	ips	0.6	0.60775	0.4	0.8012499999999989	True
chf-affine-n1	1	Risky first	2	vertex	0.65	0.575625	0.3	0.8	True
chf-affine-n1	1	Risky second	0	ips	0.7	0.605875	0.4	0.8	True
chf-affine-n1	1	Risky second	0	vertex	0.4	0.585625	0.35	0.8	True
chf-affine-n1	1	Risky second	1	ips	0.65	0.58275	0.4	0.8	True
chf-affine-n1	1	Risky second	1	vertex	0.5789473684210527	0.5584210526315789	0.3157894736842105	0.7894736842105263	True
chf-affine-n1	1	Risky second	2	ips	0.65	0.63825	0.45	0.85	True
chf-affine-n1	1	Risky second	2	vertex	0.7	0.637	0.4	0.85	True
chf-affine-n1	2	Risky first	0	ips	0.3157894736842105	0.43447368421052623	0.15789473684210525	0.6842105263157895	True
chf-affine-n1	2	Risky first	0	vertex	0.5	0.5365277777777778	0.2777777777777778	0.7222222222222222	True
chf-affine-n1	2	Risky first	1	ips	0.5238095238095238	0.5735714285714286	0.38095238095238093	0.7619047619047619	True
chf-affine-n1	2	Risky first	1	vertex	0.7058823529411765	0.5433823529411765	0.3514705882352942	0.7647058823529411	True
chf-affine-n1	2	Risky first	2	ips	0.65	0.6613749999999999	0.45	0.85	True
chf-affine-n1	2	Risky first	2	vertex	0.6842105263157895	0.7160526315789474	0.47368421052631576	0.8947368421052632	True
chf-affine-n1	2	Risky second	0	ips	0.95	0.6451250000000001	0.45	0.8512499999999988	False
chf-affine-n1	2	Risky second	0	vertex	0.6190476190476191	0.625	0.42857142857142855	0.8571428571428571	True
chf-affine-n1	2	Risky second	1	ips	0.7	0.6888749999999999	0.45	0.9	True
chf-affine-n1	2	Risky second	1	vertex	0.42105263157894735	0.533421052631579	0.36710526315789477	0.7368421052631579	True
chf-affine-n1	2	Risky second	2	ips	0.6	0.6526249999999999	0.45	0.85	True
chf-affine-n1	2	Risky second	2	vertex	0.6666666666666666	0.6545833333333334	0.4444444444444444	0.8888888888888888	True
chf-affine-n1	3	Risky first	0	ips	0.75	0.6355000000000001	0.4	0.85	True
chf-affine-n1	3	Risky first	0	vertex	0.7	0.6255	0.4	0.85	True
chf-affine-n1	3	Risky first	1	ips	0.5	0.6308750000000001	0.4487500000000001	0.8	True
chf-affine-n1	3	Risky first	1	vertex	0.6	0.622125	0.45	0.8	True
chf-affine-n1	3	Risky first	2	ips	0.7	0.6508750000000001	0.4487500000000001	0.85	True
chf-affine-n1	3	Risky first	2	vertex	0.7	0.69875	0.5	0.85	True
chf-affine-n1	3	Risky second	0	ips	0.5	0.539	0.35	0.75	True
chf-affine-n1	3	Risky second	0	vertex	0.3	0.5197499999999999	0.3	0.7012499999999988	True
chf-affine-n1	3	Risky second	1	ips	0.65	0.5895	0.3987500000000001	0.8	True
chf-affine-n1	3	Risky second	1	vertex	0.55	0.58625	0.35	0.75	True
chf-affine-n1	3	Risky second	2	ips	0.75	0.67325	0.45	0.8512499999999988	True
chf-affine-n1	3	Risky second	2	vertex	0.7	0.67375	0.4987500000000001	0.85	True
chf-affine-n1	4	Risky first	0	ips	0.4	0.517	0.3	0.75	True
chf-affine-n1	4	Risky first	0	vertex	0.6111111111111112	0.48513888888888884	0.2777777777777778	0.7222222222222222	True
chf-affine-n1	4	Risky first	1	ips	0.4	0.3795	0.15	0.6	True
chf-affine-n1	4	Risky first	1	vertex	0.3157894736842105	0.3665789473684211	0.15789473684210525	0.5789473684210527	True
chf-affine-n1	4	Risky first	2	ips	0.1	0.171875	0.0	0.4	True
chf-affine-n1	4	Risky first	2	vertex	0.2222222222222222	0.1834722222222222	0.0	0.3902777777777765	True
chf-affine-n1	4	Risky second	0	ips	0.42857142857142855	0.5535714285714285	0.3333333333333333	0.7619047619047619	True
chf-affine-n1	4	Risky second	0	vertex	0.47368421052631576	0.5586842105263158	0.3684210526315789	0.7368421052631579	True
chf-affine-n1	4	Risky second	1	ips	0.631578947368421	0.5773684210526315	0.3684210526315789	0.7894736842105263	True
chf-affine-n1	4	Risky second	1	vertex	0.6	0.570375	0.35	0.75	True
chf-affine-n1	4	Risky second	2	ips	0.55	0.580375	0.35	0.8	True
chf-affine-n1	4	Risky second	2	vertex	0.65	0.578625	0.35	0.85	True
chf-affine-n1	5	Risky first	0	ips	0.95	0.9032499999999999	0.75	1.0	True
chf-affine-n1	5	Risky first	0	vertex	1.0	0.9265000000000001	0.75	1.0	True
chf-affine-n1	5	Risky first	1	ips	0.8	0.846875	0.7	1.0	True
chf-affine-n1	5	Risky first	1	vertex	0.8	0.8592500000000001	0.7	1.0	True
chf-affine-n1	5	Risky first	2	ips	0.75	0.7802500000000001	0.55	0.95	True
chf-affine-n1	5	Risky first	2	vertex	0.75	0.6775	0.4	0.9	True
chf-affine-n1	5	Risky second	0	ips	0.6	0.68525	0.45	0.9	True
chf-affine-n1	5	Risky second	0	vertex	0.75	0.6809999999999999	0.45	0.9	True
chf-affine-n1	5	Risky second	1	ips	0.85	0.7254999999999999	0.5	0.9	True
chf-affine-n1	5	Risky second	1	vertex	0.55	0.6671250000000001	0.45	0.85	True
chf-affine-n1	5	Risky second	2	ips	0.85	0.8140000000000001	0.65	0.95	True
chf-affine-n1	5	Risky second	2	vertex	0.75	0.7825	0.55	0.95	True
chf-affine-n1	6	Risky first	0	ips	0.4	0.369625	0.2	0.55	True
chf-affine-n1	6	Risky first	0	vertex	0.2	0.3521249999999999	0.15	0.55	True
chf-affine-n1	6	Risky first	1	ips	0.45	0.39375	0.2	0.55	True
chf-affine-n1	6	Risky first	1	vertex	0.4	0.34037500000000004	0.15	0.5	True
chf-affine-n1	6	Risky first	2	ips	0.15	0.185875	0.05	0.35	True
chf-affine-n1	6	Risky first	2	vertex	0.1	0.111875	0.0	0.25	True
chf-affine-n1	6	Risky second	0	ips	0.5	0.397375	0.2	0.6	True
chf-affine-n1	6	Risky second	0	vertex	0.3	0.4040000000000001	0.25	0.55	True
chf-affine-n1	6	Risky second	1	ips	0.5	0.5245000000000001	0.35	0.65	True
chf-affine-n1	6	Risky second	1	vertex	0.65	0.5195000000000001	0.35	0.7	True
chf-affine-n1	6	Risky second	2	ips	0.5	0.511375	0.3	0.7	True
chf-affine-n1	6	Risky second	2	vertex	0.45	0.5102500000000001	0.3	0.7	True
chf-affine-n1	7	Risky first	0	ips	0.7368421052631579	0.5994736842105263	0.3684210526315789	0.8421052631578947	True
chf-affine-n1	7	Risky first	0	vertex	0.47368421052631576	0.6190789473684211	0.3684210526315789	0.8421052631578947	True
chf-affine-n1	7	Risky first	1	ips	0.5789473684210527	0.6877631578947367	0.47368421052631576	0.8947368421052632	True
chf-affine-n1	7	Risky first	1	vertex	0.75	0.6680000000000001	0.4987500000000001	0.85	True
chf-affine-n1	7	Risky first	2	ips	0.7	0.7055	0.5	0.9	True
chf-affine-n1	7	Risky first	2	vertex	0.8	0.72	0.4987500000000001	0.9	True
