label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
chf-spl5-mem	1	Risky first	0	ips	0.55	0.6008749999999999	0.3987500000000001	0.8	True
chf-spl5-mem	1	Risky first	0	vertex	0.6	0.590625	0.35	0.8	True
chf-spl5-mem	1	Risky first	1	ips	0.6	0.575	0.35	0.8	True
chf-spl5-mem	1	Risky first	1	vertex	0.25	0.47924999999999995	0.2	0.75	True
chf-spl5-mem	1	Risky first	2	ips	0.6	0.58475	0.35	0.8	True
chf-spl5-mem	1	Risky first	2	vertex	0.65	0.505625	0.25	0.75	True
chf-spl5-mem	1	Risky second	0	ips	0.7	0.595125	0.4	0.8012499999999989	True
chf-spl5-mem	1	Risky second	0	vertex	0.4	0.6115	0.3987500000000001	0.8	True
chf-spl5-mem	1	Risky second	1	ips	0.65	0.5915	0.35	0.8	True
chf-spl5-mem	1	Risky second	1	vertex	0.5789473684210527	0.5855263157894737	0.3684210526315789	0.8421052631578947	True
chf-spl5-mem	1	Risky second	2	ips	0.65	0.6818750000000001	0.45	0.9	True
chf-spl5-mem	1	Risky second	2	vertex	0.7	0.681625	0.4987500000000001	0.85	True
chf-spl5-mem	2	Risky first	0	ips	0.3157894736842105	0.4631578947368421	0.26184210526315793	0.6842105263157895	True
chf-spl5-mem	2	Risky first	0	vertex	0.5	0.5401388888888888	0.3333333333333333	0.7222222222222222	True
chf-spl5-mem	2	Risky first	1	ips	0.5238095238095238	0.5834523809523808	0.42857142857142855	0.7619047619047619	True
chf-spl5-mem	2	Risky first	1	vertex	0.7058823529411765	0.5204411764705883	0.29411764705882354	0.7058823529411765	True
chf-spl5-mem	2	Risky first	2	ips	0.65	0.5926250000000001	0.4	0.75	True
chf-spl5-mem	2	Risky first	2	vertex	0.6842105263157895	0.6360526315789473	0.42105263157894735	0.8421052631578947	True
chf-spl5-mem	2	Risky second	0	ips	0.95	0.5445	0.34875000000000006	0.8	False
chf-spl5-mem	2	Risky second	0	vertex	0.6190476190476191	0.5819047619047619	0.38095238095238093	0.8095238095238095	True
chf-spl5-mem	2	Risky second	1	ips	0.7	0.6651250000000001	0.45	0.85	True
chf-spl5-mem	2	Risky second	1	vertex	0.42105263157894735	0.5638157894736843	0.3684210526315789	0.7381578947368409	True
chf-spl5-mem	2	Risky second	2	ips	0.6	0.7023750000000001	0.5	0.9	True
chf-spl5-mem	2	Risky second	2	vertex	0.6666666666666666	0.7388888888888888	0.5555555555555556	0.9444444444444444	True
chf-spl5-mem	3	Risky first	0	ips	0.75	0.6685	0.45	0.85	True
chf-spl5-mem	3	Risky first	0	vertex	0.7	0.65625	0.45	0.85	True
chf-spl5-mem	3	Risky first	1	ips	0.5	0.6552500000000001	0.45	0.85	True
chf-spl5-mem	3	Risky first	1	vertex	0.6	0.6413749999999999	0.45	0.85	True
chf-spl5-mem	3	Risky first	2	ips	0.7	0.6645	0.45	0.85	True
chf-spl5-mem	3	Risky first	2	vertex	0.7	0.6742500000000001	0.5	0.85	True
chf-spl5-mem	3	Risky second	0	ips	0.5	0.514	0.3	0.75	True
