label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
chf-weber-percmem	1	Risky first	0	ips	0.55	0.562375	0.35	0.8	True
chf-weber-percmem	1	Risky first	0	vertex	0.6	0.551	0.3	0.8	True
chf-weber-percmem	1	Risky first	1	ips	0.6	0.560625	0.35	0.75	True
chf-weber-percmem	1	Risky first	1	vertex	0.25	0.533	0.3	0.75	False
chf-weber-percmem	1	Risky first	2	ips	0.6	0.609875	0.4	0.8	True
chf-weber-percmem	1	Risky first	2	vertex	0.65	0.575125	0.35	0.8	True
chf-weber-percmem	1	Risky second	0	ips	0.7	0.554875	0.35	0.75	True
chf-weber-percmem	1	Risky second	0	vertex	0.4	0.555625	0.3	0.75	True
chf-weber-percmem	1	Risky second	1	ips	0.65	0.5896250000000001	0.4	0.8	True
chf-weber-percmem	1	Risky second	1	vertex	0.5789473684210527	0.5602631578947368	0.3157894736842105	0.7894736842105263	True
chf-weber-percmem	1	Risky second	2	ips	0.65	0.6965	0.5	0.9	True
chf-weber-percmem	1	Risky second	2	vertex	0.7	0.6666249999999999	0.45	0.85	True
chf-weber-percmem	2	Risky first	0	ips	0.3157894736842105	0.5817105263157895	0.3157894736842105	0.8421052631578947	True
chf-weber-percmem	2	Risky first	0	vertex	0.5	0.6131944444444444	0.38750000000000007	0.8333333333333334	True
chf-weber-percmem	2	Risky first	1	ips	0.5238095238095238	0.5888095238095238	0.38095238095238093	0.8095238095238095	True
chf-weber-percmem	2	Risky first	1	vertex	0.7058823529411765	0.5370588235294118	0.35294117647058826	0.7647058823529411	True
chf-weber-percmem	2	Risky first	2	ips	0.65	0.6207499999999999	0.45	0.8	True
chf-weber-percmem	2	Risky first	2	vertex	0.6842105263157895	0.6690789473684211	0.42105263157894735	0.8421052631578947	True
chf-weber-percmem	2	Risky second	0	ips	0.95	0.58025	0.4	0.8	False
chf-weber-percmem	2	Risky second	0	vertex	0.6190476190476191	0.5980952380952381	0.38095238095238093	0.8095238095238095	True
chf-weber-percmem	2	Risky second	1	ips	0.7	0.601125	0.4	0.8	True
chf-weber-percmem	2	Risky second	1	vertex	0.42105263157894735	0.5202631578947369	0.3157894736842105	0.7368421052631579	True
chf-weber-percmem	2	Risky second	2	ips	0.6	0.6609999999999999	0.45	0.85	True
chf-weber-percmem	2	Risky second	2	vertex	0.6666666666666666	0.7318055555555554	0.5541666666666668	0.9444444444444444	True
chf-weber-percmem	3	Risky first	0	ips	0.75	0.604375	0.35	0.85	True
chf-weber-percmem	3	Risky first	0	vertex	0.7	0.6004999999999999	0.4	0.8012499999999989	True
chf-weber-percmem	3	Risky first	1	ips	0.5	0.59625	0.4	0.75	True
chf-weber-percmem	3	Risky first	1	vertex	0.6	0.59875	0.4	0.7512499999999989	True
chf-weber-percmem	3	Risky first	2	ips	0.7	0.661375	0.45	0.85	True
chf-weber-percmem	3	Risky first	2	vertex	0.7	0.699375	0.55	0.85	True
chf-weber-percmem	3	Risky second	0	ips	0.5	0.549	0.3	0.8	True
chf-weber-percmem	3	Risky second	0	vertex	0.3	0.5445	0.34875000000000006	0.75	False
chf-weber-percmem	3	Risky second	1	ips	0.65	0.58675	0.4	0.8	True
chf-weber-percmem	3	Risky second	1	vertex	0.55	0.5892499999999999	0.4	0.75	True
chf-weber-percmem	3	Risky second	2	ips	0.75	0.700125	0.5	0.9	True
chf-weber-percmem	3	Risky second	2	vertex	0.7	0.723125	0.55	0.8512499999999988	True
chf-weber-percmem	4	Risky first	0	ips	0.4	0.524875	0.3	0.75	True
chf-weber-percmem	4	Risky first	0	vertex	0.6111111111111112	0.5211111111111112	0.2222222222222222	0.7777777777777778	True
chf-weber-percmem	4	Risky first	1	ips	0.4	0.35662499999999997	0.15	0.55	True
chf-weber-percmem	4	Risky first	1	vertex	0.3157894736842105	0.34368421052631576	0.15657894736842112	0.5789473684210527	True
chf-weber-percmem	4	Risky first	2	ips	0.1	0.18112499999999998	0.0	0.4	True
chf-weber-percmem	4	Risky first	2	vertex	0.2222222222222222	0.21583333333333335	0.05555555555555555	0.4444444444444444	True
chf-weber-percmem	4	Risky second	0	ips	0.42857142857142855	0.513095238095238	0.2857142857142857	0.7142857142857143	True
chf-weber-percmem	4	Risky second	0	vertex	0.47368421052631576	0.5242105263157895	0.2631578947368421	0.7368421052631579	True
chf-weber-percmem	4	Risky second	1	ips	0.631578947368421	0.5123684210526316	0.3157894736842105	0.7368421052631579	True
chf-weber-percmem	4	Risky second	1	vertex	0.6	0.54725	0.3	0.75	True
chf-weber-percmem	4	Risky second	2	ips	0.55	0.536875	0.29875000000000007	0.8	True
chf-weber-percmem	4	Risky second	2	vertex	0.65	0.60775	0.35	0.8012499999999989	True
chf-weber-percmem	5	Risky first	0	ips	0.95	0.911125	0.7	1.0	True
chf-weber-percmem	5	Risky first	0	vertex	1.0	0.924875	0.75	1.0	True
chf-weber-percmem	5	Risky first	1	ips	0.8	0.82375	0.65	1.0	True
chf-weber-percmem	5	Risky first	1	vertex	0.8	0.8170000000000001	0.64875	0.95	True
chf-weber-percmem	5	Risky first	2	ips	0.75	0.742875	0.55	0.9	True
chf-weber-percmem	5	Risky first	2	vertex	0.75	0.675	0.45	0.85	True
chf-weber-percmem	5	Risky second	0	ips	0.6	0.70975	0.5	0.9	True
chf-weber-percmem	5	Risky second	0	vertex	0.75	0.68125	0.4	0.9	True
chf-weber-percmem	5	Risky second	1	ips	0.85	0.760625	0.59875	0.9	True
chf-weber-percmem	5	Risky second	1	vertex	0.55	0.7265	0.5487500000000001	0.9	True
chf-weber-percmem	5	Risky second	2	ips	0.85	0.836	0.65	1.0	True
chf-weber-percmem	5	Risky second	2	vertex	0.75	0.8213750000000001	0.65	0.9512499999999988	True
chf-weber-percmem	6	Risky first	0	ips	0.4	0.428625	0.2	0.65	True
chf-weber-percmem	6	Risky first	0	vertex	0.2	0.41712499999999997	0.15	0.65	True
chf-weber-percmem	6	Risky first	1	ips	0.45	0.309375	0.15	0.5	True
chf-weber-percmem	6	Risky first	1	vertex	0.4	0.286875	0.1	0.45	True
chf-weber-percmem	6	Risky first	2	ips	0.15	0.17650000000000002	0.05	0.35	True
chf-weber-percmem	6	Risky first	2	vertex	0.1	0.136	0.0	0.3	True
chf-weber-percmem	6	Risky second	0	ips	0.5	0.43962500000000004	0.2	0.65	True
chf-weber-percmem	6	Risky second	0	vertex	0.3	0.4585	0.25	0.7	True
chf-weber-percmem	6	Risky second	1	ips	0.5	0.466625	0.3	0.65	True
chf-weber-percmem	6	Risky second	1	vertex	0.65	0.433	0.25	0.65	True
chf-weber-percmem	6	Risky second	2	ips	0.5	0.513125	0.35	0.7	True
chf-weber-percmem	6	Risky second	2	vertex	0.45	0.454875	0.25	0.65	True
chf-weber-percmem	7	Risky first	0	ips	0.7368421052631579	0.6557894736842104	0.42105263157894735	0.8947368421052632	True
chf-weber-percmem	7	Risky first	0	vertex	0.47368421052631576	0.6636842105263159	0.42105263157894735	0.8947368421052632	True
chf-weber-percmem	7	Risky first	1	ips	0.5789473684210527	0.66	0.42105263157894735	0.8947368421052632	True
chf-weber-percmem	7	Risky first	1	vertex	0.75	0.63125	0.4	0.8012499999999989	True
chf-weber-percmem	7	Risky first	2	ips	0.7	0.679375	0.45	0.9	True
chf-weber-percmem	7	Risky first	2	vertex	0.8	0.6679999999999999	0.45	0.85	True
chf-weber-percmem	7	Risky second	0	ips	0.6666666666666666	0.6594047619047619	0.42857142857142855	0.8571428571428571	True
chf-weber-percmem	7	Risky second	0	vertex	0.7	0.6410000000000001	0.4	0.85	True
chf-weber-percmem	7	Risky second	1	ips	0.7894736842105263	0.6736842105263158	0.47368421052631576	0.8947368421052632	True
chf-weber-percmem	7	Risky second	1	vertex	0.65	0.6385000000000001	0.45	0.85	True
chf-weber-percmem	7	Risky second	2	ips	0.631578947368421	0.7281578947368422	0.5263157894736842	0.8947368421052632	True
chf-weber-percmem	7	Risky second	2	vertex	0.7	0.7170000000000001	0.5	0.9	True
chf-weber-percmem	9	Risky first	0	ips	0.7	0.6475	0.4	0.85	True
chf-weber-percmem	9	Risky first	0	vertex	0.5	0.5469999999999999	0.3	0.75	True
chf-weber-percmem	9	Risky first	1	ips	0.25	0.264375	0.1	0.45	True
chf-weber-percmem	9	Risky first	1	vertex	0.05	0.172	0.05	0.35	True
chf-weber-percmem	9	Risky first	2	ips	0.0	0.018250000000000002	0.0	0.1	True
chf-weber-percmem	9	Risky first	2	vertex	0.0	0.0045000000000000005	0.0	0.05	True
chf-weber-percmem	9	Risky second	0	ips	0.75	0.7040000000000001	0.5	0.9	True
chf-weber-percmem	9	Risky second	0	vertex	0.8	0.5725	0.35	0.8	True
chf-weber-percmem	9	Risky second	1	ips	0.5	0.534375	0.3987500000000001	0.7	True
chf-weber-percmem	9	Risky second	1	vertex	0.15	0.275125	0.1	0.45	True
chf-weber-percmem	9	Risky second	2	ips	0.55	0.45412499999999995	0.25	0.65	True
chf-weber-percmem	9	Risky second	2	vertex	0.0	0.04862500000000001	0.0	0.2	True
chf-weber-percmem	10	Risky first	0	ips	0.95	0.87425	0.7	1.0	True
chf-weber-percmem	10	Risky first	0	vertex	0.8	0.8667500000000001	0.65	1.0	True
chf-weber-percmem	10	Risky first	1	ips	0.85	0.75475	0.59875	0.9012499999999989	True
chf-weber-percmem	10	Risky first	1	vertex	0.8	0.7527499999999999	0.55	0.9	True
chf-weber-percmem	10	Risky first	2	ips	0.55	0.6054999999999999	0.35	0.8	True
chf-weber-percmem	10	Risky first	2	vertex	0.65	0.621375	0.4	0.8	True
chf-weber-percmem	10	Risky second	0	ips	0.7	0.6785	0.4487500000000001	0.9	True
chf-weber-percmem	10	Risky second	0	vertex	0.4	0.6447499999999999	0.3987500000000001	0.85	True
chf-weber-percmem	10	Risky second	1	ips	0.8	0.69625	0.5	0.9	True
chf-weber-percmem	10	Risky second	1	vertex	0.65	0.6828750000000001	0.5	0.9	True
chf-weber-percmem	10	Risky second	2	ips	0.65	0.7496250000000001	0.55	0.95	True
chf-weber-percmem	10	Risky second	2	vertex	1.0	0.7597499999999999	0.55	0.95	False
chf-weber-percmem	11	Risky first	0	ips	0.6	0.5347500000000001	0.3	0.75	True
chf-weber-percmem	11	Risky first	0	vertex	0.6666666666666666	0.5484523809523809	0.2857142857142857	0.7619047619047619	True
chf-weber-percmem	11	Risky first	1	ips	0.4	0.5302500000000001	0.35	0.7012499999999988	True
chf-weber-percmem	11	Risky first	1	vertex	0.6842105263157895	0.5756578947368421	0.3684210526315789	0.7368421052631579	True
chf-weber-percmem	11	Risky first	2	ips	0.7	0.587125	0.4	0.75	True
chf-weber-percmem	11	Risky first	2	vertex	0.7	0.609375	0.45	0.8	True
chf-weber-percmem	11	Risky second	0	ips	0.5	0.51925	0.3	0.75	True
chf-weber-percmem	11	Risky second	0	vertex	0.47368421052631576	0.5439473684210526	0.2631578947368421	0.7894736842105263	True
chf-weber-percmem	11	Risky second	1	ips	0.55	0.549875	0.35	0.75	True
chf-weber-percmem	11	Risky second	1	vertex	0.65	0.572375	0.4	0.8	True
chf-weber-percmem	11	Risky second	2	ips	0.6	0.632625	0.45	0.8	True
chf-weber-percmem	11	Risky second	2	vertex	0.55	0.6521250000000001	0.45	0.85	True
chf-weber-percmem	18	Risky first	0	ips	0.3	0.412625	0.2	0.65	True
chf-weber-percmem	18	Risky first	0	vertex	0.21052631578947367	0.4194736842105263	0.21052631578947367	0.6842105263157895	True
chf-weber-percmem	18	Risky first	1	ips	0.55	0.5241250000000001	0.3	0.75	True
chf-weber-percmem	18	Risky first	1	vertex	0.7619047619047619	0.5535714285714286	0.3321428571428572	0.7619047619047619	True
chf-weber-percmem	18	Risky first	2	ips	0.6842105263157895	0.7138157894736841	0.47368421052631576	0.9473684210526315	True
chf-weber-percmem	18	Risky first	2	vertex	0.75	0.7511249999999999	0.55	0.95	True
chf-weber-percmem	18	Risky second	0	ips	0.4	0.406625	0.15	0.65	True
chf-weber-percmem	18	Risky second	0	vertex	0.25	0.418375	0.15	0.65	True
chf-weber-percmem	18	Risky second	1	ips	0.9411764705882353	0.5857352941176471	0.29411764705882354	0.8235294117647058	False
chf-weber-percmem	18	Risky second	1	vertex	0.75	0.5945	0.35	0.8	True
chf-weber-percmem	18	Risky second	2	ips	0.7368421052631579	0.8243421052631578	0.631578947368421	1.0	True
chf-weber-percmem	18	Risky second	2	vertex	0.8	0.83325	0.64875	1.0	True
chf-weber-percmem	19	Risky first	0	ips	0.85	0.7033750000000001	0.4987500000000001	0.9	True
