label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-genweber-n1	1	Risky first	0	ips	0.55	0.6036250000000001	0.4	0.8	True
log-genweber-n1	1	Risky first	0	vertex	0.6	0.57625	0.35	0.8	True
log-genweber-n1	1	Risky first	1	ips	0.6	0.587375	0.3987500000000001	0.8	True
log-genweber-n1	1	Risky first	1	vertex	0.25	0.5315	0.3	0.75	False
log-genweber-n1	1	Risky first	2	ips	0.6	0.591	0.35	0.8	True
log-genweber-n1	1	Risky first	2	vertex	0.65	0.507125	0.25	0.75	True
log-genweber-n1	1	Risky second	0	ips	0.7	0.588125	0.35	0.8	True
log-genweber-n1	1	Risky second	0	vertex	0.4	0.569125	0.35	0.8	True
log-genweber-n1	1	Risky second	1	ips	0.65	0.607875	0.4	0.8	True
log-genweber-n1	1	Risky second	1	vertex	0.5789473684210527	0.5710526315789474	0.3157894736842105	0.7894736842105263	True
log-genweber-n1	1	Risky second	2	ips	0.65	0.663125	0.45	0.9	True
log-genweber-n1	1	Risky second	2	vertex	0.7	0.6475	0.4	0.8012499999999989	True
log-genweber-n1	2	Risky first	0	ips	0.3157894736842105	0.4303947368421052	0.21052631578947367	0.631578947368421	True
log-genweber-n1	2	Risky first	0	vertex	0.5	0.5236111111111111	0.3333333333333333	0.7222222222222222	True
log-genweber-n1	2	Risky first	1	ips	0.5238095238095238	0.5653571428571429	0.3333333333333333	0.7619047619047619	True
log-genweber-n1	2	Risky first	1	vertex	0.7058823529411765	0.5427941176470589	0.35294117647058826	0.7647058823529411	True
log-genweber-n1	2	Risky first	2	ips	0.65	0.644	0.4	0.85	True
log-genweber-n1	2	Risky first	2	vertex	0.6842105263157895	0.7121052631578948	0.47368421052631576	0.8947368421052632	True
log-genweber-n1	2	Risky second	0	ips	0.95	0.721375	0.5	0.9012499999999989	False
log-genweber-n1	2	Risky second	0	vertex	0.6190476190476191	0.6402380952380952	0.42857142857142855	0.8571428571428571	True
log-genweber-n1	2	Risky second	1	ips	0.7	0.7190000000000001	0.55	0.9	True
log-genweber-n1	2	Risky second	1	vertex	0.42105263157894735	0.5311842105263157	0.3157894736842105	0.7368421052631579	True
log-genweber-n1	2	Risky second	2	ips	0.6	0.6547499999999999	0.45	0.85	True
log-genweber-n1	2	Risky second	2	vertex	0.6666666666666666	0.6256944444444444	0.3888888888888889	0.8333333333333334	True
log-genweber-n1	3	Risky first	0	ips	0.75	0.636375	0.4	0.85	True
log-genweber-n1	3	Risky first	0	vertex	0.7	0.6295000000000001	0.45	0.85	True
log-genweber-n1	3	Risky first	1	ips	0.5	0.6201249999999999	0.45	0.8	True
log-genweber-n1	3	Risky first	1	vertex	0.6	0.621625	0.45	0.8	True
log-genweber-n1	3	Risky first	2	ips	0.7	0.63625	0.45	0.85	True
log-genweber-n1	3	Risky first	2	vertex	0.7	0.6967500000000001	0.5	0.85	True
log-genweber-n1	3	Risky second	0	ips	0.5	0.49762500000000004	0.29875000000000007	0.7	True
log-genweber-n1	3	Risky second	0	vertex	0.3	0.463	0.24875000000000008	0.65	True
log-genweber-n1	3	Risky second	1	ips	0.65	0.5878749999999999	0.3987500000000001	0.8	True
log-genweber-n1	3	Risky second	1	vertex	0.55	0.58325	0.4	0.75	True
log-genweber-n1	3	Risky second	2	ips	0.75	0.6827500000000001	0.4	0.9	True
log-genweber-n1	3	Risky second	2	vertex	0.7	0.6859999999999999	0.5	0.9	True
log-genweber-n1	4	Risky first	0	ips	0.4	0.5197499999999999	0.3	0.75	True
log-genweber-n1	4	Risky first	0	vertex	0.6111111111111112	0.4818055555555556	0.2777777777777778	0.7222222222222222	True
log-genweber-n1	4	Risky first	1	ips	0.4	0.35725	0.15	0.55	True
log-genweber-n1	4	Risky first	1	vertex	0.3157894736842105	0.31184210526315786	0.10526315789473684	0.5263157894736842	True
log-genweber-n1	4	Risky first	2	ips	0.1	0.202625	0.0	0.45	True
log-genweber-n1	4	Risky first	2	vertex	0.2222222222222222	0.18416666666666665	0.0	0.4444444444444444	True
log-genweber-n1	4	Risky second	0	ips	0.42857142857142855	0.5152380952380952	0.2857142857142857	0.7142857142857143	True
log-genweber-n1	4	Risky second	0	vertex	0.47368421052631576	0.5223684210526315	0.2631578947368421	0.7368421052631579	True
log-genweber-n1	4	Risky second	1	ips	0.631578947368421	0.5730263157894736	0.3684210526315789	0.7894736842105263	True
log-genweber-n1	4	Risky second	1	vertex	0.6	0.56525	0.35	0.7512499999999989	True
log-genweber-n1	4	Risky second	2	ips	0.55	0.58075	0.35	0.8	True
log-genweber-n1	4	Risky second	2	vertex	0.65	0.5892499999999999	0.35	0.8	True
log-genweber-n1	5	Risky first	0	ips	0.95	0.919375	0.75	1.0	True
log-genweber-n1	5	Risky first	0	vertex	1.0	0.92025	0.7	1.0	True
log-genweber-n1	5	Risky first	1	ips	0.8	0.831	0.65	1.0	True
log-genweber-n1	5	Risky first	1	vertex	0.8	0.8127499999999999	0.6	0.95	True
log-genweber-n1	5	Risky first	2	ips	0.75	0.7721250000000001	0.55	0.95	True
log-genweber-n1	5	Risky first	2	vertex	0.75	0.705	0.4987500000000001	0.9	True
log-genweber-n1	5	Risky second	0	ips	0.6	0.6675	0.45	0.9	True
log-genweber-n1	5	Risky second	0	vertex	0.75	0.6965	0.45	0.9	True
log-genweber-n1	5	Risky second	1	ips	0.85	0.757375	0.59875	0.95	True
log-genweber-n1	5	Risky second	1	vertex	0.55	0.73025	0.5	0.9	True
log-genweber-n1	5	Risky second	2	ips	0.85	0.8071250000000001	0.6	1.0	True
log-genweber-n1	5	Risky second	2	vertex	0.75	0.7757500000000002	0.55	0.95	True
log-genweber-n1	6	Risky first	0	ips	0.4	0.365875	0.2	0.55	True
log-genweber-n1	6	Risky first	0	vertex	0.2	0.34225	0.15	0.55	True
log-genweber-n1	6	Risky first	1	ips	0.45	0.365375	0.2	0.5	True
log-genweber-n1	6	Risky first	1	vertex	0.4	0.30975	0.15	0.5	True
log-genweber-n1	6	Risky first	2	ips	0.15	0.210625	0.05	0.4	True
log-genweber-n1	6	Risky first	2	vertex	0.1	0.1365	0.0	0.35	True
