label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl3-n1	1	Risky first	0	ips	0.55	0.6	0.35	0.8	True
log-spl3-n1	1	Risky first	0	vertex	0.6	0.538625	0.3	0.8	True
log-spl3-n1	1	Risky first	1	ips	0.6	0.575625	0.4	0.75	True
log-spl3-n1	1	Risky first	1	vertex	0.25	0.46787499999999993	0.25	0.7	True
log-spl3-n1	1	Risky first	2	ips	0.6	0.6048749999999999	0.4	0.8012499999999989	True
log-spl3-n1	1	Risky first	2	vertex	0.65	0.55875	0.3	0.7512499999999989	True
log-spl3-n1	1	Risky second	0	ips	0.7	0.600625	0.4	0.8	True
log-spl3-n1	1	Risky second	0	vertex	0.4	0.587125	0.35	0.8	True
log-spl3-n1	1	Risky second	1	ips	0.65	0.6271249999999999	0.45	0.8	True
log-spl3-n1	1	Risky second	1	vertex	0.5789473684210527	0.5805263157894737	0.3684210526315789	0.7894736842105263	True
log-spl3-n1	1	Risky second	2	ips	0.65	0.6564999999999999	0.4	0.85	True
log-spl3-n1	1	Risky second	2	vertex	0.7	0.630625	0.4	0.85	True
log-spl3-n1	2	Risky first	0	ips	0.3157894736842105	0.44986842105263153	0.21052631578947367	0.6842105263157895	True
log-spl3-n1	2	Risky first	0	vertex	0.5	0.5522222222222222	0.3333333333333333	0.7777777777777778	True
log-spl3-n1	2	Risky first	1	ips	0.5238095238095238	0.5776190476190476	0.38095238095238093	0.7630952380952369	True
log-spl3-n1	2	Risky first	1	vertex	0.7058823529411765	0.5433823529411764	0.35294117647058826	0.7647058823529411	True
log-spl3-n1	2	Risky first	2	ips	0.65	0.6488749999999999	0.45	0.85	True
log-spl3-n1	2	Risky first	2	vertex	0.6842105263157895	0.7080263157894737	0.47368421052631576	0.8947368421052632	True
log-spl3-n1	2	Risky second	0	ips	0.95	0.681125	0.45	0.9	False
log-spl3-n1	2	Risky second	0	vertex	0.6190476190476191	0.6471428571428571	0.42857142857142855	0.8571428571428571	True
log-spl3-n1	2	Risky second	1	ips	0.7	0.684375	0.5	0.85	True
log-spl3-n1	2	Risky second	1	vertex	0.42105263157894735	0.528157894736842	0.3157894736842105	0.7368421052631579	True
log-spl3-n1	2	Risky second	2	ips	0.6	0.65375	0.4	0.85	True
log-spl3-n1	2	Risky second	2	vertex	0.6666666666666666	0.6554166666666665	0.3888888888888889	0.8888888888888888	True
log-spl3-n1	3	Risky first	0	ips	0.75	0.6473750000000001	0.4	0.85	True
log-spl3-n1	3	Risky first	0	vertex	0.7	0.63525	0.45	0.85	True
log-spl3-n1	3	Risky first	1	ips	0.5	0.6259999999999999	0.4487500000000001	0.8	True
log-spl3-n1	3	Risky first	1	vertex	0.6	0.620625	0.45	0.8	True
log-spl3-n1	3	Risky first	2	ips	0.7	0.6423749999999999	0.4	0.85	True
log-spl3-n1	3	Risky first	2	vertex	0.7	0.7013750000000001	0.5	0.85	True
log-spl3-n1	3	Risky second	0	ips	0.5	0.488875	0.25	0.7	True
log-spl3-n1	3	Risky second	0	vertex	0.3	0.4445	0.2	0.65	True
log-spl3-n1	3	Risky second	1	ips	0.65	0.6044999999999999	0.4	0.8	True
log-spl3-n1	3	Risky second	1	vertex	0.55	0.5815	0.4	0.75	True
log-spl3-n1	3	Risky second	2	ips	0.75	0.690375	0.45	0.9	True
log-spl3-n1	3	Risky second	2	vertex	0.7	0.6722499999999999	0.45	0.85	True
log-spl3-n1	4	Risky first	0	ips	0.4	0.51875	0.3	0.75	True
log-spl3-n1	4	Risky first	0	vertex	0.6111111111111112	0.4855555555555556	0.2222222222222222	0.7222222222222222	True
log-spl3-n1	4	Risky first	1	ips	0.4	0.363	0.15	0.55	True
log-spl3-n1	4	Risky first	1	vertex	0.3157894736842105	0.3230263157894737	0.10526315789473684	0.5789473684210527	True
log-spl3-n1	4	Risky first	2	ips	0.1	0.20224999999999999	0.05	0.45	True
log-spl3-n1	4	Risky first	2	vertex	0.2222222222222222	0.1840277777777778	0.0	0.3888888888888889	True
log-spl3-n1	4	Risky second	0	ips	0.42857142857142855	0.5027380952380952	0.2857142857142857	0.7142857142857143	True
log-spl3-n1	4	Risky second	0	vertex	0.47368421052631576	0.5088157894736842	0.2631578947368421	0.6855263157894725	True
log-spl3-n1	4	Risky second	1	ips	0.631578947368421	0.59	0.42105263157894735	0.7894736842105263	True
log-spl3-n1	4	Risky second	1	vertex	0.6	0.575625	0.3987500000000001	0.8	True
log-spl3-n1	4	Risky second	2	ips	0.55	0.583875	0.35	0.8	True
log-spl3-n1	4	Risky second	2	vertex	0.65	0.591125	0.34875000000000006	0.8	True
