label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl3-pmu	1	Risky first	0	ips	0.55	0.596125	0.35	0.8012499999999989	True
log-spl3-pmu	1	Risky first	0	vertex	0.6	0.5215	0.3	0.75	True
log-spl3-pmu	1	Risky first	1	ips	0.6	0.573875	0.4	0.75	True
log-spl3-pmu	1	Risky first	1	vertex	0.25	0.495	0.3	0.7	False
log-spl3-pmu	1	Risky first	2	ips	0.6	0.625	0.4	0.85	True
log-spl3-pmu	1	Risky first	2	vertex	0.65	0.55475	0.3	0.8	True
log-spl3-pmu	1	Risky second	0	ips	0.7	0.611125	0.4	0.8	True
log-spl3-pmu	1	Risky second	0	vertex	0.4	0.5615000000000001	0.35	0.75	True
log-spl3-pmu	1	Risky second	1	ips	0.65	0.649	0.45	0.8	True
log-spl3-pmu	1	Risky second	1	vertex	0.5789473684210527	0.5696052631578947	0.3684210526315789	0.7894736842105263	True
log-spl3-pmu	1	Risky second	2	ips	0.65	0.6755000000000001	0.4987500000000001	0.9	True
log-spl3-pmu	1	Risky second	2	vertex	0.7	0.5978749999999999	0.35	0.8	True
log-spl3-pmu	2	Risky first	0	ips	0.3157894736842105	0.4689473684210526	0.2631578947368421	0.7368421052631579	True
log-spl3-pmu	2	Risky first	0	vertex	0.5	0.5363888888888888	0.2777777777777778	0.7777777777777778	True
log-spl3-pmu	2	Risky first	1	ips	0.5238095238095238	0.5928571428571427	0.38095238095238093	0.8095238095238095	True
log-spl3-pmu	2	Risky first	1	vertex	0.7058823529411765	0.5095588235294118	0.29411764705882354	0.7058823529411765	True
log-spl3-pmu	2	Risky first	2	ips	0.65	0.67475	0.5	0.85	True
log-spl3-pmu	2	Risky first	2	vertex	0.6842105263157895	0.6877631578947369	0.47368421052631576	0.8947368421052632	True
log-spl3-pmu	2	Risky second	0	ips	0.95	0.665	0.4487500000000001	0.85	False
log-spl3-pmu	2	Risky second	0	vertex	0.6190476190476191	0.6501190476190476	0.42857142857142855	0.8571428571428571	True
log-spl3-pmu	2	Risky second	1	ips	0.7	0.6866249999999999	0.5	0.85	True
log-spl3-pmu	2	Risky second	1	vertex	0.42105263157894735	0.5585526315789473	0.36710526315789477	0.7368421052631579	True
log-spl3-pmu	2	Risky second	2	ips	0.6	0.63625	0.45	0.85	True
log-spl3-pmu	2	Risky second	2	vertex	0.6666666666666666	0.6647222222222223	0.4444444444444444	0.8888888888888888	True
log-spl3-pmu	3	Risky first	0	ips	0.75	0.635375	0.4	0.85	True
log-spl3-pmu	3	Risky first	0	vertex	0.7	0.63525	0.4	0.85	True
log-spl3-pmu	3	Risky first	1	ips	0.5	0.627875	0.45	0.8	True
log-spl3-pmu	3	Risky first	1	vertex	0.6	0.619625	0.45	0.8	True
log-spl3-pmu	3	Risky first	2	ips	0.7	0.6717500000000001	0.45	0.85	True
log-spl3-pmu	3	Risky first	2	vertex	0.7	0.6636250000000001	0.45	0.85	True
log-spl3-pmu	3	Risky second	0	ips	0.5	0.487875	0.3	0.7	True
log-spl3-pmu	3	Risky second	0	vertex	0.3	0.4443750000000001	0.2	0.65	True
log-spl3-pmu	3	Risky second	1	ips	0.65	0.626375	0.4487500000000001	0.85	True
log-spl3-pmu	3	Risky second	1	vertex	0.55	0.58275	0.35	0.8	True
log-spl3-pmu	3	Risky second	2	ips	0.75	0.706375	0.5	0.9	True
log-spl3-pmu	3	Risky second	2	vertex	0.7	0.676125	0.45	0.9	True
log-spl3-pmu	4	Risky first	0	ips	0.4	0.486125	0.25	0.7	True
log-spl3-pmu	4	Risky first	0	vertex	0.6111111111111112	0.5126388888888889	0.2777777777777778	0.7777777777777778	True
log-spl3-pmu	4	Risky first	1	ips	0.4	0.34275000000000005	0.15	0.55	True
log-spl3-pmu	4	Risky first	1	vertex	0.3157894736842105	0.38263157894736843	0.15789473684210525	0.631578947368421	True
log-spl3-pmu	4	Risky first	2	ips	0.1	0.15987500000000002	0.0	0.35	True
log-spl3-pmu	4	Risky first	2	vertex	0.2222222222222222	0.2345833333333333	0.054166666666666745	0.4444444444444444	True
log-spl3-pmu	4	Risky second	0	ips	0.42857142857142855	0.4990476190476191	0.2857142857142857	0.7142857142857143	True
log-spl3-pmu	4	Risky second	0	vertex	0.47368421052631576	0.5173684210526315	0.2631578947368421	0.7368421052631579	True
log-spl3-pmu	4	Risky second	1	ips	0.631578947368421	0.5898684210526316	0.3684210526315789	0.7894736842105263	True
log-spl3-pmu	4	Risky second	1	vertex	0.6	0.5926250000000001	0.4	0.8	True
