label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-spl3-pmusd	1	Risky first	0	ips	0.55	0.60725	0.4	0.85	True
log-spl3-pmusd	1	Risky first	0	vertex	0.6	0.53	0.3	0.75	True
log-spl3-pmusd	1	Risky first	1	ips	0.6	0.5665	0.35	0.75	True
log-spl3-pmusd	1	Risky first	1	vertex	0.25	0.496125	0.3	0.7	False
log-spl3-pmusd	1	Risky first	2	ips	0.6	0.612375	0.4	0.8	True
log-spl3-pmusd	1	Risky first	2	vertex	0.65	0.555125	0.3	0.8	True
log-spl3-pmusd	1	Risky second	0	ips	0.7	0.60425	0.4	0.8	True
log-spl3-pmusd	1	Risky second	0	vertex	0.4	0.5726249999999999	0.35	0.8	True
log-spl3-pmusd	1	Risky second	1	ips	0.65	0.6385	0.45	0.8012499999999989	True
log-spl3-pmusd	1	Risky second	1	vertex	0.5789473684210527	0.5821052631578947	0.36710526315789477	0.7894736842105263	True
log-spl3-pmusd	1	Risky second	2	ips	0.65	0.6671250000000001	0.45	0.9	True
log-spl3-pmusd	1	Risky second	2	vertex	0.7	0.611875	0.35	0.8	True
log-spl3-pmusd	2	Risky first	0	ips	0.3157894736842105	0.49276315789473685	0.2631578947368421	0.7381578947368409	True
log-spl3-pmusd	2	Risky first	0	vertex	0.5	0.525	0.3333333333333333	0.7222222222222222	True
log-spl3-pmusd	2	Risky first	1	ips	0.5238095238095238	0.5922619047619048	0.38095238095238093	0.8095238095238095	True
log-spl3-pmusd	2	Risky first	1	vertex	0.7058823529411765	0.5204411764705883	0.29411764705882354	0.7058823529411765	True
log-spl3-pmusd	2	Risky first	2	ips	0.65	0.6541250000000001	0.45	0.85	True
log-spl3-pmusd	2	Risky first	2	vertex	0.6842105263157895	0.7042105263157894	0.47368421052631576	0.8947368421052632	True
log-spl3-pmusd	2	Risky second	0	ips	0.95	0.6748750000000001	0.45	0.9	False
log-spl3-pmusd	2	Risky second	0	vertex	0.6190476190476191	0.6260714285714285	0.42857142857142855	0.8095238095238095	True
log-spl3-pmusd	2	Risky second	1	ips	0.7	0.6805	0.4987500000000001	0.9	True
log-spl3-pmusd	2	Risky second	1	vertex	0.42105263157894735	0.5443421052631578	0.3684210526315789	0.7368421052631579	True
log-spl3-pmusd	2	Risky second	2	ips	0.6	0.617625	0.4	0.85	True
log-spl3-pmusd	2	Risky second	2	vertex	0.6666666666666666	0.6815277777777777	0.4444444444444444	0.8888888888888888	True
log-spl3-pmusd	3	Risky first	0	ips	0.75	0.644375	0.4	0.85	True
