label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-weber+spl3-n1n2.pathfinder	1	Risky first	0	ips	0.55	0.5915	0.35	0.8	True
log-weber+spl3-n1n2.pathfinder	1	Risky first	0	vertex	0.6	0.5726249999999999	0.35	0.8	True
log-weber+spl3-n1n2.pathfinder	1	Risky first	1	ips	0.6	0.59	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	1	Risky first	1	vertex	0.25	0.539875	0.35	0.75	False
log-weber+spl3-n1n2.pathfinder	1	Risky first	2	ips	0.6	0.5995	0.35	0.8	True
log-weber+spl3-n1n2.pathfinder	1	Risky first	2	vertex	0.65	0.5045000000000001	0.25	0.75	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	0	ips	0.7	0.578	0.35	0.7512499999999989	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	0	vertex	0.4	0.55775	0.34875000000000006	0.75	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	1	ips	0.65	0.6288750000000001	0.4487500000000001	0.8	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	1	vertex	0.5789473684210527	0.6057894736842105	0.3684210526315789	0.7894736842105263	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	2	ips	0.65	0.6585000000000001	0.45	0.85	True
log-weber+spl3-n1n2.pathfinder	1	Risky second	2	vertex	0.7	0.664	0.4	0.8512499999999988	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	0	ips	0.3157894736842105	0.41105263157894734	0.15789473684210525	0.631578947368421	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	0	vertex	0.5	0.5820833333333334	0.3333333333333333	0.8333333333333334	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	1	ips	0.5238095238095238	0.570952380952381	0.3333333333333333	0.7619047619047619	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	1	vertex	0.7058823529411765	0.5741176470588235	0.35294117647058826	0.7647058823529411	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	2	ips	0.65	0.6353749999999999	0.45	0.8012499999999989	True
log-weber+spl3-n1n2.pathfinder	2	Risky first	2	vertex	0.6842105263157895	0.6861842105263157	0.42105263157894735	0.8947368421052632	True
log-weber+spl3-n1n2.pathfinder	2	Risky second	0	ips	0.95	0.683875	0.4	0.9	False
log-weber+spl3-n1n2.pathfinder	2	Risky second	0	vertex	0.6190476190476191	0.611547619047619	0.4273809523809524	0.8095238095238095	True
log-weber+spl3-n1n2.pathfinder	2	Risky second	1	ips	0.7	0.674	0.5	0.85	True
log-weber+spl3-n1n2.pathfinder	2	Risky second	1	vertex	0.42105263157894735	0.5301315789473684	0.3157894736842105	0.7368421052631579	True
log-weber+spl3-n1n2.pathfinder	2	Risky second	2	ips	0.6	0.647625	0.45	0.8	True
log-weber+spl3-n1n2.pathfinder	2	Risky second	2	vertex	0.6666666666666666	0.6684722222222222	0.3888888888888889	0.8888888888888888	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	0	ips	0.75	0.63375	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	0	vertex	0.7	0.6455	0.45	0.85	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	1	ips	0.5	0.630375	0.45	0.8	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	1	vertex	0.6	0.6351249999999999	0.45	0.8	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	2	ips	0.7	0.6608750000000001	0.45	0.85	True
log-weber+spl3-n1n2.pathfinder	3	Risky first	2	vertex	0.7	0.6766249999999999	0.4987500000000001	0.85	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	0	ips	0.5	0.48087500000000005	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	0	vertex	0.3	0.47174999999999995	0.25	0.65	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	1	ips	0.65	0.605125	0.45	0.8	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	1	vertex	0.55	0.595625	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	2	ips	0.75	0.684375	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	3	Risky second	2	vertex	0.7	0.6915	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	0	ips	0.4	0.5105	0.25	0.75	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	0	vertex	0.6111111111111112	0.5068055555555556	0.2222222222222222	0.7777777777777778	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	1	ips	0.4	0.36212500000000003	0.15	0.55	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	1	vertex	0.3157894736842105	0.33131578947368423	0.10526315789473684	0.5789473684210527	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	2	ips	0.1	0.195	0.0	0.45	True
log-weber+spl3-n1n2.pathfinder	4	Risky first	2	vertex	0.2222222222222222	0.18236111111111114	0.0	0.3888888888888889	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	0	ips	0.42857142857142855	0.48523809523809525	0.28452380952380957	0.7142857142857143	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	0	vertex	0.47368421052631576	0.48105263157894734	0.2631578947368421	0.6855263157894725	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	1	ips	0.631578947368421	0.5755263157894737	0.3684210526315789	0.7894736842105263	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	1	vertex	0.6	0.595	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	2	ips	0.55	0.52825	0.29875000000000007	0.75	True
log-weber+spl3-n1n2.pathfinder	4	Risky second	2	vertex	0.65	0.6448750000000001	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	0	ips	0.95	0.9065000000000001	0.75	1.0	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	0	vertex	1.0	0.923125	0.75	1.0	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	1	ips	0.8	0.8288749999999999	0.65	0.95	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	1	vertex	0.8	0.8207499999999999	0.64875	0.9512499999999988	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	2	ips	0.75	0.750625	0.55	0.9	True
log-weber+spl3-n1n2.pathfinder	5	Risky first	2	vertex	0.75	0.72	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	0	ips	0.6	0.711	0.5	0.9	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	0	vertex	0.75	0.6447499999999999	0.4	0.8512499999999988	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	1	ips	0.85	0.7632499999999999	0.6	0.95	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	1	vertex	0.55	0.7315	0.55	0.9	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	2	ips	0.85	0.799125	0.65	0.9512499999999988	True
log-weber+spl3-n1n2.pathfinder	5	Risky second	2	vertex	0.75	0.7978749999999999	0.6	0.95	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	0	ips	0.4	0.350625	0.15	0.5012499999999989	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	0	vertex	0.2	0.33799999999999997	0.15	0.55	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	1	ips	0.45	0.35625	0.2	0.5	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	1	vertex	0.4	0.316	0.15	0.5	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	2	ips	0.15	0.21912500000000001	0.05	0.4	True
log-weber+spl3-n1n2.pathfinder	6	Risky first	2	vertex	0.1	0.15862500000000002	0.04875000000000007	0.35	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	0	ips	0.5	0.385	0.2	0.55	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	0	vertex	0.3	0.397125	0.24875000000000008	0.6	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	1	ips	0.5	0.5423749999999999	0.4	0.7	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	1	vertex	0.65	0.5745	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	2	ips	0.5	0.49325	0.3	0.7012499999999988	True
log-weber+spl3-n1n2.pathfinder	6	Risky second	2	vertex	0.45	0.480125	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	0	ips	0.7368421052631579	0.6092105263157894	0.3684210526315789	0.8421052631578947	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	0	vertex	0.47368421052631576	0.621578947368421	0.3684210526315789	0.8421052631578947	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	1	ips	0.5789473684210527	0.6793421052631579	0.47368421052631576	0.8947368421052632	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	1	vertex	0.75	0.66	0.5	0.85	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	2	ips	0.7	0.7198749999999999	0.4987500000000001	0.9	True
log-weber+spl3-n1n2.pathfinder	7	Risky first	2	vertex	0.8	0.7447499999999999	0.5	0.95	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	0	ips	0.6666666666666666	0.6407142857142857	0.42857142857142855	0.8571428571428571	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	0	vertex	0.7	0.6509999999999999	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	1	ips	0.7894736842105263	0.6930263157894737	0.47368421052631576	0.8947368421052632	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	1	vertex	0.65	0.6548750000000001	0.45	0.8512499999999988	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	2	ips	0.631578947368421	0.7259210526315789	0.5263157894736842	0.9473684210526315	True
log-weber+spl3-n1n2.pathfinder	7	Risky second	2	vertex	0.7	0.689625	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	0	ips	0.7	0.5305000000000001	0.3	0.75	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	0	vertex	0.5	0.484375	0.25	0.75	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	1	ips	0.25	0.2375	0.05	0.45	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	1	vertex	0.05	0.17037500000000003	0.0	0.35	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	2	ips	0.0	0.035500000000000004	0.0	0.15	True
log-weber+spl3-n1n2.pathfinder	9	Risky first	2	vertex	0.0	0.02125	0.0	0.1	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	0	ips	0.75	0.7191249999999999	0.4987500000000001	0.9	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	0	vertex	0.8	0.6977500000000001	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	1	ips	0.5	0.5772499999999999	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	1	vertex	0.15	0.26275	0.1	0.5	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	2	ips	0.55	0.4291250000000001	0.2	0.65	True
log-weber+spl3-n1n2.pathfinder	9	Risky second	2	vertex	0.0	0.034875	0.0	0.15	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	0	ips	0.95	0.8703749999999999	0.69875	1.0	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	0	vertex	0.8	0.8979999999999998	0.7	1.0	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	1	ips	0.85	0.7553749999999999	0.55	0.9	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	1	vertex	0.8	0.7601249999999999	0.55	0.95	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	2	ips	0.55	0.6765000000000001	0.45	0.8512499999999988	True
log-weber+spl3-n1n2.pathfinder	10	Risky first	2	vertex	0.65	0.6161249999999999	0.35	0.85	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	0	ips	0.7	0.636375	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	0	vertex	0.4	0.556875	0.3	0.8	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	1	ips	0.8	0.7236250000000001	0.55	0.9	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	1	vertex	0.65	0.7070000000000001	0.5	0.9	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	2	ips	0.65	0.752125	0.5487500000000001	0.95	True
log-weber+spl3-n1n2.pathfinder	10	Risky second	2	vertex	1.0	0.7942500000000001	0.59875	0.95	False
log-weber+spl3-n1n2.pathfinder	11	Risky first	0	ips	0.6	0.572625	0.35	0.75	True
log-weber+spl3-n1n2.pathfinder	11	Risky first	0	vertex	0.6666666666666666	0.575595238095238	0.3333333333333333	0.8095238095238095	True
log-weber+spl3-n1n2.pathfinder	11	Risky first	1	ips	0.4	0.587	0.4487500000000001	0.7512499999999989	False
log-weber+spl3-n1n2.pathfinder	11	Risky first	1	vertex	0.6842105263157895	0.6240789473684211	0.4723684210526316	0.7894736842105263	True
log-weber+spl3-n1n2.pathfinder	11	Risky first	2	ips	0.7	0.6004999999999999	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	11	Risky first	2	vertex	0.7	0.620625	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	0	ips	0.5	0.47075	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	0	vertex	0.47368421052631576	0.4505263157894737	0.2631578947368421	0.6842105263157895	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	1	ips	0.55	0.58325	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	1	vertex	0.65	0.59075	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	2	ips	0.6	0.627125	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	11	Risky second	2	vertex	0.55	0.616375	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	0	ips	0.3	0.37174999999999997	0.15	0.6	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	0	vertex	0.21052631578947367	0.295	0.10526315789473684	0.5789473684210527	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	1	ips	0.55	0.537625	0.3	0.75	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	1	vertex	0.7619047619047619	0.5617857142857143	0.2857142857142857	0.8095238095238095	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	2	ips	0.6842105263157895	0.7263157894736842	0.42105263157894735	0.9473684210526315	True
log-weber+spl3-n1n2.pathfinder	18	Risky first	2	vertex	0.75	0.7972499999999999	0.5487500000000001	0.95	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	0	ips	0.4	0.41137500000000005	0.2	0.7	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	0	vertex	0.25	0.350125	0.1	0.6	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	1	ips	0.9411764705882353	0.6988235294117646	0.4691176470588236	0.9411764705882353	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	1	vertex	0.75	0.6358750000000001	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	2	ips	0.7368421052631579	0.8410526315789474	0.631578947368421	1.0	True
log-weber+spl3-n1n2.pathfinder	18	Risky second	2	vertex	0.8	0.7938749999999999	0.5487500000000001	0.95	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	0	ips	0.85	0.7406250000000001	0.5	0.95	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	0	vertex	0.75	0.7426249999999999	0.5	0.95	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	1	ips	0.4	0.42025000000000007	0.2	0.65	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	1	vertex	0.3	0.3945	0.2	0.6	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	2	ips	0.1	0.137375	0.0	0.35	True
log-weber+spl3-n1n2.pathfinder	19	Risky first	2	vertex	0.15789473684210525	0.11592105263157894	0.0	0.3157894736842105	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	0	ips	0.8	0.73225	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	0	vertex	0.65	0.7611249999999999	0.55	0.95	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	1	ips	0.3157894736842105	0.49868421052631584	0.2631578947368421	0.7368421052631579	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	1	vertex	0.75	0.5920000000000001	0.35	0.85	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	2	ips	0.23809523809523808	0.18797619047619052	0.0	0.38095238095238093	True
log-weber+spl3-n1n2.pathfinder	19	Risky second	2	vertex	0.3	0.33175	0.1	0.6	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	0	ips	0.5454545454545454	0.4431818181818181	0.22727272727272727	0.6363636363636364	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	0	vertex	0.3333333333333333	0.40152777777777776	0.2222222222222222	0.6111111111111112	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	1	ips	0.4	0.464625	0.3	0.6	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	1	vertex	0.35	0.45012500000000005	0.3	0.6	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	2	ips	0.5	0.4566666666666667	0.2222222222222222	0.6666666666666666	True
log-weber+spl3-n1n2.pathfinder	21	Risky first	2	vertex	0.45454545454545453	0.43965909090909094	0.22727272727272727	0.6363636363636364	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	0	ips	0.6363636363636364	0.47511363636363635	0.2727272727272727	0.6818181818181818	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	0	vertex	0.3333333333333333	0.41888888888888887	0.2222222222222222	0.6111111111111112	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	1	ips	0.45	0.544375	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	1	vertex	0.6	0.573875	0.4	0.75	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	2	ips	0.5	0.5093055555555556	0.27638888888888896	0.7777777777777778	True
log-weber+spl3-n1n2.pathfinder	21	Risky second	2	vertex	0.45454545454545453	0.42715909090909093	0.18181818181818182	0.6818181818181818	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	0	ips	0.2	0.363625	0.15	0.6	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	0	vertex	0.45	0.32512500000000005	0.14875000000000008	0.5512499999999989	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	1	ips	0.3333333333333333	0.5000000000000001	0.2222222222222222	0.7222222222222222	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	1	vertex	0.6666666666666666	0.5941666666666666	0.38095238095238093	0.8095238095238095	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	2	ips	0.8	0.7271249999999999	0.45	0.9	True
log-weber+spl3-n1n2.pathfinder	25	Risky first	2	vertex	0.8421052631578947	0.8209210526315789	0.6302631578947369	1.0	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	0	ips	0.7	0.63	0.35	0.85	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	0	vertex	0.5	0.49075	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	1	ips	0.85	0.8270000000000001	0.6	1.0	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	1	vertex	0.7	0.6859999999999999	0.5	0.9	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	2	ips	0.9	0.914875	0.75	1.0	True
log-weber+spl3-n1n2.pathfinder	25	Risky second	2	vertex	0.8	0.80175	0.6	0.9512499999999988	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	0	ips	0.45	0.4395	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	0	vertex	0.35	0.36662500000000003	0.2	0.5512499999999989	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	1	ips	0.5	0.512	0.3	0.7	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	1	vertex	0.45	0.46625	0.3	0.65	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	2	ips	0.55	0.5795	0.4	0.8	True
log-weber+spl3-n1n2.pathfinder	26	Risky first	2	vertex	0.65	0.5855	0.35	0.8	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	0	ips	0.5	0.4655	0.25	0.7	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	0	vertex	0.3	0.38412499999999994	0.2	0.6	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	1	ips	0.7	0.706875	0.5	0.85	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	1	vertex	0.7	0.61075	0.45	0.8	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	2	ips	1.0	0.883	0.75	1.0	True
log-weber+spl3-n1n2.pathfinder	26	Risky second	2	vertex	0.7	0.809	0.65	0.95	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	0	ips	0.5	0.38208333333333333	0.16666666666666666	0.5555555555555556	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	0	vertex	0.3181818181818182	0.4267045454545454	0.22727272727272727	0.6363636363636364	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	1	ips	0.4090909090909091	0.4479545454545455	0.2727272727272727	0.5909090909090909	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	1	vertex	0.11764705882352941	0.26573529411764707	0.058823529411764705	0.47058823529411764	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	2	ips	0.5	0.35637499999999994	0.15	0.55	True
log-weber+spl3-n1n2.pathfinder	29	Risky first	2	vertex	0.2	0.239125	0.05	0.45	True
log-weber+spl3-n1n2.pathfinder	29	Risky second	0	ips	0.6111111111111112	0.4419444444444444	0.27638888888888896	0.6666666666666666	True
log-weber+spl3-n1n2.pathfinder	29	Risky second	0	vertex	0.4090909090909091	0.5055681818181817	0.3181818181818182	0.6818181818181818	True
log-weber+spl3-n1n2.pathfinder	29	Risky second	1	ips	0.8095238095238095	0.5521428571428572	0.3333333333333333	0.7154761904761894	False
log-weber+spl3-n1n2.pathfinder	29	Risky second	1	vertex	0.3684210526315789	0.4013157894736842	0.15789473684210525	0.631578947368421	True
log-weber+spl3-n1n2.pathfinder	29	Risky second	2	ips	0.35	0.418125	0.2	0.65	True
log-weber+spl3-n1n2.pathfinder	29	Risky second	2	vertex	0.10526315789473684	0.22460526315789472	0.05263157894736842	0.47368421052631576	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	0	ips	0.75	0.7048749999999999	0.5	0.9	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	0	vertex	0.6	0.629125	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	1	ips	0.75	0.73725	0.5	0.9	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	1	vertex	0.55	0.537	0.3	0.75	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	2	ips	0.95	0.805	0.55	1.0	True
log-weber+spl3-n1n2.pathfinder	30	Risky first	2	vertex	0.35	0.56025	0.3	0.8	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	0	ips	0.85	0.7747499999999999	0.55	0.95	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	0	vertex	0.85	0.809375	0.6	1.0	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	1	ips	0.9	0.8340000000000001	0.65	1.0	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	1	vertex	0.6842105263157895	0.8557894736842105	0.6828947368421053	1.0	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	2	ips	1.0	0.8971250000000001	0.7	1.0	True
log-weber+spl3-n1n2.pathfinder	30	Risky second	2	vertex	0.7	0.7555000000000001	0.5	0.95	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	0	ips	0.6	0.619375	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	0	vertex	0.65	0.63	0.3987500000000001	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	1	ips	0.7	0.648125	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	1	vertex	0.55	0.61425	0.4	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	2	ips	0.65	0.665	0.4487500000000001	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky first	2	vertex	0.6	0.5983750000000001	0.35	0.85	True
log-weber+spl3-n1n2.pathfinder	31	Risky second	0	ips	0.631578947368421	0.5835526315789474	0.3684210526315789	0.7894736842105263	True
log-weber+spl3-n1n2.pathfinder	31	Risky second	0	vertex	0.5238095238095238	0.5627380952380953	0.3333333333333333	0.7630952380952369	True
log-weber+spl3-n1n2.pathfinder	31	Risky second	1	ips	0.8	0.736375	0.55	0.9	True
