subject	mask	selection	n_voxels	d_amp_mean	d_amp_median	d_amp_rel_mean	d_amp_rel_median	log_amp_ratio_median	d_baseline_median	d_baseline_mean	amp_vertex_median	pref_n_median	n_low	n_high	d_amp_low	d_amp_high	d_amp_rel_low	d_amp_rel_high	d_amp_lowminushigh	d_amp_rel_lowminushigh	d_amp_w7	d_amp_rel_w7	d_amp_w10	d_amp_rel_w10	d_amp_w14	d_amp_rel_w14	d_amp_w20	d_amp_rel_w20	d_amp_w28	d_amp_rel_w28	d_amp_wslope	d_amp_rel_wslope
1	NPC12r	cvr2pos	98	-0.5256622816795918	-0.41129144999999995	-0.35138351544900104	-0.4080903586068505	-0.4139083053200385	0.0	0.0	1.1402359	6.977176200000001	96	2	-0.42454925		-0.4080903586068505				-0.4332093063352016	-0.33663144280377577	-0.13527075309814446	0.1907491518546513	0.14821201710474108	0.5706600276831576	0.14860098699587393	0.5161618803247923	0.13709322580660202	0.4536153507989659	-0.5703025321418036	-0.7902467936027417
2	NPC12r	cvr2pos	9	-0.32665018855555555	-0.34705598	-0.8152557359787552	-0.8229461903553905	-0.8747665430751459	0.0	0.0	0.46795967	8.4026785	7	2							-0.21942002776451522	-0.7654950579629655	-0.22499727251845633	-0.8589465060052294	-0.27864678379826885	-1.136159861471839	-0.35329061198899187	-1.5031277481251595	-0.39511031156843135	-1.6389932718181488	0.17569028380391613	0.8734982138551833
3	NPC12r	cvr2pos	14	-0.049212952046342906	-0.21716941499999998	-0.10026694211506623	-0.20499992461506789	-0.2058167026917483	0.0	0.0	0.6456735849999999	12.322038249999999	9	5							-0.1419156550977349	-0.24165960074464835	-0.14516112792558084	-0.22092597545779394	-0.16086104673829324	-0.20974888614018838	-0.15764818651093876	-0.1812654807949969	-0.16007102349393085	-0.16565916334477845	0.018155368396195942	-0.07600043739986989
4	NPC12r	cvr2pos	63	0.070913786031746	0.05451025999999998	0.2103946581945971	0.13245393631338812	0.1326480956754732	0.0	0.0	0.4267671	8.239739	60	3	0.06516688000000002		0.14361544710632662				0.04757971645937636	0.22728141944480904	0.04656113476497015	0.23819632694015225	0.014323281280115006	0.21859226329271772	-0.02944062538097129	0.16053206941893092	-0.07167214588873135	0.10002011635961597	0.1192518623481077	0.12726130308519307
5	NPC12r	cvr2pos	33	-0.3431600878787878	-0.318198	-0.3642244999449782	-0.19605669967729902	-0.1966883516689777	0.0	0.0	2.403026	18.177904	14	19	-0.43723176500000005	-0.2648514000000002	-0.27906135163273516	-0.1296427181095652	-0.17238036499999987	-0.14941863352316995	-0.3415178825278863	-0.3315741626117342	-0.33689097367302695	-0.34722178346230276	-0.3349448966615405	-0.34808982252122533	-0.3355582417902351	-0.33429642667040466	-0.3382201717004645	-0.312253788184011	-0.003297710827421807	-0.01932037442772322
6	NPC12r	cvr2pos	13	-0.3632726346153845	-0.30297360000000007	-0.5678045602464752	-0.4394684850600642	-0.446753703647605	0.0	0.0	0.7576702	13.86808	7	6							-0.4918947151291275	-0.6903535819117356	-0.36596805206111066	-0.3328813946320291	-0.317701074227399	-0.22230287480397654	-0.23196293866189488	-0.13194563519693292	-0.25079715982233475	-0.1901661711949361	-0.24109755530679278	-0.5001874107167995
7	NPC12r	cvr2pos	55	-0.49849739371327273	-0.2957984	-0.4186654510355227	-0.28211092552497563	-0.2840046043494144	0.0	0.0	0.8648867	8.009171	47	8	-0.27038194000000004		-0.3596783143767569				-0.322147636891402	-0.3466698664612322	-0.2797476470764102	-0.3281302268872325	-0.29060951429760545	-0.34917825533078284	-0.30973964995168235	-0.3505879094890438	-0.3185971730992831	-0.3162766053884902	-0.0035504637921189297	-0.03039326107274204
9	NPC12r	cvr2pos	30	-0.20587748639109996	0.036237439999999954	-0.3103469775032218	0.019329713151413207	0.019335435007701518	0.0	0.0	1.34052735	28.125963	12	18	-0.7485958500000001	0.17396610000000012	-1.0473168169250886	0.06926445410405728	-0.9225619500000002	-1.1165812710291458	-0.09639810995257553	-0.20292769791291396	0.008886774446757945	-0.0661177434772378	0.14104491580267695	0.09303043455231592	0.1454970254871698	0.10513290214879029	0.1496705969899172	0.11643504802214155	-0.24606870694249272	-0.31936274593505554
10	NPC12r	cvr2pos	116	-0.03400243112068964	-0.07685974999999967	0.038037269056861646	-0.021861727309552763	-0.021862601474236132	0.0	0.0	2.7688428	13.851208499999998	62	54	-0.03936224999999993	-0.14927325000000002	-0.010883807815799652	-0.030415137777573258	0.10991100000000009	0.019531329961773605	-0.03137152925378611	0.035904007811340455	-0.025681941295566568	0.04506134065455458	-0.03889697356285253	0.017601121071491102	-0.050970717697865674	-0.008841328198644671	-0.05368153427518935	-0.014875473012897322	0.02231000502140324	0.05077948082423778
11	NPC12r	cvr2pos	161	-0.09279256760510435	-0.08553045999999997	-0.19842393411166004	-0.12747796002830158	-0.12765101516273203	0.0	0.0	0.5874123	9.2312565	158	3	-0.08326606999999997		-0.1229708455801457				-0.08144447246401963	-0.17558468281554981	-0.07142589238877319	-0.1685505468168313	-0.09162470926073044	-0.21313852242120546	-0.13821224458899162	-0.295281601287713	-0.16696620339318252	-0.30597940607762386	0.08552173092916289	0.13039472326207405
