label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	1	0.2061428148489267	0.1945073128764936
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	2	0.37386087607941215	0.3684444480533818
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	3	0.2080742739778147	0.25254998482129487
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	4	0.23203348568119678	0.23268890671888603
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	5	0.29945121339147157	0.2572992152891746
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	6	0.2268370522129958	0.2253975900001621
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	7	0.25297650570324903	0.23858059500192172
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	9	0.16684353242695243	0.13666213897643853
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	10	0.2887570359760022	0.3206715467306107
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	11	0.16533555113705212	0.13104004360091334
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	18	0.2026002311161587	0.1577029724623098
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	19	0.23365143293911073	0.2950206432350233
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	21	0.24346333276873	0.18501806642616345
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	25	0.2813749302447073	0.23630447795698112
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	26	0.26484878569326326	0.2582711476148384
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	29	0.2774220313720746	0.31366429185912753
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	30	0.27621965406042115	0.2772335845880567
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	31	0.2699280031405542	0.2988867402769937
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	34	0.21458350099383594	0.20434936017783115
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	35	0.18777869132709657	0.17603406854990702
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	36	0.2707247676766265	0.25455748254570176
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	37	0.20951529329563542	0.1870056525034756
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	45	0.28624854900269603	0.2634536494496777
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	46	0.2735942919727968	0.25585250782800817
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	47	0.29850145493666363	0.46423957272583755
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	50	0.2231293531141406	0.17071978663214019
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	53	0.2285608831339959	0.21139560553418743
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	56	0.27241167747035905	0.2856780304183964
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	59	0.3135228802529649	0.21476445960191817
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	62	0.2411390186868051	0.22020288520304873
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	63	0.2083860566334175	0.20195619401090079
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	67	0.3100060533100574	0.35621602272949804
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	69	0.25934134325894387	0.31654345047546484
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	72	0.17886961921453287	0.14084781231035332
log-cspl5-n1n2.mapjitter.klw	log	cspl5	n1n2	n1	log_n1_cspl5_sd7	74	0.35221132658926957	0.43231104476892596
