roi	subject	model	win_prop	n_total	n_non_noise
NPC12r	1	m0	0.2815533980582524	601	206
NPC12r	1	m1	0.20388349514563106	601	206
NPC12r	1	m2	0.5145631067961165	601	206
NPC12r	2	m0	0.06818181818181818	489	132
NPC12r	2	m1	0.15151515151515152	489	132
NPC12r	2	m2	0.7803030303030303	489	132
NPC12r	3	m0	0.12121212121212122	339	66
NPC12r	3	m1	0.15151515151515152	339	66
NPC12r	3	m2	0.7272727272727273	339	66
NPC12r	4	m0	0.18407960199004975	523	201
NPC12r	4	m1	0.373134328358209	523	201
NPC12r	4	m2	0.4427860696517413	523	201
NPC12r	5	m0	0.022988505747126436	373	174
NPC12r	5	m1	0.25287356321839083	373	174
NPC12r	5	m2	0.7241379310344828	373	174
NPC12r	6	m0	0.0	368	158
NPC12r	6	m1	0.13924050632911392	368	158
NPC12r	6	m2	0.8607594936708861	368	158
NPC12r	7	m0	0.14285714285714285	424	189
NPC12r	7	m1	0.2328042328042328	424	189
NPC12r	7	m2	0.6243386243386243	424	189
NPC12r	9	m0	0.08823529411764706	573	102
NPC12r	9	m1	0.29411764705882354	573	102
NPC12r	9	m2	0.6176470588235294	573	102
NPC12r	10	m0	0.15469613259668508	454	181
NPC12r	10	m1	0.5193370165745856	454	181
NPC12r	10	m2	0.3259668508287293	454	181
NPC12r	11	m0	0.17981072555205047	442	317
NPC12r	11	m1	0.10410094637223975	442	317
NPC12r	11	m2	0.7160883280757098	442	317
NPC12r	18	m0	0.01990049751243781	477	201
NPC12r	18	m1	0.3333333333333333	477	201
NPC12r	18	m2	0.6467661691542289	477	201
NPC12r	19	m0	0.18584070796460178	526	226
NPC12r	19	m1	0.19911504424778761	526	226
NPC12r	19	m2	0.6150442477876106	526	226
NPC12r	21	m0	0.13768115942028986	483	138
NPC12r	21	m1	0.21739130434782608	483	138
NPC12r	21	m2	0.644927536231884	483	138
NPC12r	25	m0	0.18956043956043955	580	364
NPC12r	25	m1	0.5934065934065934	580	364
NPC12r	25	m2	0.21703296703296704	580	364
NPC12r	26	m0	0.0	399	129
NPC12r	26	m1	0.1937984496124031	399	129
NPC12r	26	m2	0.8062015503875969	399	129
NPC12r	29	m0	0.21585903083700442	511	227
NPC12r	29	m1	0.43612334801762115	511	227
NPC12r	29	m2	0.34801762114537443	511	227
NPC12r	30	m0	0.21367521367521367	554	117
NPC12r	30	m1	0.5384615384615384	554	117
NPC12r	30	m2	0.24786324786324787	554	117
NPC12r	31	m0	0.06493506493506493	462	231
NPC12r	31	m1	0.21645021645021645	462	231
NPC12r	31	m2	0.7186147186147186	462	231
NPC12r	34	m0	0.09467455621301775	495	169
NPC12r	34	m1	0.2781065088757396	495	169
NPC12r	34	m2	0.6272189349112426	495	169
NPC12r	35	m0	0.050314465408805034	551	159
NPC12r	35	m1	0.389937106918239	551	159
NPC12r	35	m2	0.559748427672956	551	159
NPC12r	36	m0	0.09278350515463918	397	97
NPC12r	36	m1	0.25773195876288657	397	97
NPC12r	36	m2	0.6494845360824743	397	97
NPC12r	37	m0	0.3700787401574803	532	127
NPC12r	37	m1	0.3464566929133858	532	127
NPC12r	37	m2	0.28346456692913385	532	127
NPC12r	45	m0	0.08746355685131195	544	343
NPC12r	45	m1	0.39067055393586003	544	343
NPC12r	45	m2	0.521865889212828	544	343
NPC12r	46	m0	0.298932384341637	510	281
NPC12r	46	m1	0.2704626334519573	510	281
NPC12r	46	m2	0.4306049822064057	510	281
NPC12r	47	m0	0.46296296296296297	525	54
NPC12r	47	m1	0.2962962962962963	525	54
NPC12r	47	m2	0.24074074074074073	525	54
NPC12r	50	m0	0.08653846153846154	609	208
NPC12r	50	m1	0.28846153846153844	609	208
NPC12r	50	m2	0.625	609	208
NPC12r	53	m0	0.16091954022988506	453	174
NPC12r	53	m1	0.16091954022988506	453	174
NPC12r	53	m2	0.6781609195402298	453	174
NPC12r	56	m0	0.07142857142857142	657	168
NPC12r	56	m1	0.4226190476190476	657	168
NPC12r	56	m2	0.5059523809523809	657	168
NPC12r	59	m0	0.08761329305135952	459	331
NPC12r	59	m1	0.3957703927492447	459	331
NPC12r	59	m2	0.5166163141993958	459	331
NPC12r	62	m0	0.13059701492537312	613	268
NPC12r	62	m1	0.23507462686567165	613	268
NPC12r	62	m2	0.6343283582089553	613	268
NPC12r	63	m0	0.2990936555891239	587	331
NPC12r	63	m1	0.16012084592145015	587	331
NPC12r	63	m2	0.540785498489426	587	331
NPC12r	67	m0	0.01639344262295082	416	61
NPC12r	67	m1	0.2786885245901639	416	61
NPC12r	67	m2	0.7049180327868853	416	61
NPC12r	69	m0	0.10426540284360189	491	211
NPC12r	69	m1	0.3222748815165877	491	211
NPC12r	69	m2	0.5734597156398105	491	211
NPC12r	72	m0	0.14084507042253522	526	284
NPC12r	72	m1	0.2323943661971831	526	284
NPC12r	72	m2	0.6267605633802817	526	284
NPC12r	74	m0	0.16129032258064516	419	186
NPC12r	74	m1	0.2849462365591398	419	186
NPC12r	74	m2	0.553763440860215	419	186
NPCl	1	m0	0.24120603015075376	774	199
NPCl	1	m1	0.2814070351758794	774	199
NPCl	1	m2	0.47738693467336685	774	199
NPCl	2	m0	0.09523809523809523	696	168
NPCl	2	m1	0.16071428571428573	696	168
NPCl	2	m2	0.7440476190476191	696	168
NPCl	3	m0	0.031746031746031744	564	126
NPCl	3	m1	0.1984126984126984	564	126
NPCl	3	m2	0.7698412698412699	564	126
NPCl	4	m0	0.1396103896103896	640	308
NPCl	4	m1	0.34415584415584416	640	308
NPCl	4	m2	0.5162337662337663	640	308
NPCl	5	m0	0.0392156862745098	534	204
NPCl	5	m1	0.15196078431372548	534	204
NPCl	5	m2	0.8088235294117647	534	204
NPCl	6	m0	0.01597444089456869	578	313
NPCl	6	m1	0.03194888178913738	578	313
NPCl	6	m2	0.952076677316294	578	313
NPCl	7	m0	0.09183673469387756	654	196
NPCl	7	m1	0.4642857142857143	654	196
NPCl	7	m2	0.44387755102040816	654	196
NPCl	9	m0	0.15748031496062992	728	127
NPCl	9	m1	0.11811023622047244	728	127
NPCl	9	m2	0.7244094488188977	728	127
NPCl	10	m0	0.09295774647887324	642	355
NPCl	10	m1	0.39436619718309857	642	355
NPCl	10	m2	0.5126760563380282	642	355
NPCl	11	m0	0.14376996805111822	706	313
NPCl	11	m1	0.2779552715654952	706	313
NPCl	11	m2	0.5782747603833865	706	313
NPCl	18	m0	0.03785488958990536	799	317
NPCl	18	m1	0.1861198738170347	799	317
NPCl	18	m2	0.7760252365930599	799	317
NPCl	19	m0	0.10355029585798817	866	338
NPCl	19	m1	0.1834319526627219	866	338
NPCl	19	m2	0.7130177514792899	866	338
NPCl	21	m0	0.031413612565445025	706	191
NPCl	21	m1	0.10471204188481675	706	191
NPCl	21	m2	0.8638743455497382	706	191
NPCl	25	m0	0.289568345323741	818	556
NPCl	25	m1	0.381294964028777	818	556
NPCl	25	m2	0.329136690647482	818	556
NPCl	26	m0	0.05325443786982249	679	169
NPCl	26	m1	0.1952662721893491	679	169
NPCl	26	m2	0.7514792899408284	679	169
NPCl	29	m0	0.23247232472324722	739	271
NPCl	29	m1	0.3985239852398524	739	271
NPCl	29	m2	0.36900369003690037	739	271
NPCl	30	m0	0.20754716981132076	772	212
NPCl	30	m1	0.3160377358490566	772	212
NPCl	30	m2	0.47641509433962265	772	212
NPCl	31	m0	0.054945054945054944	523	182
NPCl	31	m1	0.26373626373626374	523	182
NPCl	31	m2	0.6813186813186813	523	182
NPCl	34	m0	0.04519774011299435	694	177
NPCl	34	m1	0.4011299435028249	694	177
NPCl	34	m2	0.5536723163841808	694	177
NPCl	35	m0	0.05	840	160
NPCl	35	m1	0.225	840	160
NPCl	35	m2	0.725	840	160
NPCl	36	m0	0.023391812865497075	636	171
NPCl	36	m1	0.16374269005847952	636	171
NPCl	36	m2	0.8128654970760234	636	171
NPCl	37	m0	0.1095890410958904	754	146
NPCl	37	m1	0.3219178082191781	754	146
NPCl	37	m2	0.5684931506849316	754	146
NPCl	45	m0	0.11646586345381527	785	498
NPCl	45	m1	0.3433734939759036	785	498
NPCl	45	m2	0.5401606425702812	785	498
NPCl	46	m0	0.37003058103975534	632	327
NPCl	46	m1	0.26605504587155965	632	327
NPCl	46	m2	0.363914373088685	632	327
NPCl	47	m0	0.25	691	44
NPCl	47	m1	0.29545454545454547	691	44
NPCl	47	m2	0.45454545454545453	691	44
NPCl	50	m0	0.04142011834319527	843	169
NPCl	50	m1	0.3076923076923077	843	169
NPCl	50	m2	0.650887573964497	843	169
NPCl	53	m0	0.15	538	340
NPCl	53	m1	0.1411764705882353	538	340
NPCl	53	m2	0.7088235294117647	538	340
NPCl	56	m0	0.02570694087403599	1131	389
NPCl	56	m1	0.30077120822622105	1131	389
NPCl	56	m2	0.6735218508997429	1131	389
NPCl	59	m0	0.03289473684210526	616	456
NPCl	59	m1	0.23026315789473684	616	456
NPCl	59	m2	0.7368421052631579	616	456
NPCl	62	m0	0.16224188790560473	865	339
NPCl	62	m1	0.37168141592920356	865	339
NPCl	62	m2	0.46607669616519176	865	339
NPCl	63	m0	0.3389513108614232	811	534
NPCl	63	m1	0.21910112359550563	811	534
NPCl	63	m2	0.4419475655430712	811	534
NPCl	67	m0	0.018691588785046728	579	107
NPCl	67	m1	0.3177570093457944	579	107
NPCl	67	m2	0.6635514018691588	579	107
NPCl	69	m0	0.22448979591836735	780	294
NPCl	69	m1	0.37755102040816324	780	294
NPCl	69	m2	0.3979591836734694	780	294
NPCl	72	m0	0.15099009900990099	755	404
NPCl	72	m1	0.25742574257425743	755	404
NPCl	72	m2	0.5915841584158416	755	404
NPCl	74	m0	0.14634146341463414	577	246
NPCl	74	m1	0.3008130081300813	577	246
NPCl	74	m2	0.5528455284552846	577	246
NPCr	1	m0	0.2822085889570552	1018	326
NPCr	1	m1	0.2392638036809816	1018	326
NPCr	1	m2	0.4785276073619632	1018	326
NPCr	2	m0	0.07296137339055794	874	233
NPCr	2	m1	0.21030042918454936	874	233
NPCr	2	m2	0.7167381974248928	874	233
NPCr	3	m0	0.06766917293233082	598	133
NPCr	3	m1	0.18796992481203006	598	133
NPCr	3	m2	0.7443609022556391	598	133
NPCr	4	m0	0.2036082474226804	987	388
NPCr	4	m1	0.4484536082474227	987	388
NPCr	4	m2	0.3479381443298969	987	388
NPCr	5	m0	0.011940298507462687	736	335
NPCr	5	m1	0.2746268656716418	736	335
NPCr	5	m2	0.7134328358208956	736	335
NPCr	6	m0	0.006756756756756757	680	296
NPCr	6	m1	0.16554054054054054	680	296
NPCr	6	m2	0.8277027027027027	680	296
NPCr	7	m0	0.30362116991643456	825	359
NPCr	7	m1	0.23676880222841226	825	359
NPCr	7	m2	0.4596100278551532	825	359
NPCr	9	m0	0.25416666666666665	1075	240
NPCr	9	m1	0.24583333333333332	1075	240
NPCr	9	m2	0.5	1075	240
NPCr	10	m0	0.16666666666666666	787	282
NPCr	10	m1	0.5035460992907801	787	282
NPCr	10	m2	0.32978723404255317	787	282
NPCr	11	m0	0.15428571428571428	860	525
NPCr	11	m1	0.1523809523809524	860	525
NPCr	11	m2	0.6933333333333334	860	525
NPCr	18	m0	0.04807692307692308	835	312
NPCr	18	m1	0.2980769230769231	835	312
NPCr	18	m2	0.6538461538461539	835	312
NPCr	19	m0	0.19576719576719576	997	378
NPCr	19	m1	0.2037037037037037	997	378
NPCr	19	m2	0.6005291005291006	997	378
NPCr	21	m0	0.11904761904761904	1008	252
NPCr	21	m1	0.23015873015873015	1008	252
NPCr	21	m2	0.6507936507936508	1008	252
NPCr	25	m0	0.1800302571860817	1010	661
NPCr	25	m1	0.5385779122541604	1010	661
NPCr	25	m2	0.2813918305597579	1010	661
NPCr	26	m0	0.0	801	213
NPCr	26	m1	0.15023474178403756	801	213
NPCr	26	m2	0.8497652582159625	801	213
NPCr	29	m0	0.23036649214659685	970	382
NPCr	29	m1	0.36649214659685864	970	382
NPCr	29	m2	0.4031413612565445	970	382
NPCr	30	m0	0.21370967741935484	1081	248
NPCr	30	m1	0.4274193548387097	1081	248
NPCr	30	m2	0.3588709677419355	1081	248
NPCr	31	m0	0.09660574412532637	753	383
NPCr	31	m1	0.2010443864229765	753	383
NPCr	31	m2	0.7023498694516971	753	383
NPCr	34	m0	0.07327586206896551	822	232
NPCr	34	m1	0.22413793103448276	822	232
NPCr	34	m2	0.7025862068965517	822	232
NPCr	35	m0	0.07983193277310924	919	238
NPCr	35	m1	0.36134453781512604	919	238
NPCr	35	m2	0.5588235294117647	919	238
NPCr	36	m0	0.08187134502923976	725	171
NPCr	36	m1	0.2573099415204678	725	171
NPCr	36	m2	0.6608187134502924	725	171
NPCr	37	m0	0.38127090301003347	977	299
NPCr	37	m1	0.2976588628762542	977	299
NPCr	37	m2	0.3210702341137124	977	299
NPCr	45	m0	0.07746478873239436	926	568
NPCr	45	m1	0.39436619718309857	926	568
NPCr	45	m2	0.528169014084507	926	568
NPCr	46	m0	0.32741116751269034	903	394
NPCr	46	m1	0.3197969543147208	903	394
NPCr	46	m2	0.35279187817258884	903	394
NPCr	47	m0	0.272	843	125
NPCr	47	m1	0.344	843	125
NPCr	47	m2	0.384	843	125
NPCr	50	m0	0.07100591715976332	1084	338
NPCr	50	m1	0.28106508875739644	1084	338
NPCr	50	m2	0.6479289940828402	1084	338
NPCr	53	m0	0.14705882352941177	746	272
NPCr	53	m1	0.15073529411764705	746	272
NPCr	53	m2	0.7022058823529411	746	272
NPCr	56	m0	0.0989399293286219	1300	283
NPCr	56	m1	0.3710247349823322	1300	283
NPCr	56	m2	0.5300353356890459	1300	283
NPCr	59	m0	0.07156308851224105	739	531
NPCr	59	m1	0.3935969868173258	739	531
NPCr	59	m2	0.5348399246704332	739	531
NPCr	62	m0	0.12030075187969924	1055	399
NPCr	62	m1	0.24561403508771928	1055	399
NPCr	62	m2	0.6340852130325815	1055	399
NPCr	63	m0	0.3108695652173913	1030	460
NPCr	63	m1	0.16304347826086957	1030	460
NPCr	63	m2	0.5260869565217391	1030	460
NPCr	67	m0	0.06569343065693431	756	137
NPCr	67	m1	0.29927007299270075	756	137
NPCr	67	m2	0.635036496350365	756	137
NPCr	69	m0	0.11056511056511056	927	407
NPCr	69	m1	0.35626535626535627	927	407
NPCr	69	m2	0.5331695331695332	927	407
NPCr	72	m0	0.15384615384615385	946	481
NPCr	72	m1	0.25363825363825365	946	481
NPCr	72	m2	0.5925155925155925	946	481
NPCr	74	m0	0.2026315789473684	784	380
NPCr	74	m1	0.25	784	380
NPCr	74	m2	0.5473684210526316	784	380
NF1	1	m0	0.296875	390	64
NF1	1	m1	0.3125	390	64
NF1	1	m2	0.390625	390	64
NF1	2	m0	0.09473684210526316	366	95
NF1	2	m1	0.2631578947368421	366	95
NF1	2	m2	0.6421052631578947	366	95
