subject	model	n_voxels	r_amp_sd	rho_amp_sd	r_amp_baseline	r_amp_mu
1	m0	41				
1	m1	41				
1	m2	41	0.4416913532423873	0.4982578397212544	-0.09699201450517732	-0.6546427566126464
11	m0	85				
11	m1	85				
11	m2	85	0.6321391361333487	0.22372483877271837	-0.6441565302341496	-0.46768602981775337
19	m0	53				
19	m1	53				
19	m2	53	0.5636544430305623	0.6895661990001613	-0.24640980580504981	-0.8648801343278995
25	m0	68				
25	m1	68				
25	m2	68	0.5435336091588101	0.43611863953887847	-0.7613385261232857	-0.4139116160640792
29	m0	21				
29	m1	21				
29	m2	21	0.1790304800680476	-0.13636363636363635	-0.08087419455157964	-0.7626335900915557
37	m0	29				
37	m1	29				
37	m2	29	0.7908180150574587	0.5339901477832512	-0.9875443928913935	-0.5620257260497808
45	m0	52				
45	m1	52				
45	m2	52	0.5408378541931376	0.5043968240416631	-0.9965981923422046	0.060478176494981495
46	m0	79				
46	m1	79				
46	m2	79	0.43609749915025775	0.6144352482960078	-0.22284852971177477	-0.7496379361332092
53	m0	24				
53	m1	24				
53	m2	24	0.486455262937651	0.27999999999999997	-0.7190712497629255	0.5221977437327682
59	m0	27				
59	m1	27				
59	m2	27	0.6308776174470572	0.44993894993894995	-0.8890326983955775	-0.3461191007484069
62	m0	21				
62	m1	21				
62	m2	21	0.06910747450333013	0.1974025974025974	-0.1756629034937866	-0.3278432979322967
63	m0	75				
63	m1	75				
63	m2	75	0.31086053715954015	0.4524324324324324	-0.41406013668774677	-0.25476357117995874
69	m0	31				
69	m1	31				
69	m2	31	0.36542837445842025	0.3491935483870968	-0.3638766031765404	-0.6119158984713036
72	m0	27				
72	m1	27				
72	m2	27	-0.6935327324010703	-0.669108669108669	-0.4025268035277926	-0.1717525946629885
