	mu	mu	mu	sd	sd	sd	amplitude	amplitude	amplitude	baseline	baseline	baseline
stimulation_condition	ips	vertex	diff	ips	vertex	diff	ips	vertex	diff	ips	vertex	diff
subject												
1	2.0472207069396973	2.0571699142456055	-0.009949207305908203	1.135977029800415	0.8282772898674011	0.3076997399330139	1.2824211120605469	1.025346040725708	0.25707507133483887	0.0838085412979126	0.23240867257118225	-0.14860013127326965
2	2.998572826385498	2.3703179359436035	0.6282548904418945	1.08234703540802	0.9252001643180847	0.1571468710899353	0.468003511428833	0.47379061579704285	-0.005787104368209839	0.055056460201740265	-0.026454344391822815	0.08151080459356308
3	3.1385133266448975	1.3074796199798584	1.831033706665039	1.4368176460266113	1.9777324199676514	-0.54091477394104	0.7664864659309387	1.1996636390686035	-0.4331771731376648	-0.5143259763717651	-0.3644454777240753	-0.14988049864768982
4	2.3410964012145996	1.4206901788711548	0.9204062223434448	1.3839242458343506	1.3161430358886719	0.06778120994567871	0.7636890411376953	1.1212575435638428	-0.35756850242614746	0.099154531955719	-0.36106330156326294	0.46021783351898193
5	2.3912105560302734	3.669367790222168	-1.2781572341918945	1.327691674232483	2.2750403881073	-0.9473487138748169	0.9643192291259766	1.1627585887908936	-0.198439359664917	-0.776697039604187	-0.1432279497385025	-0.6334690898656845
6	3.490833044052124	2.8201305866241455	0.6707024574279785	0.7679186463356018	2.756655693054199	-1.9887370467185974	0.5001968741416931	0.10933156311511993	0.3908653110265732	-0.3709469735622406	0.33261749148368835	-0.703564465045929
7	3.0615363121032715	2.494920253753662	0.5666160583496094	0.6017627120018005	1.8552532196044922	-1.2534905076026917	0.935025691986084	1.6295597553253174	-0.6945340633392334	-0.38830089569091797	-0.6904990673065186	0.3021981716156006
9	3.5639257431030273	2.382082462310791	1.1818432807922363	2.0743484497070312	1.7423471212387085	0.33200132846832275	1.2375978231430054	0.8786755204200745	0.3589223027229309	-0.9585015773773193	-0.1396041065454483	-0.818897470831871
10	2.4402148723602295	2.5405335426330566	-0.10031867027282715	1.8730660676956177	2.0552985668182373	-0.18223249912261963	1.59507155418396	1.6264032125473022	-0.031331658363342285	-1.2588876485824585	-1.2988731861114502	0.0399855375289917
11	2.2194254398345947	2.258197784423828	-0.0387723445892334	0.4800560772418976	1.14223313331604	-0.6621770560741425	0.525231659412384	0.8422977924346924	-0.31706613302230835	-0.043931763619184494	-0.10139104723930359	0.057459283620119095
18	2.3777878284454346	3.0274734497070312	-0.6496856212615967	0.6085588335990906	0.718005895614624	-0.10944706201553345	0.48844113945961	0.5411818027496338	-0.052740663290023804	0.0017057890072464943	-0.2505134642124176	0.2522192532196641
19	1.255537509918213	2.19037127494812	-0.9348337650299072	1.405884861946106	0.4369542896747589	0.968930572271347	1.105499267578125	0.45860153436660767	0.6468977332115173	0.039612799882888794	-0.04003400355577469	0.07964680343866348
21	2.7122626304626465	3.8479573726654053	-1.1356947422027588	2.198982000350952	0.8531179428100586	1.3458640575408936	0.7922345399856567	1.2425552606582642	-0.4503207206726074	-0.21968011558055878	-0.21035756170749664	-0.009322553873062134
25	2.0139970779418945	2.110529661178589	-0.09653258323669434	0.9846903681755066	0.8285249471664429	0.15616542100906372	1.0339924097061157	0.9205383062362671	0.11345410346984863	-0.2242368906736374	0.07273238897323608	-0.2969692796468735
26	3.0564277172088623	2.647238254547119	0.40918946266174316	1.9885958433151245	1.1363208293914795	0.852275013923645	0.41368359327316284	0.8160138130187988	-0.402330219745636	0.11120255291461945	-0.6459003686904907	0.7571029216051102
29	2.0942351818084717	2.1922895908355713	-0.09805440902709961	1.4495832920074463	1.0412601232528687	0.40832316875457764	1.0228297710418701	0.6574898958206177	0.36533987522125244	-0.569871723651886	-0.19685351848602295	-0.37301820516586304
30	2.076101064682007	2.704554796218872	-0.6284537315368652	2.0571789741516113	1.1248326301574707	0.9323463439941406	1.1743450164794922	0.7098388671875	0.4645061492919922	-0.8565163016319275	-0.4806419014930725	-0.375874400138855
31	2.2176856994628906	1.7776110172271729	0.4400746822357178	1.162591576576233	1.2015069723129272	-0.038915395736694336	0.7985999584197998	0.7617159485816956	0.03688400983810425	-0.3101840019226074	-0.04824696108698845	-0.261937040835619
34	2.3581836223602295	2.1685268878936768	0.18965673446655273	0.5896957516670227	0.9324957132339478	-0.34279996156692505	0.4132624566555023	0.7496029734611511	-0.3363405168056488	-0.029074346646666527	0.07327760010957718	-0.1023519467562437
35	3.229602336883545	2.137488842010498	1.0921134948730469	2.2294230461120605	1.942746877670288	0.28667616844177246	0.7086267471313477	1.128542184829712	-0.41991543769836426	-0.16099517047405243	-0.655160665512085	0.49416549503803253
36	3.262946605682373	3.4848270416259766	-0.22188043594360352	1.2976999282836914	1.2657278776168823	0.03197205066680908	0.5775111317634583	0.5269330143928528	0.05057811737060547	-0.14959624409675598	-0.23473188281059265	0.08513563871383667
37	2.3061254024505615	2.5708820819854736	-0.2647566795349121	1.1729350090026855	0.6878180503845215	0.48511695861816406	0.5454413890838623	1.1413655281066895	-0.5959241390228271	0.058147236704826355	-0.18371045589447021	0.24185769259929657
45	2.241251230239868	2.631693124771118	-0.39044189453125	2.693575382232666	1.5436413288116455	1.1499340534210205	1.2384388446807861	1.297714352607727	-0.05927550792694092	-0.5590682029724121	-0.9313824772834778	0.3723142743110657
46	1.71232271194458	1.0421841144561768	0.6701385974884033	1.2117273807525635	1.245882511138916	-0.03415513038635254	0.8649255633354187	1.6400482654571533	-0.7751227021217346	-0.05354193225502968	-0.13035446405410767	0.07681253179907799
47	3.4656167030334473	3.7942283153533936	-0.3286116123199463	1.810758113861084	1.4930859804153442	0.31767213344573975	0.6851499676704407	0.48898205161094666	0.19616791605949402	-0.3235737085342407	-0.13343359529972076	-0.19014011323451996
50	2.338183879852295	2.3162503242492676	0.021933555603027344	1.3360471725463867	0.9867967963218689	0.3492503762245178	0.6883342266082764	0.5934330821037292	0.09490114450454712	0.10455451905727386	-0.1399548202753067	0.24450933933258057
53	2.5335888862609863	2.453679323196411	0.0799095630645752	1.073770523071289	0.7476897835731506	0.3260807394981384	0.664984941482544	0.5193695425987244	0.14561539888381958	-0.26804566383361816	0.023493366315960884	-0.29153903014957905
56	2.452315092086792	2.295722723007202	0.15659236907958984	1.7618540525436401	0.7045853734016418	1.0572686791419983	1.7050453424453735	0.9770719408988953	0.7279734015464783	-0.8148154020309448	-0.08087319135665894	-0.7339422106742859
59	2.194201707839966	2.29082989692688	-0.09662818908691406	1.7608953714370728	0.873587429523468	0.8873079419136047	1.2445329427719116	0.6997168064117432	0.5448161363601685	-0.4566575288772583	-0.1970909684896469	-0.2595665603876114
62	2.400249481201172	0.9140306711196899	1.486218810081482	1.6757248640060425	1.3258224725723267	0.3499023914337158	0.7504240870475769	1.5071699619293213	-0.7567458748817444	-0.0520009808242321	-0.04095316305756569	-0.011047817766666412
63	1.8338632583618164	1.8518465757369995	-0.017983317375183105	1.4400209188461304	1.0017473697662354	0.438273549079895	1.4345120191574097	1.1074646711349487	0.32704734802246094	-0.5251796841621399	0.2869747281074524	-0.8121544122695923
67	2.173280715942383	2.5477399826049805	-0.37445926666259766	0.5396541357040405	1.2801077365875244	-0.7404536008834839	0.4295664429664612	0.42995163798332214	-0.0003851950168609619	-0.17248937487602234	-0.08136097341775894	-0.0911284014582634
