label	space	form	placement	channel	parameter	subject	sigma_ips	sigma_vertex
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	1	0.23916916339848918	0.30423863470864476
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	2	0.1941902363604801	0.22669209829378048
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	3	0.21921869391996918	0.2620036770786252
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	4	0.2386949148614726	0.26510561552182854
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	5	0.2698708712011288	0.27375058929680784
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	6	0.1747347090602588	0.19029083305499037
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	7	0.24487717855646782	0.2286199590937693
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	9	0.1827136907285189	0.19672229832092686
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	10	0.24519479848335374	0.29996137639770276
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	11	0.23106228783570823	0.2643472462316278
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	18	0.35141961626742085	0.40016077099915864
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	19	0.2500021648136416	0.2780956350390887
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	21	0.27981158668862616	0.2879971756118956
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	25	0.20790317776769454	0.23204292632365733
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	26	0.30082259986284804	0.3333726615564726
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	29	0.21281207775436764	0.24695958544621785
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	30	0.15233555236344962	0.16284855123224204
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	31	0.22653754347971744	0.2769169470634588
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	34	0.17006918478293723	0.19971214853398234
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	35	1.7234580943045383	2.027052816379272
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	36	0.2899537703273105	0.2935334261087396
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	37	0.2567203359335539	0.23996469644495716
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	45	0.36105495077270044	0.35478173727104767
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	46	0.36478558333261063	0.40640576958544966
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	47	0.34628630854175113	0.41322006551041185
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	50	0.2281089055433638	0.1813394349803523
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	53	0.2676795670328677	0.2810272123283049
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	56	0.17046071343465	0.19383423137804423
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	59	0.5270513976542776	0.46383178346597415
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	62	0.1525453552707047	0.15652686397235313
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	63	0.20132844917114073	0.21752960358918702
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	67	0.36788523423809505	0.44833245612849787
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	69	0.34458704527667566	0.42201273594127425
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	72	0.1921151800762391	0.15484367806756258
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd7	74	0.6562520329849265	0.8649672127464428
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	1	0.32558251848902264	0.36352090852186536
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	2	0.30675500968959696	0.27733459659942566
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	3	0.15138897382915215	0.09391561456441602
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	4	1.4687445928776786	1.3885268934386639
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	5	0.2556317415379058	0.302728849409046
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	6	1.5253972946489893	2.190598512457585
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	7	0.27716807565780727	0.18602135368235564
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	9	5.460241589467798	11.364601998490233
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	10	0.2900543919445358	0.24516136401679728
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	11	0.22254715381296858	0.20331809289974145
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	18	0.46391591804704574	0.45161003555350493
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	19	2.2369425361579056	1.9694616270415881
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	21	0.5687726218552411	0.5304309931024088
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	25	0.4094928652807226	0.37292403643749045
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	26	0.3890608765906384	0.2177310220704041
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	29	0.6768225729863093	1.5311054881601984
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	30	0.25661255469414385	0.5975288364709289
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	31	0.17544710184715068	0.24285184141790478
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	34	1.2473028935610753	0.8825450175357034
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	35	0.2504257247492974	0.09224735326356305
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	36	0.28783821811893845	0.4076796617965223
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	37	0.5551300031538776	0.5172113229719416
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	45	0.639526466009693	0.3104558826968397
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	46	0.24889296122071852	0.31966153932351304
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	47	0.17724978951593337	0.20597534984269503
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	50	1.7158984093950247	0.805657172351425
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	53	0.5808689609228507	1.0063752185721635
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	56	0.2761600676621191	0.3894107167672689
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	59	1.5254614978069096	2.0066154143988713
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	62	0.11876116349330468	0.0951844712592135
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	63	0.6352698412196645	0.39149252431395004
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	67	0.44855446644442687	1.4891246433998466
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	69	0.39519376399992734	0.2744392901202814
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	72	0.3419086303464345	0.37127639870261975
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n1	log_n1_power_sd112	74	0.7352214598011523	0.6750465740370186
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	1	0.20882697352782412	0.22533811144744104
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	2	0.4864996623059894	0.3564372515370371
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	3	0.05742791138793593	0.042257900455867706
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	4	0.21222207722198808	0.16757309102734352
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	5	0.07835390287474486	0.06284400366189359
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	6	0.16313737423321567	0.150703633234842
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	7	0.2918714076039345	0.28623755454208005
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	9	0.295961449605282	0.4508866848932171
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	10	0.06733787276757526	0.05062524540174481
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	11	0.17237969059068725	0.16203392254499308
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	18	0.45516444415922563	0.39953202590423587
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	19	0.19556401292828593	0.18673094144936644
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	21	0.3545240406054147	0.23982017776272047
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	25	0.5224120381929804	0.31900943121772773
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	26	0.3440342293973821	0.30674599964687577
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	29	0.2928297505371082	0.37945929103433723
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	30	0.20850331369491787	0.22157982905019785
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	31	0.11077819056082551	0.10265678557882851
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	34	0.1523178593324533	0.14348544563461416
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	35	6.53157432064725	7.255368534186811
log-power-n1n2.mapjitter.klw.objective	log	power	n1n2	n2	log_n2_power_sd7	36	0.12699779752009985	0.1088004732149549
