n_safe	option	objective_ev	vertex	ips	delta	lo	hi
7.0	safe	7.0	7.9458944934240225	7.755108229214925	-0.19078626420909495	-0.49707081325736424	0.08921255418117123
7.0	risky	8.662994011976048	8.560760893863826	8.655808124881856	0.0950472310180322	-0.06245637785116925	0.2867988569635515
10.0	safe	10.0	10.434504186197596	10.37703014733528	-0.057474038862315294	-0.2497556447506024	0.0894033757929439
10.0	risky	12.505193236714977	11.326320303849004	11.325621991691156	-0.0006983121578482743	-0.16174658024972946	0.14839714618945035
14.0	safe	14.0	12.900339358133403	12.715731100835335	-0.18460825729806973	-0.4407087360587947	0.052837388760610574
14.0	risky	17.568458781362008	14.092810954053581	14.120230838467014	0.027419884413437092	-0.20441821714936542	0.24762426619433744
20.0	safe	20.0	16.134541488412285	15.778309425282929	-0.356232063129355	-0.8366227467804068	0.06359000941902596
20.0	risky	25.221241050119335	17.228789828301775	17.363260558599436	0.13447073029766377	-0.22609727826368015	0.5967014388004623
28.0	safe	28.0	20.040780751274404	19.68949658893715	-0.35128416233725396	-0.9750111791798014	0.2703087252245959
28.0	risky	35.39642857142858	20.575032629860456	20.746924002608793	0.17189137274833555	-0.6253177059977242	1.0020133716039572
