label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-cspl5-percmem.pathfinder	Risky first	1	-0.0038380952380952372	-0.05906349206349207	0.056222222222222194	0.425	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-cspl5-percmem.pathfinder	Risky first	2	-0.004479138321995463	-0.06314200680272107	0.06125028344671201	0.4425	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-cspl5-percmem.pathfinder	Risky first	3	-0.0009678571428571419	-0.07223809523809524	0.0626984126984127	0.505	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-cspl5-percmem.pathfinder	Risky first	4	0.004723809523809526	-0.06627182539682538	0.07202777777777775	0.5475	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-cspl5-percmem.pathfinder	Risky first	5	0.009748157596371881	-0.05662471655328797	0.0722094671201814	0.6175	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-cspl5-percmem.pathfinder	Risky first	6	0.019884920634920634	-0.0389702380952381	0.0825892857142856	0.7575	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-cspl5-percmem.pathfinder	Risky second	1	0.010556349206349205	-0.05054761904761904	0.0727380952380952	0.6275	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-cspl5-percmem.pathfinder	Risky second	2	0.011141156462585036	-0.05788321995464853	0.08768140589569155	0.66	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-cspl5-percmem.pathfinder	Risky second	3	0.008566269841269842	-0.05256746031746031	0.07398412698412697	0.5775	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-cspl5-percmem.pathfinder	Risky second	4	0.012099007936507936	-0.056228174603174606	0.07262896825396824	0.6475	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-cspl5-percmem.pathfinder	Risky second	5	0.019256405895691612	-0.04277154195011338	0.07535515873015868	0.7375	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-cspl5-percmem.pathfinder	Risky second	6	0.026973809523809525	-0.02578571428571428	0.07907142857142854	0.815	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
