label	order	rung	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-spl3-n1n2	Risky first	1	-0.0158984126984127	-0.07683333333333334	0.04669841269841267	0.3225	-0.014285714285714289	0.036445365126295676	1.560324302134647	20.32902298850575
log-spl3-n1n2	Risky first	2	-0.013065929705215418	-0.07511564625850338	0.04807454648526078	0.3325	-0.001995464852607712	0.039793806545429716	1.7756979824740167	21.901569186875893
log-spl3-n1n2	Risky first	3	-0.007379761904761904	-0.0754047619047619	0.05700396825396824	0.44	0.05968253968253967	0.03836606192729519	2.048385448600041	24.130185979971387
log-spl3-n1n2	Risky first	4	-0.0002404761904761886	-0.06569246031746032	0.059061507936507926	0.51	0.0003968253968253986	0.04195467576645311	2.362153209109731	26.62391304347826
log-spl3-n1n2	Risky first	5	0.004933786848072563	-0.05275878684807257	0.06789115646258502	0.575	-0.0010997732426303959	0.039340281011939926	2.7396952104499275	29.690130624092888
log-spl3-n1n2	Risky first	6	0.01370297619047619	-0.042793650793650787	0.0775396825396824	0.6575	-0.005158730158730161	0.030555798075844035	3.2010473397570176	33.354105571847505
log-spl3-n1n2	Risky second	1	0.01559047619047619	-0.04668253968253969	0.07560317460317456	0.6725	0.052380952380952375	0.03844840960259965	1.5596264367816093	20.32471264367816
log-spl3-n1n2	Risky second	2	0.017231632653061223	-0.050598639455782315	0.08658616780045342	0.695	0.1287074829931973	0.048648051157488874	1.7766917293233082	21.94167852062589
log-spl3-n1n2	Risky second	3	0.013168253968253966	-0.04911904761904762	0.08253968253968254	0.64	0.05492063492063492	0.038718294244327746	2.047557997557998	24.103276353276353
log-spl3-n1n2	Risky second	4	0.018648015873015875	-0.04811309523809524	0.09007936507936509	0.6975	0.038253968253968255	0.03420792520649049	2.3660791145726585	26.685078909612624
log-spl3-n1n2	Risky second	5	0.026221626984126986	-0.03267488662131519	0.0817287414965986	0.82	0.019489795918367338	0.03151580001348493	2.740617872693344	29.772859216255444
log-spl3-n1n2	Risky second	6	0.03228333333333334	-0.027666666666666666	0.08383333333333332	0.8725	0.019999999999999997	0.03473791428793085	3.2039694025222243	33.36903039073806
