label	order	n_safe	model	lo	hi	p_gt0	observed	observed_sem	frac	stake_chf
log-power-percpsd.pathfinder.klw	Risky first	7.0	0.003386580086580088	-0.057317460317460316	0.06577777777777775	0.54	-0.003564213564213565	0.03609656059327895	2.250946643717728	11.378313253012049
log-power-percpsd.pathfinder.klw	Risky first	10.0	0.009214718614718615	-0.047963203463203465	0.07218073593073587	0.6	0.019004329004329006	0.031872359979577984	2.2675937122128174	16.337968561064088
log-power-percpsd.pathfinder.klw	Risky first	14.0	0.01306504329004329	-0.049367965367965366	0.07057683982683982	0.6675	-0.004632034632034642	0.041446960759510966	2.280140627679643	22.960984393757503
log-power-percpsd.pathfinder.klw	Risky first	20.0	0.01691969696969697	-0.048589826839826836	0.07921969696969694	0.7175	-0.027489177489177494	0.042985399933987666	2.2894357743097236	32.89435774309724
log-power-percpsd.pathfinder.klw	Risky first	28.0	0.02260205627705628	-0.03466233766233766	0.07855194805194803	0.76	0.04402597402597404	0.04149585065705767	2.2939791024323397	46.11570743405276
log-power-percpsd.pathfinder.klw	Risky second	7.0	0.00586904761904762	-0.05541666666666665	0.06108225108225105	0.5925	0.09588744588744588	0.04111927498400671	2.2501283147989737	11.375449101796407
log-power-percpsd.pathfinder.klw	Risky second	10.0	0.010425324675324674	-0.05033333333333334	0.06412012987012983	0.64	0.010995670995671003	0.03478012487003009	2.273671497584541	16.368357487922705
log-power-percpsd.pathfinder.klw	Risky second	14.0	0.018235930735930737	-0.0393939393939394	0.07772186147186146	0.6925	0.07272727272727272	0.042458333277957935	2.2816180235535075	22.97132616487455
log-power-percpsd.pathfinder.klw	Risky second	20.0	0.02170995670995671	-0.03290584415584416	0.08615800865800866	0.745	0.04675324675324675	0.04130364313616211	2.292840095465394	32.92840095465394
log-power-percpsd.pathfinder.klw	Risky second	28.0	0.02426190476190476	-0.03571428571428571	0.09047619047619047	0.7575	0.03809523809523809	0.03959748120196977	2.298469387755102	46.17857142857143
