label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-pmu.klw	Risky first	1	ips	0.313	0.2638095238095238	0.3580952380952381	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-power-pmu.klw	Risky first	1	vertex	0.2966142857142857	0.2440952380952381	0.3466746031746032	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-power-pmu.klw	Risky first	2	ips	0.4006328798185941	0.35926530612244895	0.44894217687074833	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-power-pmu.klw	Risky first	2	vertex	0.38050133219954646	0.32900085034013604	0.4302054988662131	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-power-pmu.klw	Risky first	3	ips	0.5031924603174603	0.4523611111111111	0.5490714285714285	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-power-pmu.klw	Risky first	3	vertex	0.4796035714285714	0.42918253968253967	0.5333412698412698	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-power-pmu.klw	Risky first	4	ips	0.6008166666666667	0.5520555555555555	0.6492222222222223	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-power-pmu.klw	Risky first	4	vertex	0.5760349206349207	0.5237936507936507	0.6263630952380952	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-power-pmu.klw	Risky first	5	ips	0.6838465986394557	0.63409410430839	0.732141723356009	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-power-pmu.klw	Risky first	5	vertex	0.6611375000000002	0.6134742063492062	0.7130972222222223	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-power-pmu.klw	Risky first	6	ips	0.7564119047619048	0.7098313492063492	0.8075634920634921	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-power-pmu.klw	Risky first	6	vertex	0.7371672619047618	0.6909226190476191	0.7882678571428571	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-power-pmu.klw	Risky second	1	ips	0.34213571428571427	0.2932936507936507	0.3959285714285714	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-power-pmu.klw	Risky second	1	vertex	0.31499841269841267	0.26883333333333337	0.35873015873015873	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-power-pmu.klw	Risky second	2	ips	0.4418438775510204	0.38902380952380955	0.4917619047619048	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-power-pmu.klw	Risky second	2	vertex	0.41076859410430844	0.35999659863945577	0.4625839002267574	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-power-pmu.klw	Risky second	3	ips	0.5511559523809524	0.49942857142857144	0.6047857142857144	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-power-pmu.klw	Risky second	3	vertex	0.5190873015873017	0.4674404761904762	0.5657142857142857	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-power-pmu.klw	Risky second	4	ips	0.653723611111111	0.6097261904761905	0.7001587301587302	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-power-pmu.klw	Risky second	4	vertex	0.6242857142857143	0.5770714285714285	0.6742857142857144	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-power-pmu.klw	Risky second	5	ips	0.7349292517006802	0.688655328798186	0.780749433106576	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-power-pmu.klw	Risky second	5	vertex	0.7083676587301588	0.651265873015873	0.7577797619047619	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-power-pmu.klw	Risky second	6	ips	0.7985928571428572	0.7428571428571429	0.84	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-power-pmu.klw	Risky second	6	vertex	0.7789428571428572	0.7266666666666667	0.8238809523809523	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
