label	order	rung	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-spl5-n2	Risky first	1	ips	0.27746746031746033	0.2346031746031746	0.3241825396825397	0.25523809523809526	0.03563333496167406	1.5597625869832175	20.310888252149
log-spl5-n2	Risky first	1	vertex	0.28191507936507937	0.24300000000000002	0.32096825396825396	0.26952380952380955	0.03989649139139269	1.5608892548373814	20.347262247838618
log-spl5-n2	Risky first	2	ips	0.368687641723356	0.3271530612244898	0.41320294784580497	0.3597278911564626	0.036890898456950406	1.7755159854309996	21.92067988668555
log-spl5-n2	Risky first	2	vertex	0.3733968537414966	0.3258659297052154	0.4228265306122449	0.3617233560090703	0.037871423105675164	1.7758825944170773	21.882183908045977
log-spl5-n2	Risky first	3	ips	0.4808781746031746	0.42825	0.5280952380952382	0.5065079365079365	0.03583984568264996	2.0474562474562474	24.108262108262107
log-spl5-n2	Risky first	3	vertex	0.4835686507936508	0.4414166666666666	0.5332936507936507	0.44682539682539685	0.041334521605188454	2.049322660098522	24.152298850574713
log-spl5-n2	Risky first	4	ips	0.5943698412698413	0.5403174603174603	0.6435079365079365	0.5920634920634921	0.03893107336834764	2.365024630541872	26.70689655172414
log-spl5-n2	Risky first	4	vertex	0.5986656746031745	0.5502261904761905	0.6429662698412698	0.5916666666666667	0.046162380236536814	2.359231411862991	26.539473684210527
log-spl5-n2	Risky first	5	ips	0.6932304988662132	0.6445317460317461	0.7384308390022676	0.7070748299319728	0.037901241341324075	2.740600414078675	29.659420289855074
log-spl5-n2	Risky first	5	vertex	0.6974873015873015	0.649186507936508	0.7437321428571428	0.7081746031746032	0.03676840969590351	2.7387873754152823	29.72093023255814
log-spl5-n2	Risky first	6	ips	0.7750984126984127	0.7348412698412699	0.8153234126984127	0.7913492063492064	0.031450639009639896	3.2096774193548385	33.47214076246334
log-spl5-n2	Risky first	6	vertex	0.7797323412698413	0.7398353174603175	0.8200376984126984	0.7965079365079365	0.03339170559287082	3.1924172601591954	33.23607038123167
log-spl5-n2	Risky second	1	ips	0.3125301587301587	0.2669761904761905	0.3581349206349206	0.3307936507936508	0.03779668257219359	1.5596953478797857	20.35014409221902
log-spl5-n2	Risky second	1	vertex	0.31298333333333334	0.26342857142857146	0.3584206349206349	0.27841269841269844	0.039049137240570096	1.5595579205894394	20.299426934097422
log-spl5-n2	Risky second	2	ips	0.41971814058956913	0.36650680272108843	0.472501133786848	0.48426303854875286	0.04272237697099603	1.7773707773707774	21.937321937321936
log-spl5-n2	Risky second	2	vertex	0.4180951247165533	0.37154988662131516	0.4659092970521542	0.35555555555555557	0.03613785549893971	1.7760146103896104	21.946022727272727
log-spl5-n2	Risky second	3	ips	0.5468404761904762	0.499	0.5976309523809523	0.5704761904761905	0.04062470693299859	2.0469155844155846	24.068181818181817
log-spl5-n2	Risky second	3	vertex	0.5444928571428572	0.49983730158730155	0.5882777777777778	0.5155555555555555	0.03387422958262476	2.048204081632653	24.138571428571428
log-spl5-n2	Risky second	4	ips	0.6710488095238094	0.6208710317460316	0.7183392857142856	0.7068253968253969	0.03144354018281707	2.3689584191025115	26.74207492795389
log-spl5-n2	Risky second	4	vertex	0.662142857142857	0.6171428571428572	0.7057857142857142	0.6685714285714285	0.03774559433836991	2.3632244897959183	26.62857142857143
log-spl5-n2	Risky second	5	ips	0.7648943310657598	0.7209387755102041	0.8054455782312925	0.7686167800453515	0.03314172753475259	2.7425664451827245	29.795058139534884
log-spl5-n2	Risky second	5	vertex	0.7487946428571429	0.7051924603174603	0.7883789682539684	0.7491269841269842	0.030595375849986766	2.7386749482401656	29.75072463768116
log-spl5-n2	Risky second	6	ips	0.8351928571428572	0.7970714285714285	0.8771428571428571	0.84	0.027255405754769875	3.206335403726708	33.391304347826086
log-spl5-n2	Risky second	6	vertex	0.8111666666666667	0.7704761904761905	0.8514285714285714	0.82	0.02774433093732238	3.2016102394715107	33.346820809248555
