label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-affine-percmem.pathfinder	Risky first	7.0	ips	0.6470273809523809	0.6004761904761905	0.6881428571428571	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-affine-percmem.pathfinder	Risky first	7.0	vertex	0.6429460678210678	0.5965169552669554	0.687891414141414	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-affine-percmem.pathfinder	Risky first	10.0	ips	0.5813506493506493	0.538728354978355	0.6233982683982684	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-affine-percmem.pathfinder	Risky first	10.0	vertex	0.5782338744588745	0.5339350649350649	0.6231341991341991	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-affine-percmem.pathfinder	Risky first	14.0	ips	0.5185351731601732	0.4746699134199134	0.5614772727272727	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-affine-percmem.pathfinder	Risky first	14.0	vertex	0.5203633116883117	0.4761406926406926	0.5626915584415584	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-affine-percmem.pathfinder	Risky first	20.0	ips	0.4670081168831169	0.41968614718614716	0.5160227272727271	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-affine-percmem.pathfinder	Risky first	20.0	vertex	0.46819231601731603	0.4234220779220779	0.5097056277056276	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-affine-percmem.pathfinder	Risky first	28.0	ips	0.4341964285714286	0.3880952380952381	0.47624999999999995	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-affine-percmem.pathfinder	Risky first	28.0	vertex	0.4315195887445887	0.3888030303030303	0.47364718614718615	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-affine-percmem.pathfinder	Risky second	7.0	ips	0.5914664502164502	0.5469534632034633	0.6359307359307359	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-affine-percmem.pathfinder	Risky second	7.0	vertex	0.5764572510822511	0.5354978354978355	0.6149837662337663	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-affine-percmem.pathfinder	Risky second	10.0	ips	0.6055292207792208	0.5636309523809524	0.6435984848484848	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-affine-percmem.pathfinder	Risky second	10.0	vertex	0.5913057359307359	0.5508658008658008	0.6309848484848485	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-affine-percmem.pathfinder	Risky second	14.0	ips	0.6067007575757576	0.5662175324675326	0.6484902597402596	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-affine-percmem.pathfinder	Risky second	14.0	vertex	0.5914577922077922	0.5443722943722944	0.6351190476190475	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-affine-percmem.pathfinder	Risky second	20.0	ips	0.5972034632034632	0.5465313852813853	0.6392857142857142	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-affine-percmem.pathfinder	Risky second	20.0	vertex	0.5847261904761903	0.5404761904761906	0.6285714285714286	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-affine-percmem.pathfinder	Risky second	28.0	ips	0.5799464285714285	0.5380357142857143	0.6190476190476191	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-affine-percmem.pathfinder	Risky second	28.0	vertex	0.5666547619047618	0.5214285714285715	0.611904761904762	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
