label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power+weber-percpmu.mapjitter.klw	Risky first	7.0	ips	0.6303261904761905	0.5795238095238096	0.6766785714285714	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power+weber-percpmu.mapjitter.klw	Risky first	7.0	vertex	0.6140483405483406	0.5663726551226551	0.6618326118326119	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power+weber-percpmu.mapjitter.klw	Risky first	10.0	ips	0.5864025974025975	0.5438852813852814	0.6262337662337661	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power+weber-percpmu.mapjitter.klw	Risky first	10.0	vertex	0.5685213203463203	0.5279859307359308	0.6116829004329004	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power+weber-percpmu.mapjitter.klw	Risky first	14.0	ips	0.5377851731601732	0.49325757575757573	0.582478354978355	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power+weber-percpmu.mapjitter.klw	Risky first	14.0	vertex	0.5198813852813854	0.47817207792207794	0.5637705627705627	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power+weber-percpmu.mapjitter.klw	Risky first	20.0	ips	0.4889134199134199	0.44089285714285714	0.5402976190476191	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power+weber-percpmu.mapjitter.klw	Risky first	20.0	vertex	0.47056872294372293	0.42392857142857143	0.51495670995671	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power+weber-percpmu.mapjitter.klw	Risky first	28.0	ips	0.4486726190476191	0.40476190476190477	0.4881547619047618	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power+weber-percpmu.mapjitter.klw	Risky first	28.0	vertex	0.4290241341991342	0.3829199134199134	0.46906493506493513	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power+weber-percpmu.mapjitter.klw	Risky second	7.0	ips	0.5854702380952381	0.5422023809523809	0.62879329004329	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power+weber-percpmu.mapjitter.klw	Risky second	7.0	vertex	0.5674404761904762	0.5235876623376623	0.6142965367965368	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power+weber-percpmu.mapjitter.klw	Risky second	10.0	ips	0.5932827922077922	0.5484480519480519	0.6363658008658009	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power+weber-percpmu.mapjitter.klw	Risky second	10.0	vertex	0.5747418831168831	0.5325595238095238	0.6199134199134199	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power+weber-percpmu.mapjitter.klw	Risky second	14.0	ips	0.5926049783549783	0.553241341991342	0.631823593073593	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power+weber-percpmu.mapjitter.klw	Risky second	14.0	vertex	0.5695232683982684	0.5300216450216451	0.6155844155844156	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power+weber-percpmu.mapjitter.klw	Risky second	20.0	ips	0.5849534632034633	0.5387391774891775	0.6342640692640692	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power+weber-percpmu.mapjitter.klw	Risky second	20.0	vertex	0.562142857142857	0.5190476190476191	0.6071428571428571	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power+weber-percpmu.mapjitter.klw	Risky second	28.0	ips	0.5744642857142856	0.5332738095238095	0.6190476190476191	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power+weber-percpmu.mapjitter.klw	Risky second	28.0	vertex	0.5522619047619046	0.5095238095238095	0.5952380952380952	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
