label	order	n_safe	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n2.mapjitter.ti0.15	Risky first	7.0	ips	0.6344797619047619	0.5861666666666666	0.6833333333333333	0.6266666666666667	0.03944171555900126	2.2513736263736264	11.379807692307692	7.0
log-power-n2.mapjitter.ti0.15	Risky first	7.0	vertex	0.6692496392496392	0.6274747474747474	0.7077597402597402	0.6302308802308803	0.03945443774789204	2.250517598343685	11.376811594202898	7.0
log-power-n2.mapjitter.ti0.15	Risky first	10.0	ips	0.5773641774891775	0.5346266233766234	0.6177543290043289	0.6142857142857143	0.03599380549880618	2.2700239808153477	16.350119904076738	10.0
log-power-n2.mapjitter.ti0.15	Risky first	10.0	vertex	0.5965309523809524	0.5557976190476192	0.6352608225108225	0.5952813852813853	0.04040192328962872	2.265121951219512	16.32560975609756	10.0
log-power-n2.mapjitter.ti0.15	Risky first	14.0	ips	0.5231233766233766	0.48156926406926404	0.5668993506493506	0.5181818181818182	0.0358216549357417	2.2780061664953752	22.946043165467625	14.0
log-power-n2.mapjitter.ti0.15	Risky first	14.0	vertex	0.5282766233766234	0.48820670995671	0.5715389610389611	0.5228138528138528	0.043576203421306324	2.28228021978022	22.97596153846154	14.0
log-power-n2.mapjitter.ti0.15	Risky first	20.0	ips	0.4775795454545454	0.4291991341991342	0.5251244588744588	0.4597402597402597	0.04374134505259737	2.2886091127098322	32.88609112709832	20.0
log-power-n2.mapjitter.ti0.15	Risky first	20.0	vertex	0.46898192640692643	0.42042857142857143	0.5134080086580086	0.4872294372294373	0.04884614738116798	2.290264423076923	32.90264423076923	20.0
log-power-n2.mapjitter.ti0.15	Risky first	28.0	ips	0.44680952380952393	0.4	0.4929166666666666	0.45	0.04833840406125902	2.298469387755102	46.17857142857143	28.0
log-power-n2.mapjitter.ti0.15	Risky first	28.0	vertex	0.43427034632034633	0.3898982683982684	0.4812132034632035	0.405974025974026	0.046608762258643535	2.289423740510697	46.05193236714976	28.0
log-power-n2.mapjitter.ti0.15	Risky second	7.0	ips	0.5860010822510823	0.5443181818181818	0.6239069264069264	0.6367965367965368	0.042630350378810064	2.250428228845495	11.376498800959233	7.0
log-power-n2.mapjitter.ti0.15	Risky second	7.0	vertex	0.5688939393939394	0.5330681818181818	0.6097456709956709	0.540909090909091	0.03846528379094796	2.249829118250171	11.374401913875598	7.0
log-power-n2.mapjitter.ti0.15	Risky second	10.0	ips	0.5974521645021645	0.5626926406926407	0.6392034632034632	0.59	0.0360197858891449	2.274818401937046	16.37409200968523	10.0
log-power-n2.mapjitter.ti0.15	Risky second	10.0	vertex	0.5985638528138528	0.5534632034632034	0.6389935064935065	0.579004329004329	0.03692102849092557	2.2725301204819277	16.362650602409637	10.0
log-power-n2.mapjitter.ti0.15	Risky second	14.0	ips	0.5969669913419914	0.557965367965368	0.6391937229437229	0.6595238095238095	0.0366952124322258	2.284347231715653	22.99043062200957	14.0
log-power-n2.mapjitter.ti0.15	Risky second	14.0	vertex	0.6009729437229437	0.5579707792207793	0.6394047619047619	0.5867965367965369	0.03049237834599614	2.2788953290146607	22.952267303102627	14.0
log-power-n2.mapjitter.ti0.15	Risky second	20.0	ips	0.5865714285714286	0.5419805194805194	0.6301352813852814	0.622943722943723	0.036424972825555194	2.2944976076555026	32.94497607655502	20.0
log-power-n2.mapjitter.ti0.15	Risky second	20.0	vertex	0.5853095238095237	0.5404761904761906	0.6285714285714286	0.5761904761904763	0.04588219048274321	2.291190476190476	32.911904761904765	20.0
log-power-n2.mapjitter.ti0.15	Risky second	28.0	ips	0.5662916666666665	0.5238095238095237	0.6072023809523809	0.5714285714285714	0.04482339777536488	2.298469387755102	46.17857142857143	28.0
log-power-n2.mapjitter.ti0.15	Risky second	28.0	vertex	0.5481369047619047	0.49755952380952384	0.5928571428571429	0.5333333333333333	0.048579254601023227	2.298469387755102	46.17857142857143	28.0
