label	order	stake_bin	stim	slope	lo	hi	observed	stake_chf	n_trials	d_slope_observed	d_slope	lo_contrast	hi_contrast	p_lt0	stake_chf_contrast
log-power-n1n2.mapjitter.klw	Risky first	0	ips	0.4961740656865436	0.38026213602097947	0.593980585937153	0.5726447448718716	12.647988505747126	696	-0.061416750116486396	-0.049653604384923715	-0.17832369976874035	0.0870344811366048	0.7525	12.658976207642393
log-power-n1n2.mapjitter.klw	Risky first	0	vertex	0.5458276700714674	0.44914350353927235	0.6409611378433528	0.634061494988358	12.670043415340087	691	-0.061416750116486396	-0.049653604384923715	-0.17832369976874035	0.0870344811366048	0.7525	12.658976207642393
log-power-n1n2.mapjitter.klw	Risky first	1	ips	0.39834423539693736	0.2929801358848867	0.4934588140403871	0.48139778942782585	23.08393113342898	697	-0.011754715115601888	-0.04028369676705784	-0.17472937032861668	0.11165493015249603	0.6925	23.03832248734635
log-power-n1n2.mapjitter.klw	Risky first	1	vertex	0.43862793216399526	0.3420080455175058	0.5288774331320605	0.49315250454342774	22.99198250728863	686	-0.011754715115601888	-0.04028369676705784	-0.17472937032861668	0.11165493015249603	0.6925	23.03832248734635
log-power-n1n2.mapjitter.klw	Risky first	2	ips	0.17583009687830006	0.062390875895222485	0.2996937473033689	0.23221653369331777	42.27161383285303	694	0.0213864321101917	-0.0024126613245176944	-0.15942753990613104	0.16445052172767166	0.5375	42.19430425378515
log-power-n1n2.mapjitter.klw	Risky first	2	vertex	0.17824275820281774	0.0786200301801576	0.2877634191253595	0.21083010158312607	42.116883116883116	693	0.0213864321101917	-0.0024126613245176944	-0.15942753990613104	0.16445052172767166	0.5375	42.19430425378515
log-power-n1n2.mapjitter.klw	Risky second	0	ips	0.5013871115837066	0.3919482745359493	0.5939162531866815	0.5535422762288243	12.667142857142856	700	-0.18798032163285872	-0.11664084940786681	-0.2509613044606895	0.018525312941764155	0.955	12.677857142857142
log-power-n1n2.mapjitter.klw	Risky second	0	vertex	0.6180279609915735	0.5098127612364164	0.7050473646869253	0.7415225978616831	12.688571428571429	700	-0.18798032163285872	-0.11664084940786681	-0.2509613044606895	0.018525312941764155	0.955	12.677857142857142
log-power-n1n2.mapjitter.klw	Risky second	1	ips	0.3846092835691225	0.28368179707343844	0.4774967387520897	0.29270400382215733	23.160377358490567	689	-0.14778942258236893	-0.04747236588812925	-0.1810072837404424	0.09707614711288139	0.765	23.129696531791907
log-power-n1n2.mapjitter.klw	Risky second	1	vertex	0.43208164945725175	0.3328996256727786	0.5295214846594007	0.44049342640452627	23.09928057553957	695	-0.14778942258236893	-0.04747236588812925	-0.1810072837404424	0.09707614711288139	0.765	23.129696531791907
log-power-n1n2.mapjitter.klw	Risky second	2	ips	0.15184048348861132	0.03853186608162525	0.2560623300916392	0.12211657687000906	42.263988522238165	697	-0.03299622260997469	0.023171263547831656	-0.11717443352591399	0.17090823349812695	0.375	42.25394548063128
log-power-n1n2.mapjitter.klw	Risky second	2	vertex	0.12866921994077968	0.016769851157736663	0.2381090791114497	0.15511279947998374	42.24390243902439	697	-0.03299622260997469	0.023171263547831656	-0.11717443352591399	0.17090823349812695	0.375	42.25394548063128
