label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
chf-affine-n1n2	Risky first	0	ips	0.5602711467362065	0.5204913801246176	0.5964021463449813	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
chf-affine-n1n2	Risky first	0	vertex	0.5709666541895865	0.5364893293840662	0.6032126121581008	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
chf-affine-n1n2	Risky first	1	ips	0.5385944466143714	0.5061493262376722	0.5711407767253631	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
chf-affine-n1n2	Risky first	1	vertex	0.5434047783866337	0.507122532904709	0.5763720438733707	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
chf-affine-n1n2	Risky first	2	ips	0.5130590643274854	0.4771516100858206	0.5492780056201108	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
chf-affine-n1n2	Risky first	2	vertex	0.5003178912075197	0.4634509535871765	0.5356021895201462	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
chf-affine-n1n2	Risky second	0	ips	0.5627689225770053	0.5272876509455457	0.594968034263147	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
chf-affine-n1n2	Risky second	0	vertex	0.5415561731710228	0.5059320216124727	0.5770264975208583	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
chf-affine-n1n2	Risky second	1	ips	0.5887988414185451	0.5545773046060529	0.6230868270753277	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
chf-affine-n1n2	Risky second	1	vertex	0.5729668204602415	0.5388752753094859	0.6044083883952305	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
chf-affine-n1n2	Risky second	2	ips	0.619597766060172	0.5847155958077012	0.6563621716629234	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
chf-affine-n1n2	Risky second	2	vertex	0.6161587472469051	0.5798568010936432	0.6494658426368952	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
