label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-affine-nullind.klw	Risky first	0	ips	0.5500187258795065	0.515354711102942	0.5877851142051717	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-affine-nullind.klw	Risky first	0	vertex	0.551804902407534	0.517209256908505	0.5854427817378944	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-affine-nullind.klw	Risky first	1	ips	0.5302236364721327	0.4981217247664616	0.5626278059868285	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-affine-nullind.klw	Risky first	1	vertex	0.5290013085617022	0.4938990401583281	0.5657513585976655	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-affine-nullind.klw	Risky first	2	ips	0.5091057568162831	0.4728731297941824	0.5458975848712692	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-affine-nullind.klw	Risky first	2	vertex	0.508368288926416	0.4715299858380354	0.5436639504286563	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-affine-nullind.klw	Risky second	0	ips	0.5312987802297953	0.49451879156766376	0.5671256957328386	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-affine-nullind.klw	Risky second	0	vertex	0.5317887825624668	0.4992213569638382	0.5639645596675673	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-affine-nullind.klw	Risky second	1	ips	0.5892024286748192	0.5563601547477046	0.6221374872117906	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-affine-nullind.klw	Risky second	1	vertex	0.584553738512949	0.5503038277511962	0.6186999696210222	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-affine-nullind.klw	Risky second	2	ips	0.6037315390749601	0.5677815019149606	0.6377989264286257	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-affine-nullind.klw	Risky second	2	vertex	0.6074579365079364	0.5689687476266424	0.6490947254499886	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
