label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf	n_safe_chf
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	0	ips	0.5476776850612654	0.5128534870088387	0.5855322597938697	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126	8.35632183908046
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	0	vertex	0.56263594918031	0.5280576875088153	0.5984662657726568	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087	8.332850940665702
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	1	ips	0.526259240091571	0.49375489861016175	0.5616501697967864	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898	14.48493543758967
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	1	vertex	0.5275438373435499	0.49353753064224093	0.5593484942621386	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863	14.478134110787172
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	2	ips	0.5092390692640693	0.46835326953748	0.5520151135414293	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303	24.65129682997118
log-power-n1n2.mapjitter.klw.ti0.1	Risky first	2	vertex	0.502720225251185	0.46382528960547537	0.5403081176649287	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116	24.594516594516595
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	0	ips	0.522216109537914	0.48755691175991933	0.559686735778841	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856	8.368571428571428
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	0	vertex	0.5149326240384512	0.47943061658475195	0.5474781922338313	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429	8.337142857142856
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	1	ips	0.5872858485020802	0.5537161762631688	0.6217127003911612	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567	14.494920174165458
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	1	vertex	0.5805112022480443	0.5464547922837396	0.6159194197615251	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957	14.546762589928058
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	2	ips	0.6064046696828652	0.5664997179094924	0.6449691110894117	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165	24.642754662840748
log-power-n1n2.mapjitter.klw.ti0.1	Risky second	2	vertex	0.5910350744284955	0.5479040214171793	0.6325755866940077	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439	24.61406025824964
