label	order	stake_bin	stim	model	lo	hi	observed	observed_sem	frac	stake_chf
log-power-n2.klw	Risky first	0	ips	0.5370689868610922	0.5031386650353923	0.5732893624754527	0.5701588578014938	0.037434839565611305	2.069581280788177	12.647988505747126
log-power-n2.klw	Risky first	0	vertex	0.5595101555295164	0.5231936958196356	0.592807212837288	0.5583628985884624	0.03999694366946201	2.081868927020881	12.670043415340087
log-power-n2.klw	Risky first	1	ips	0.5340373520381039	0.5007760770975057	0.5686575936594734	0.5165086959823803	0.03184365989712946	2.2930928468948553	23.08393113342898
log-power-n2.klw	Risky first	1	vertex	0.5407444993148774	0.5052635406634743	0.5802733721877906	0.5254879878586203	0.04008110266870922	2.2756768013327777	22.99198250728863
log-power-n2.klw	Risky first	2	ips	0.51197618098276	0.47375157590947065	0.5512747778537253	0.5142750816435027	0.043505527983834044	2.469874433923425	42.27161383285303
log-power-n2.klw	Risky first	2	vertex	0.5080190049544538	0.4682931504340173	0.5447872131308663	0.4978310750137376	0.04487004462729665	2.468583797155226	42.116883116883116
log-power-n2.klw	Risky second	0	ips	0.537581143063286	0.5000215853486529	0.5728073593073594	0.5539721598368215	0.03971352066548918	2.070795918367347	12.667142857142856
log-power-n2.klw	Risky second	0	vertex	0.5234234265316973	0.48609728867623603	0.5587667057253524	0.4940239125953411	0.03709325563501315	2.0838979591836737	12.688571428571429
log-power-n2.klw	Risky second	1	ips	0.5869324576401533	0.5521614029982008	0.6207254364265642	0.6600632980464913	0.03391213943664826	2.300787891353929	23.160377358490567
log-power-n2.klw	Risky second	1	vertex	0.5859618288144604	0.551297182349814	0.6196990012911066	0.5987324371534898	0.027772313209004338	2.2769373072970196	23.09928057553957
log-power-n2.klw	Risky second	2	ips	0.6055801278086992	0.56889161485966	0.6413491900747539	0.6336926732415454	0.03830221367395639	2.4712236113957777	42.263988522238165
log-power-n2.klw	Risky second	2	vertex	0.6014546555783398	0.5660638148401307	0.6419034518113466	0.5966871724766462	0.04575468210792034	2.4746669399467103	42.24390243902439
