label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
chf-affine-n1n2	1	Risky first	0	ips	0.55	0.605	0.3987500000000001	0.8	True
chf-affine-n1n2	1	Risky first	0	vertex	0.6	0.5822499999999999	0.35	0.8	True
chf-affine-n1n2	1	Risky first	1	ips	0.6	0.5616249999999999	0.35	0.7512499999999989	True
chf-affine-n1n2	1	Risky first	1	vertex	0.25	0.530625	0.34875000000000006	0.75	False
chf-affine-n1n2	1	Risky first	2	ips	0.6	0.6228750000000001	0.4	0.8	True
chf-affine-n1n2	1	Risky first	2	vertex	0.65	0.57475	0.34875000000000006	0.8	True
chf-affine-n1n2	1	Risky second	0	ips	0.7	0.6	0.4	0.8	True
chf-affine-n1n2	1	Risky second	0	vertex	0.4	0.582125	0.35	0.8	True
chf-affine-n1n2	1	Risky second	1	ips	0.65	0.5785	0.35	0.75	True
chf-affine-n1n2	1	Risky second	1	vertex	0.5789473684210527	0.5513157894736842	0.3157894736842105	0.7368421052631579	True
chf-affine-n1n2	1	Risky second	2	ips	0.65	0.64925	0.4	0.85	True
chf-affine-n1n2	1	Risky second	2	vertex	0.7	0.631	0.35	0.85	True
chf-affine-n1n2	2	Risky first	0	ips	0.3157894736842105	0.41776315789473684	0.15789473684210525	0.6842105263157895	True
chf-affine-n1n2	2	Risky first	0	vertex	0.5	0.5559722222222222	0.3333333333333333	0.7777777777777778	True
chf-affine-n1n2	2	Risky first	1	ips	0.5238095238095238	0.5613095238095238	0.3333333333333333	0.7619047619047619	True
chf-affine-n1n2	2	Risky first	1	vertex	0.7058823529411765	0.5572058823529413	0.35294117647058826	0.7647058823529411	True
chf-affine-n1n2	2	Risky first	2	ips	0.65	0.6563749999999999	0.45	0.85	True
chf-affine-n1n2	2	Risky first	2	vertex	0.6842105263157895	0.7115789473684211	0.47368421052631576	0.8947368421052632	True
chf-affine-n1n2	2	Risky second	0	ips	0.95	0.67375	0.4487500000000001	0.9	False
chf-affine-n1n2	2	Risky second	0	vertex	0.6190476190476191	0.6214285714285714	0.42857142857142855	0.8095238095238095	True
chf-affine-n1n2	2	Risky second	1	ips	0.7	0.6791250000000001	0.5	0.85	True
chf-affine-n1n2	2	Risky second	1	vertex	0.42105263157894735	0.5355263157894737	0.3157894736842105	0.7368421052631579	True
chf-affine-n1n2	2	Risky second	2	ips	0.6	0.6417499999999999	0.45	0.85	True
chf-affine-n1n2	2	Risky second	2	vertex	0.6666666666666666	0.6643055555555555	0.3888888888888889	0.8888888888888888	True
chf-affine-n1n2	3	Risky first	0	ips	0.75	0.6565000000000001	0.45	0.85	True
chf-affine-n1n2	3	Risky first	0	vertex	0.7	0.6616249999999999	0.5	0.85	True
chf-affine-n1n2	3	Risky first	1	ips	0.5	0.6348750000000001	0.45	0.8	True
chf-affine-n1n2	3	Risky first	1	vertex	0.6	0.63375	0.45	0.85	True
chf-affine-n1n2	3	Risky first	2	ips	0.7	0.66125	0.45	0.85	True
chf-affine-n1n2	3	Risky first	2	vertex	0.7	0.6963749999999999	0.55	0.85	True
chf-affine-n1n2	3	Risky second	0	ips	0.5	0.5466249999999999	0.35	0.75	True
chf-affine-n1n2	3	Risky second	0	vertex	0.3	0.490625	0.2	0.7012499999999988	True
chf-affine-n1n2	3	Risky second	1	ips	0.65	0.5896250000000001	0.4	0.8	True
chf-affine-n1n2	3	Risky second	1	vertex	0.55	0.5746249999999999	0.35	0.75	True
chf-affine-n1n2	3	Risky second	2	ips	0.75	0.679625	0.45	0.9	True
chf-affine-n1n2	3	Risky second	2	vertex	0.7	0.6921250000000001	0.5	0.9	True
chf-affine-n1n2	4	Risky first	0	ips	0.4	0.51325	0.29875000000000007	0.7512499999999989	True
chf-affine-n1n2	4	Risky first	0	vertex	0.6111111111111112	0.48611111111111116	0.2777777777777778	0.7222222222222222	True
chf-affine-n1n2	4	Risky first	1	ips	0.4	0.37550000000000006	0.15	0.6	True
chf-affine-n1n2	4	Risky first	1	vertex	0.3157894736842105	0.3565789473684211	0.15789473684210525	0.5789473684210527	True
chf-affine-n1n2	4	Risky first	2	ips	0.1	0.175	0.0	0.4	True
chf-affine-n1n2	4	Risky first	2	vertex	0.2222222222222222	0.1763888888888889	0.0	0.3902777777777765	True
chf-affine-n1n2	4	Risky second	0	ips	0.42857142857142855	0.5413095238095238	0.3333333333333333	0.7142857142857143	True
chf-affine-n1n2	4	Risky second	0	vertex	0.47368421052631576	0.5552631578947369	0.3684210526315789	0.7381578947368409	True
chf-affine-n1n2	4	Risky second	1	ips	0.631578947368421	0.5532894736842106	0.3157894736842105	0.7894736842105263	True
chf-affine-n1n2	4	Risky second	1	vertex	0.6	0.5805	0.4	0.8	True
