label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
chf-spl5-null	1	Risky first	0	ips	0.55	0.60275	0.35	0.8	True
chf-spl5-null	1	Risky first	0	vertex	0.6	0.59925	0.35	0.8	True
chf-spl5-null	1	Risky first	1	ips	0.6	0.564125	0.35	0.7512499999999989	True
chf-spl5-null	1	Risky first	1	vertex	0.25	0.55625	0.35	0.8	False
chf-spl5-null	1	Risky first	2	ips	0.6	0.55725	0.35	0.7512499999999989	True
chf-spl5-null	1	Risky first	2	vertex	0.65	0.548125	0.3	0.8	True
chf-spl5-null	1	Risky second	0	ips	0.7	0.569875	0.35	0.8	True
chf-spl5-null	1	Risky second	0	vertex	0.4	0.5784999999999999	0.35	0.8	True
chf-spl5-null	1	Risky second	1	ips	0.65	0.5725	0.35	0.8	True
chf-spl5-null	1	Risky second	1	vertex	0.5789473684210527	0.5596052631578947	0.3684210526315789	0.7894736842105263	True
chf-spl5-null	1	Risky second	2	ips	0.65	0.680625	0.45	0.9	True
chf-spl5-null	1	Risky second	2	vertex	0.7	0.6805000000000001	0.45	0.85	True
chf-spl5-null	2	Risky first	0	ips	0.3157894736842105	0.4807894736842105	0.2631578947368421	0.6842105263157895	True
chf-spl5-null	2	Risky first	0	vertex	0.5	0.5484722222222222	0.3333333333333333	0.7777777777777778	True
chf-spl5-null	2	Risky first	1	ips	0.5238095238095238	0.6002380952380952	0.42857142857142855	0.8095238095238095	True
chf-spl5-null	2	Risky first	1	vertex	0.7058823529411765	0.5269117647058823	0.35294117647058826	0.7058823529411765	True
chf-spl5-null	2	Risky first	2	ips	0.65	0.5925	0.4	0.75	True
chf-spl5-null	2	Risky first	2	vertex	0.6842105263157895	0.6201315789473685	0.42105263157894735	0.7894736842105263	True
chf-spl5-null	2	Risky second	0	ips	0.95	0.539375	0.35	0.75	False
chf-spl5-null	2	Risky second	0	vertex	0.6190476190476191	0.5875	0.38095238095238093	0.8095238095238095	True
chf-spl5-null	2	Risky second	1	ips	0.7	0.67525	0.4987500000000001	0.85	True
chf-spl5-null	2	Risky second	1	vertex	0.42105263157894735	0.5827631578947369	0.4197368421052632	0.7894736842105263	True
chf-spl5-null	2	Risky second	2	ips	0.6	0.6905	0.5	0.85	True
chf-spl5-null	2	Risky second	2	vertex	0.6666666666666666	0.7454166666666667	0.5555555555555556	0.9444444444444444	True
chf-spl5-null	3	Risky first	0	ips	0.75	0.673125	0.45	0.8512499999999988	True
chf-spl5-null	3	Risky first	0	vertex	0.7	0.6725	0.5	0.85	True
chf-spl5-null	3	Risky first	1	ips	0.5	0.648375	0.45	0.85	True
chf-spl5-null	3	Risky first	1	vertex	0.6	0.643	0.45	0.85	True
chf-spl5-null	3	Risky first	2	ips	0.7	0.6677500000000001	0.5	0.8512499999999988	True
chf-spl5-null	3	Risky first	2	vertex	0.7	0.668125	0.4987500000000001	0.85	True
chf-spl5-null	3	Risky second	0	ips	0.5	0.498625	0.25	0.7	True
chf-spl5-null	3	Risky second	0	vertex	0.3	0.49762500000000004	0.25	0.7	True
chf-spl5-null	3	Risky second	1	ips	0.65	0.568625	0.3987500000000001	0.8	True
chf-spl5-null	3	Risky second	1	vertex	0.55	0.566125	0.35	0.75	True
chf-spl5-null	3	Risky second	2	ips	0.75	0.7171249999999999	0.5	0.9	True
chf-spl5-null	3	Risky second	2	vertex	0.7	0.7135000000000001	0.5	0.95	True
chf-spl5-null	4	Risky first	0	ips	0.4	0.493875	0.25	0.7012499999999988	True
chf-spl5-null	4	Risky first	0	vertex	0.6111111111111112	0.45555555555555555	0.2222222222222222	0.7222222222222222	True
chf-spl5-null	4	Risky first	1	ips	0.4	0.40525000000000005	0.2	0.6	True
chf-spl5-null	4	Risky first	1	vertex	0.3157894736842105	0.39315789473684204	0.21052631578947367	0.631578947368421	True
chf-spl5-null	4	Risky first	2	ips	0.1	0.198875	0.05	0.4012499999999989	True
chf-spl5-null	4	Risky first	2	vertex	0.2222222222222222	0.2225	0.0	0.3888888888888889	True
chf-spl5-null	4	Risky second	0	ips	0.42857142857142855	0.5025	0.2857142857142857	0.7619047619047619	True
chf-spl5-null	4	Risky second	0	vertex	0.47368421052631576	0.5052631578947369	0.2631578947368421	0.7368421052631579	True
chf-spl5-null	4	Risky second	1	ips	0.631578947368421	0.5881578947368421	0.3684210526315789	0.7894736842105263	True
chf-spl5-null	4	Risky second	1	vertex	0.6	0.5802499999999999	0.35	0.8	True
chf-spl5-null	4	Risky second	2	ips	0.55	0.550625	0.34875000000000006	0.75	True
chf-spl5-null	4	Risky second	2	vertex	0.65	0.5479999999999999	0.3	0.8	True
chf-spl5-null	5	Risky first	0	ips	0.95	0.8908750000000001	0.75	1.0	True
chf-spl5-null	5	Risky first	0	vertex	1.0	0.886875	0.7	1.0	True
chf-spl5-null	5	Risky first	1	ips	0.8	0.82475	0.65	0.95	True
chf-spl5-null	5	Risky first	1	vertex	0.8	0.8183750000000001	0.65	0.95	True
chf-spl5-null	5	Risky first	2	ips	0.75	0.75825	0.55	0.95	True
chf-spl5-null	5	Risky first	2	vertex	0.75	0.75775	0.55	0.95	True
chf-spl5-null	5	Risky second	0	ips	0.6	0.7040000000000001	0.5	0.9	True
chf-spl5-null	5	Risky second	0	vertex	0.75	0.69625	0.45	0.9	True
chf-spl5-null	5	Risky second	1	ips	0.85	0.726625	0.5	0.9	True
chf-spl5-null	5	Risky second	1	vertex	0.55	0.7180000000000001	0.5	0.9	True
chf-spl5-null	5	Risky second	2	ips	0.85	0.798125	0.6	0.95	True
chf-spl5-null	5	Risky second	2	vertex	0.75	0.7975	0.6	0.95	True
chf-spl5-null	6	Risky first	0	ips	0.4	0.34125	0.15	0.55	True
chf-spl5-null	6	Risky first	0	vertex	0.2	0.33575000000000005	0.1987500000000001	0.5	True
chf-spl5-null	6	Risky first	1	ips	0.45	0.41325	0.25	0.6	True
chf-spl5-null	6	Risky first	1	vertex	0.4	0.41674999999999995	0.25	0.6	True
chf-spl5-null	6	Risky first	2	ips	0.15	0.176375	0.05	0.35	True
chf-spl5-null	6	Risky first	2	vertex	0.1	0.18212499999999998	0.05	0.35	True
chf-spl5-null	6	Risky second	0	ips	0.5	0.4025	0.2	0.6	True
chf-spl5-null	6	Risky second	0	vertex	0.3	0.40475	0.2	0.6	True
chf-spl5-null	6	Risky second	1	ips	0.5	0.54775	0.3987500000000001	0.7	True
chf-spl5-null	6	Risky second	1	vertex	0.65	0.541875	0.35	0.75	True
chf-spl5-null	6	Risky second	2	ips	0.5	0.42325	0.2	0.65	True
chf-spl5-null	6	Risky second	2	vertex	0.45	0.42987500000000006	0.24875000000000008	0.65	True
chf-spl5-null	7	Risky first	0	ips	0.7368421052631579	0.6076315789473683	0.3684210526315789	0.8421052631578947	True
chf-spl5-null	7	Risky first	0	vertex	0.47368421052631576	0.6607894736842106	0.42105263157894735	0.8434210526315777	True
chf-spl5-null	7	Risky first	1	ips	0.5789473684210527	0.6627631578947368	0.47368421052631576	0.8421052631578947	True
chf-spl5-null	7	Risky first	1	vertex	0.75	0.6463749999999999	0.45	0.8012499999999989	True
chf-spl5-null	7	Risky first	2	ips	0.7	0.642875	0.4	0.85	True
chf-spl5-null	7	Risky first	2	vertex	0.8	0.6388750000000001	0.4	0.85	True
chf-spl5-null	7	Risky second	0	ips	0.6666666666666666	0.5803571428571429	0.38095238095238093	0.8095238095238095	True
chf-spl5-null	7	Risky second	0	vertex	0.7	0.599	0.4	0.8	True
chf-spl5-null	7	Risky second	1	ips	0.7894736842105263	0.7047368421052631	0.5263157894736842	0.8947368421052632	True
chf-spl5-null	7	Risky second	1	vertex	0.65	0.6942499999999999	0.5	0.9	True
