label	subject	order	stake_bin	stim	observed	model	lo	hi	covered
log-affine-mem.pathfinder	1	Risky first	0	ips	0.55	0.602375	0.4	0.8	True
log-affine-mem.pathfinder	1	Risky first	0	vertex	0.6	0.56575	0.35	0.8	True
log-affine-mem.pathfinder	1	Risky first	1	ips	0.6	0.57325	0.35	0.75	True
log-affine-mem.pathfinder	1	Risky first	1	vertex	0.25	0.528375	0.3	0.75	False
log-affine-mem.pathfinder	1	Risky first	2	ips	0.6	0.5628749999999999	0.3	0.75	True
log-affine-mem.pathfinder	1	Risky first	2	vertex	0.65	0.533125	0.3	0.75	True
log-affine-mem.pathfinder	1	Risky second	0	ips	0.7	0.594625	0.35	0.8	True
log-affine-mem.pathfinder	1	Risky second	0	vertex	0.4	0.56575	0.3	0.8	True
log-affine-mem.pathfinder	1	Risky second	1	ips	0.65	0.62925	0.45	0.8	True
log-affine-mem.pathfinder	1	Risky second	1	vertex	0.5789473684210527	0.5997368421052631	0.3684210526315789	0.7894736842105263	True
log-affine-mem.pathfinder	1	Risky second	2	ips	0.65	0.68525	0.45	0.85	True
log-affine-mem.pathfinder	1	Risky second	2	vertex	0.7	0.666375	0.45	0.85	True
log-affine-mem.pathfinder	2	Risky first	0	ips	0.3157894736842105	0.5297368421052632	0.3157894736842105	0.7368421052631579	True
log-affine-mem.pathfinder	2	Risky first	0	vertex	0.5	0.5827777777777778	0.3888888888888889	0.7777777777777778	True
log-affine-mem.pathfinder	2	Risky first	1	ips	0.5238095238095238	0.5776190476190476	0.38095238095238093	0.7619047619047619	True
log-affine-mem.pathfinder	2	Risky first	1	vertex	0.7058823529411765	0.5302941176470588	0.29411764705882354	0.7058823529411765	True
log-affine-mem.pathfinder	2	Risky first	2	ips	0.65	0.587125	0.4	0.8	True
log-affine-mem.pathfinder	2	Risky first	2	vertex	0.6842105263157895	0.6468421052631578	0.42105263157894735	0.8421052631578947	True
log-affine-mem.pathfinder	2	Risky second	0	ips	0.95	0.576625	0.4	0.75	False
log-affine-mem.pathfinder	2	Risky second	0	vertex	0.6190476190476191	0.5960714285714286	0.42857142857142855	0.7630952380952369	True
